estimate	std_error	t_value	p_values	r_sq	FDR
2q	-1.77183864882196	0.445814211106188	-3.97438799545116	0.000314382888083136	0.384566854018809	0.0132040812994917
1q	-1.0386862247317	0.399906854981856	-2.59732038046418	0.0134046621152866	0.257253090684974	0.281497904421019
13q	-0.478153171246274	0.20064798321472	-2.38304499046266	0.0224178888873188	0.238680986983344	0.281525897618559
18q	-0.678670052756593	0.303159623111072	-2.23865581369964	0.0312786059450768	0.226587984844882	0.281525897618559
11q	-0.717958862464812	0.325149484299438	-2.20808857812497	0.0335149878117332	0.224077557656413	0.281525897618559
5q	-0.74480526985391	0.365351217719327	-2.0386007593003	0.0486835159504458	0.210507700822346	0.340784611653121
2p	-0.422764088183884	0.224798032377376	-1.88063962888329	0.0679098042696279	0.198450388437701	0.407458825617768
10p	-0.376870804907883	0.211328508837455	-1.78334105029699	0.0827359262379826	0.191338632461939	0.434363612749409
19p	-0.50940002826394	0.315808313013671	-1.61300386111713	0.115241722568434	0.179525277935612	0.537794705319357
18p	-0.371141185764874	0.244279189622708	-1.51933198377687	0.137178826267465	0.173400960141559	0.549211572396335
4p	-0.545922048541873	0.365583942829097	-1.49328781870784	0.143841126103802	0.171747733607908	0.549211572396335
12q	0.4394108420803	0.316740876721317	1.38728807796701	0.173654098024483	0.165250582691327	0.602736360534249
5p	-0.283526850825318	0.217736333086848	-1.30215681878057	0.200910936788066	0.160311502149594	0.602736360534249
Xq	0.377038803640334	0.289550237840072	1.3021533204493	0.200912120178083	0.160311304447979	0.602736360534249
16p	-0.354919756285915	0.292702540531158	-1.21256124269319	0.232983294407595	0.15539372952972	0.652353224341266
21p	-0.453436541766783	0.450576432472824	-1.00634766731642	0.320784639717124	0.145226985194108	0.823255064824651
12p	0.176683834775772	0.180203297319569	0.980469488648946	0.333222288143311	0.144069271684363	0.823255064824651
17p	-0.305725362409988	0.362030229022246	-0.844474681674169	0.403831597391261	0.138436555598236	0.867839987829549
8p	-0.127311938255701	0.163752656291411	-0.777464873785855	0.44182747777885	0.135946431207831	0.867839987829549
6p	-0.225418882403474	0.310879689577601	-0.725100062695492	0.472951808883017	0.134134741379995	0.867839987829549
11p	-0.218580423004165	0.322917306402459	-0.676892872170015	0.50268418814309	0.132572452852929	0.867839987829549
1p	-0.321188579645431	0.492577990247556	-0.652056295661953	0.518395307175517	0.131807438745447	0.867839987829549
17q	-0.201588363333699	0.314657856668704	-0.640658922259002	0.525692575044229	0.131465513759397	0.867839987829549
15q	-0.214668949361314	0.33927872716181	-0.632721512359758	0.530806693502588	0.131230794601343	0.867839987829549
21q	0.279704347759753	0.453575500843293	0.61666546636607	0.541231484587529	0.130764567526714	0.867839987829549
4q	-0.22822428175413	0.398338005201038	-0.572941267903741	0.57015024906531	0.129553342248885	0.867839987829549
3q	-0.169882882937788	0.315552865091798	-0.538365838916932	0.593548754878146	0.128656423015756	0.867839987829549
3p	0.217189233338973	0.421085295873828	0.515784415811209	0.609073570156309	0.128099839820585	0.867839987829549
7q	0.163277009585722	0.327790143973017	0.498114457032492	0.621351378946137	0.12768047441712	0.867839987829549
16q	-0.163738663402282	0.328880600615634	-0.497866590780297	0.621524400872715	0.127674692889403	0.867839987829549
10q	-0.158596555283809	0.336867232549618	-0.470798403523706	0.640548562445619	0.127060201763615	0.867839987829549
Xp	0.115927203531283	0.277482258854144	0.417782398089166	0.678520875622366	0.12595397899345	0.872563160235555
19q	-0.128081573798204	0.325046156006709	-0.394041189016738	0.695812536681516	0.125500582252108	0.872563160235555
8q	-0.0557485330107884	0.159579754602542	-0.349345900108937	0.72881015631248	0.124717865870395	0.872563160235555
9q	-0.15553721324769	0.460519188721321	-0.337743175652583	0.737465507514895	0.124529855199832	0.872563160235555
14q	-0.0990163622423854	0.329871144256826	-0.300166789263916	0.765729981602606	0.123964061985842	0.872563160235555
20p	0.0714521498535933	0.241178925254477	0.296261996267715	0.768686593540846	0.123909051206275	0.872563160235555
20q	0.0735714847822582	0.301791209402853	0.243782729549453	0.808745780160405	0.123239061785578	0.893876914914132
9p	-0.0330844661439531	0.248869217885219	-0.132939165498612	0.894961878476267	0.122250045543624	0.937394446177633
22q	0.0460860511119075	0.425272868168805	0.108368190311201	0.914289191237094	0.122109432948345	0.937394446177633
6q	-0.0325035354268853	0.302724459627848	-0.107370033682919	0.915075530792451	0.122104325203926	0.937394446177633
7p	0.0136180934924647	0.297331901033334	0.0458009834973543	0.96371518755204	0.121880579031961	0.96371518755204
