estimate	std_error	t_value	p_values	r_sq	FDR
Xq	5.28614172970111e-16	2.33601924318257e-16	2.26288449683288	0.0256617821114875	0.485670957116706	0.407825413584157
21q	-6.15063283222828e-16	2.86891758474515e-16	-2.14388620465535	0.0343064958799312	0.487904376187233	0.407825413584157
7p	-5.57443599603242e-16	2.65532509687796e-16	-2.09934218698368	0.0381387412685422	0.487195339543525	0.407825413584157
21p	-5.47440187859667e-16	2.74626117438803e-16	-1.99340176733795	0.0487625245981873	0.48595368846869	0.407825413584157
11p	-5.28367247738161e-16	2.87325040572718e-16	-1.83891820457061	0.068700325525722	0.490599278168528	0.407825413584157
8q	-2.55598680332182e-16	1.43768440780531e-16	-1.77784970710202	0.0782692724440618	0.489146831675904	0.407825413584157
5q	-5.30006762528669e-16	3.02867084328713e-16	-1.74996488543282	0.0829910941159895	0.487875027218918	0.407825413584157
18p	-3.98185758491408e-16	2.29946543203533e-16	-1.73164489861003	0.0862188516789363	0.487961752641217	0.407825413584157
14q	-4.66772025855053e-16	2.74847229761771e-16	-1.69829627265895	0.092358116409792	0.48786259251529	0.407825413584157
7q	4.78443761853719e-16	2.85851894232686e-16	1.67374704001178	0.0971012889486088	0.488172936016712	0.407825413584157
16p	-3.4200082173454e-16	2.35856189553407e-16	-1.45003962958156	0.149972414357076	0.4894692538786	0.543560612901561
10p	-2.64886443591467e-16	1.91146209396788e-16	-1.38577921282031	0.168695878250528	0.488940056793138	0.543560612901561
22q	-3.78341439922973e-16	2.78764931459586e-16	-1.35720600845313	0.177571724733427	0.488056905785548	0.543560612901561
18q	-3.52251566018306e-16	2.61726366622933e-16	-1.34587726320211	0.181186870967187	0.487451379074854	0.543560612901561
13q	-2.55722932770372e-16	2.07497041108241e-16	-1.23241724992586	0.220494418077502	0.486292025335188	0.550867901723552
4p	-3.14824872737263e-16	2.57564725032014e-16	-1.22231362504369	0.22427477483556	0.486366930029589	0.550867901723552
4q	-3.76382475517143e-16	3.11147001809241e-16	-1.20966126406031	0.229074728049714	0.48626062274191	0.550867901723552
17q	-3.02197386624081e-16	2.53623712446082e-16	-1.19151866246862	0.236086243595808	0.485454844218158	0.550867901723552
17p	-3.20283479689129e-16	2.87616496630435e-16	-1.11357826634217	0.267955458303555	0.485898124138963	0.592322592039437
16q	2.88299518357182e-16	2.66863610862129e-16	1.08032532957866	0.282426366677953	0.484654249506872	0.593095370023702
6q	2.36783560124499e-16	2.43754905499845e-16	0.971400184291472	0.333539842488412	0.489759744109946	0.641827073879074
Xp	2.37262130556799e-16	2.45599019681693e-16	0.966054876213676	0.336195133936658	0.490390180008602	0.641827073879074
8p	-1.12633696908795e-16	1.60907000643136e-16	-0.699992520267013	0.485451121093374	0.487658687539646	0.87733472575696
2q	-2.54398148592902e-16	3.77064772546902e-16	-0.674680232986384	0.501334129003977	0.487674243591046	0.87733472575696
3q	-1.30491000375402e-16	2.2270582517704e-16	-0.585934383492969	0.559153528516009	0.486483222363884	0.936595054601479
9q	1.63982860324815e-16	3.117125599203e-16	0.526070750459151	0.599927735910329	0.4862907526549	0.936595054601479
19q	1.22980328316831e-16	2.55151641031193e-16	0.481989172477225	0.63079806931438	0.486250339773307	0.936595054601479
20q	-1.09587743266826e-16	2.32332047483152e-16	-0.471685867076829	0.638111451280631	0.485929342785791	0.936595054601479
2p	-9.85250035640376e-17	2.38464960979595e-16	-0.413163439858438	0.680313686276808	0.486036565298367	0.936595054601479
10q	1.2140553548138e-16	3.10730533830439e-16	0.390710027704035	0.696788407554147	0.485894140392352	0.936595054601479
15q	1.01687811953676e-16	2.97181289401072e-16	0.342174341320795	0.732890879304161	0.485345668533906	0.936595054601479
1q	-1.02558139887329e-16	3.06498651846616e-16	-0.33461204240028	0.738572782114058	0.486126831416584	0.936595054601479
11q	8.27828692863732e-17	2.73348505616344e-16	0.302847345368561	0.76259418164073	0.486243233983036	0.936595054601479
12q	8.18170278370462e-17	2.81673391079372e-16	0.290467720516743	0.772020659342769	0.485763358960721	0.936595054601479
19p	6.43681012860734e-17	2.39542462110478e-16	0.268712698028404	0.788668197843681	0.485767205803649	0.936595054601479
12p	-4.28695681361715e-17	1.80309173306663e-16	-0.237755890895582	0.812525104225139	0.485398925502186	0.936595054601479
20p	-4.27428345466371e-17	1.94829877822516e-16	-0.219385419856263	0.826767788324274	0.485444926701635	0.936595054601479
1p	-7.99857273805094e-17	4.39771295596836e-16	-0.181880282277079	0.856020796730165	0.484945295723842	0.936595054601479
6p	-2.89898093406028e-17	1.95412104605405e-16	-0.148352167841096	0.882344065363458	0.485547536716981	0.936595054601479
5p	-2.22681612276097e-17	2.04312813646495e-16	-0.10899052697761	0.913414138478763	0.485622358538629	0.936595054601479
3p	3.17997516057326e-17	3.17603618403832e-16	0.100124021777672	0.920433222760289	0.485452636918803	0.936595054601479
9p	1.42614612839707e-17	1.78855359523446e-16	0.0797373996617706	0.936595054601479	0.485576053536682	0.936595054601479
