estimate	std_error	t_value	p_values	r_sq	FDR
10q	-1.47607788841525e-16	1.49433784858061e-17	-9.87780567705817	9.65156553865805e-17	1	4.05365752623638e-15
22q	-1.27055487775179e-16	1.8444176587922e-17	-6.88865058136454	4.02977397588609e-10	1	8.46252534936079e-09
19p	5.47439010818145e-17	1.39581632026624e-17	3.92199892542972	0.000155377817630815	1	0.00217528944683141
10p	-3.18671766407093e-17	9.74054406874737e-18	-3.27160130027597	0.0014398234268951	1	0.0151181459823985
8p	-2.32952109359264e-17	7.99482996488501e-18	-2.91378441295736	0.00434840156766047	1	0.0365265731683479
19q	5.98288926663208e-17	2.37821104477126e-17	2.51570998284029	0.0133647908530761	1	0.0935535359715326
3q	-9.10583300569665e-17	4.33182442152982e-17	-2.10207804370816	0.0378931517467884	1	0.22735891048073
5q	7.56027481286635e-17	3.94190646587388e-17	1.91792344093337	0.0577864534793017	1	0.303378880766334
1p	-5.05527314612752e-17	2.84305939095046e-17	-1.77811028577827	0.0782262160193967	1	0.365055674757184
9q	-4.00505069406392e-17	2.61898674556254e-17	-1.52923671753965	0.129156771593382	1	0.481420546688256
5p	9.1897029735656e-17	6.19707170887187e-17	1.48291054312143	0.141037636470035	1	0.481420546688256
Xq	5.16874816598885e-17	3.51815626674093e-17	1.46916389554719	0.144722366076979	1	0.481420546688256
6q	-4.49843902151663e-17	3.13819349744149e-17	-1.43344858281815	0.154645319561887	1	0.481420546688256
3p	1.42374690365347e-16	1.00740019180395e-16	1.41328829916536	0.160473515562752	1	0.481420546688256
17p	4.09081376318524e-17	3.2132945843477e-17	1.27309017452431	0.205745082591996	1	0.57608623125759
17q	-4.16598715666215e-17	3.43135809321166e-17	-1.21409280042903	0.227385158612432	1	0.596886041357634
13q	2.47444500674381e-17	2.14035403698047e-17	1.15609145215745	0.250218565036315	1	0.618187043030896
20q	4.30464793603907e-17	3.99322493808901e-17	1.077987842603	0.283463429645712	1	0.661414669173327
16p	3.2079266864163e-17	3.15299034080304e-17	1.01742356927083	0.311246990254468	1	0.688019662667771
9p	2.08431052291173e-17	2.37498950367876e-17	0.877608309292828	0.382122613777232	1	0.802457488932186
14q	3.2904222477623e-17	4.23681093685997e-17	0.776627113363934	0.439092255763266	1	0.878184511526533
6p	1.51478402563709e-17	2.2331022513703e-17	0.678331690681681	0.499025803941521	1	0.95268562570654
7q	4.81187854639948e-17	7.54872808729339e-17	0.63744229368908	0.525198440585066	1	0.959058021937946
4p	-4.00204714500238e-17	7.04226413098199e-17	-0.568289838405185	0.571028890435416	1	0.999300558261978
11p	2.19296781684393e-17	4.33949339042202e-17	0.505351113492688	0.614351626333183	1	1
4q	3.93920526234237e-17	8.37205377259151e-17	0.470518390032153	0.638942412243799	1	1
21q	-3.73183710407473e-17	8.29231796895676e-17	-0.450035456677529	0.653595319716201	1	1
2p	-2.22502014405946e-17	5.63031402949162e-17	-0.395185798235194	0.693492502994677	1	1
20p	2.32730061455124e-17	6.19582152837274e-17	0.375624217691513	0.707939917246214	1	1
8q	6.81781341224486e-18	1.94142494386459e-17	0.351175739952809	0.726147036858659	1	1
2q	-1.66089453951268e-17	5.09667401877366e-17	-0.325878118434641	0.745153024797715	1	1
18q	9.89519655193069e-18	4.64570851037789e-17	0.21299650053003	0.831734972990194	1	1
15q	1.30598966113621e-17	8.46015233033829e-17	0.154369520800814	0.877609180882276	1	1
7p	1.88888761489957e-18	2.83339151968822e-17	0.0666652526406736	0.946972603183894	1	1
1q	0	1.22151700078806e-17	0	1	1	1
11q	0	1.246228249975e-17	0	1	1	1
12p	0	1.37108537024264e-17	0	1	1	1
12q	0	2.79806016567487e-17	0	1	1	1
16q	0	1.26420688871055e-17	0	1	1	1
18p	0	1.17017367168209e-17	0	1	1	1
21p	0	1.00131158424055e-17	0	1	1	1
Xp	0	8.41108273207952e-18	0	1	1	1
