estimate	std_error	t_value	p_values	r_sq	FDR
8p	0.668510420386861	0.367723569213707	1.81797000887465	0.0742342818662484	0.00775278809753444	0.713934259614221
20q	-1.08293155146572	0.619664547509721	-1.74760934092123	0.085824181400368	0.00367556158198745	0.713934259614221
Xq	1.19762692344484	0.687031190385934	1.74319148854375	0.0865994093936149	0.00342383350388287	0.713934259614221
3q	1.07420331050382	0.618730683085123	1.73614035940099	0.087848727096256	0.00302311978135839	0.713934259614221
21q	1.48766724930053	0.865303530032444	1.7192432454826	0.0909033257472892	0.00206817365575018	0.713934259614221
18q	1.10305493405033	0.663853373205928	1.66159422934522	0.101990608516317	-0.00113287961759601	0.713934259614221
18p	0.874194798271266	0.591748027627109	1.47730918812989	0.145002497724794	-0.0107554246616137	0.820265703339573
11p	1.07456582646278	0.755900972328265	1.42156957829144	0.160506258540712	-0.0134764829445546	0.820265703339573
4q	1.00889770193986	0.815031143056637	1.23786398904484	0.220754053709588	-0.0217935935521547	0.820265703339573
12p	-0.521188093527959	0.447019766852759	-1.16591733112247	0.248420033888937	-0.0247705982691178	0.820265703339573
7q	-0.785372297179868	0.721627921824468	-1.08833413096633	0.28094939286826	-0.0277988288054851	0.820265703339573
20p	-0.51892187838209	0.502322458907471	-1.03304534603275	0.305871071484025	-0.0298397078679158	0.820265703339573
4p	0.796524774730932	0.773855818309881	1.02929351422408	0.307615136783972	-0.0299746301433521	0.820265703339573
10q	-0.808673110942592	0.796234220418368	-1.01562215012272	0.314027420721545	-0.0304624169457228	0.820265703339573
9p	-0.463627821579979	0.466950375673408	-0.992884567040689	0.324890510129079	-0.0312602318124271	0.820265703339573
10p	0.443131609740603	0.478665073644926	0.925765496877087	0.358403955884084	-0.0335166081896561	0.820265703339573
1p	1.01371064235016	1.11433829684667	0.909697391912975	0.36674708023928	-0.0340347480111631	0.820265703339573
13q	0.426123191913501	0.513594066965956	0.829688696426757	0.410116723096733	-0.036486723748923	0.820265703339573
16q	0.564384057451908	0.741286203153401	0.761357833251235	0.449528012180288	-0.0384103320469507	0.820265703339573
14q	0.536000694577986	0.733329238614619	0.730914119271421	0.467774147397754	-0.0392162756638361	0.820265703339573
8q	0.246300440555352	0.343353014462129	0.7173388034504	0.47604424730054	-0.0395654451153187	0.820265703339573
5q	-0.549266920152978	0.77307284445145	-0.710498272051869	0.480242472114489	-0.0397389967760216	0.820265703339573
Xp	0.451791333730716	0.648971473218988	0.696165166536163	0.48910587667334	-0.0400974338848403	0.820265703339573
11q	0.48873508304902	0.719481615179197	0.679287799351611	0.499657506461962	-0.0405104386091921	0.820265703339573
17p	0.510227751089199	0.761970139895772	0.669616464444383	0.50575941190912	-0.0407426809857652	0.820265703339573
2q	0.677067084831103	1.01597309936504	0.66642225591825	0.507783530638783	-0.0408186759580995	0.820265703339573
6p	-0.288982311869144	0.491158854036351	-0.588368324207703	0.558569396131275	-0.0425658199655534	0.864981625914871
21p	-0.504500908596058	0.902374157089292	-0.559081734148262	0.578258394554016	-0.0431666392767318	0.864981625914871
16p	-0.351661980887513	0.692368232995776	-0.507911778918456	0.613441448842275	-0.0441442706400013	0.864981625914871
2p	0.303471665940818	0.605977339611412	0.500797053129778	0.618409198555639	-0.0442729125923829	0.864981625914871
22q	0.356980339251128	0.7989633358781	0.446804406686308	0.656680252440392	-0.0451909367170387	0.864981625914871
5p	0.20143870774955	0.481173714246892	0.418640299304029	0.677025245436027	-0.0456288545405334	0.864981625914871
15q	-0.30785329059296	0.774990250614164	-0.39723504953642	0.692652223193823	-0.0459428430339881	0.864981625914871
1q	-0.336011192563886	0.868400333659967	-0.386931210801971	0.700223220978705	-0.0460881771460564	0.864981625914871
19q	-0.19220269728187	0.718964221293906	-0.267332770657164	0.790161280464709	-0.0474977386340913	0.9247571725706
17q	0.189185539662962	0.716375860291056	0.264086983034433	0.792649005060514	-0.0475288530026425	0.9247571725706
9q	0.199875313807805	0.883803341355828	0.226153607318546	0.82187704909836	-0.0478644251905977	0.932941515192732
19p	0.0985904234459272	0.677288826169596	0.145566292601496	0.884768495369124	-0.0484054297985981	0.977902021197453
3p	-0.0982863838552827	0.886358074715179	-0.110887898084378	0.91208807493592	-0.0485661527835675	0.981783313939354
12q	0.0415940781449627	0.72997212965854	0.0569803646673732	0.954756685262206	-0.0487297446048447	0.981783313939354
7p	-0.0301506378534796	0.670162384394413	-0.0449900480175785	0.964269784273016	-0.0487518513734675	0.981783313939354
6q	-0.0147546013387501	0.643409667750007	-0.0229318925069104	0.981783313939354	-0.048778942064841	0.981783313939354
