estimate	p_values	FDR
del28_15q15.1 	861	0.0244177735901254	0.624572256936342
amp11_7q36.1  	1482.5	0.0255880373093015	0.624572256936342
del43_22q11.21	1473	0.0304822685075656	0.624572256936342
del5_2q37.3  	910	0.057891468182182	0.624572256936342
del17_9p24.3  	1433	0.0608226204765806	0.624572256936342
del9_4q13.2  	1417.5	0.0779329992002663	0.624572256936342
amp4_2q31.2  	931	0.0810291393286501	0.624572256936342
del40_19q13.42	931	0.0810301381808027	0.624572256936342
del45_xq28    	1414	0.0822952312263578	0.624572256936342
del18_9q34.2  	1393	0.112784940617729	0.624572256936342
amp3_2q14.1  	955	0.116101446476351	0.624572256936342
del11_5q13.2  	956	0.117788195314849	0.624572256936342
del29_16q11.2 	956	0.117788195314849	0.624572256936342
del27_15q14   	962	0.128310659891519	0.624572256936342
del42_21q22.3 	966	0.135729550007556	0.624572256936342
amp26_19q13.12	971	0.145460043230866	0.624572256936342
del10_4q35.2  	1374	0.147468449554414	0.624572256936342
del35_17q21.31	977	0.157829695504672	0.630974250891654
amp1_1p36.33 	1365	0.166507093985297	0.630974250891654
amp12_8q24.3  	1357	0.184933199177729	0.659020205752649
amp10_6q16.3  	992	0.192214226677856	0.659020205752649
del12_6p21.33 	1333	0.249188327309701	0.779241512283451
del25_14q11.2 	1019	0.267440740853933	0.779241512283451
del38_19p12   	1020	0.270569969542865	0.779241512283451
del41_19q13.43	1020	0.270569969542865	0.779241512283451
amp21_15q26.3 	1316.5	0.301547436113312	0.81169653705876
del14_6q27    	1031	0.306641861086819	0.81169653705876
amp6_4p16.3  	1309.5	0.325829790351728	0.81169653705876
amp9_6p21.33 	1307	0.334803527133661	0.81169653705876
del7_4p16.3  	1304	0.345778192790536	0.81169653705876
del23_13q14.2 	1043	0.349480453455855	0.81169653705876
del21_11q11   	1048.5	0.370317184650335	0.833213665463253
del33_17q11.2 	1053	0.387950969009147	0.839546640252848
del26_15q11.2 	1290	0.399969038500028	0.839546640252848
amp22_17q12   	1058	0.408112950122912	0.839546640252848
del39_19q13.32	1068	0.450266798000322	0.884653400695568
amp7_5p15.33 	1277	0.454613553135223	0.884653400695568
amp5_3q26.2  	1079	0.499358310613644	0.88958778168105
del36_18q23   	1262	0.52257785856767	0.88958778168105
amp19_14q11.2 	1086	0.532018592940781	0.88958778168105
amp20_14q11.2 	1086	0.532018592940781	0.88958778168105
del2_1p36.11 	1259	0.536765792416372	0.88958778168105
del13_6q14.3  	1090	0.551154417348576	0.88958778168105
del16_8p23.1  	1256	0.551155726289243	0.88958778168105
amp2_1q21.3  	1091	0.555992363550656	0.88958778168105
del1_1p36.33 	1251	0.575542157678042	0.900848594626501
amp17_12q12   	1100	0.600428122325522	0.919804783136971
amp8_5q21.1  	1104	0.620681410314891	0.931022115472336
del34_17q21.31	1237	0.646405184954978	0.949819863607315
del30_16q24.2 	1114	0.672558754706148	0.957016706751604
del3_1q44    	1117	0.688445825078917	0.957016706751604
del37_19p13.3 	1118	0.69377264032376	0.957016706751604
del19_10q23.31	1120	0.70447063135882	0.957016706751604
del32_17q11.1 	1222	0.726043840503744	0.962404052701016
del4_2p25.3  	1126	0.736909138826982	0.962404052701016
del44_22q13.33	1210	0.7920128193441	0.962404052701016
amp27_20q13.33	1209	0.797582893569382	0.962404052701016
del6_3p12.1  	1208	0.803168510757127	0.962404052701016
del24_13q34   	1142	0.82559843804284	0.962404052701016
amp23_17q24.2 	1144	0.836868249693563	0.962404052701016
amp15_12p13.32	1146	0.848171639536008	0.962404052701016
del20_11p15.5 	1200	0.848171639536008	0.962404052701016
del8_4p16.1  	1147.5	0.856669388755827	0.962404052701016
amp24_19p13.12	1196	0.870870067987329	0.962404052701016
del22_12q24.32	1153	0.887965037029844	0.962404052701016
amp18_13q34   	1155	0.899391212308769	0.962404052701016
amp16_12p12.1 	1190	0.905112281491714	0.962404052701016
del31_17p11.2 	1158	0.916568912486669	0.962404052701016
amp13_10q26.3 	1159	0.922303883838474	0.962404052701016
amp14_11q13.5 	1163.5	0.94815681826092	0.975247013068375
del15_7p22.1  	1177	0.979826705148921	0.985589798968137
amp25_19q12   	1176	0.985589798968137	0.985589798968137
