estimate	std_error	t_value	p_values	r_sq	FDR
amp22_17q12   	0.73277186723872	0.176727409318444	4.14633966550341	6.78562815976929e-05	0.140658380036364	0.00488565227503389
del36_18q23   	1.57453457796799	0.76790319162473	2.05043369416994	0.0427662176929219	0.0402935027987706	0.775117797768241
del42_21q22.3 	1.32721108020637	0.668378526801409	1.98571771381984	0.0496227331573105	0.0380339774358036	0.775117797768241
del7_4p16.3  	1.17585934712651	0.595820292200251	1.97351342765498	0.051015486148665	0.0376148250281972	0.775117797768241
del44_22q13.33	1.40232681438939	0.719249068232225	1.94970960176012	0.0538276248450167	0.036803689233835	0.775117797768241
amp21_15q26.3 	0.829994275132415	0.517131518095055	1.60499649719639	0.111442117271509	0.0260325706725448	0.906468188091129
del3_1q44    	-0.741634407276144	0.463919011453151	-1.59862904724059	0.112851939628377	0.025851220872293	0.906468188091129
amp4_2q31.2  	-0.70470150995363	0.457765900051462	-1.53943644529749	0.126649925669287	0.0241967579062365	0.906468188091129
del38_19p12   	-0.657791340114858	0.431172381155513	-1.5255878364751	0.130063012380445	0.0238179027243557	0.906468188091129
del43_22q11.21	0.641116161101978	0.45621257674719	1.40530137435745	0.162828497053976	0.0206598409205117	0.906468188091129
amp6_4p16.3  	0.581142098233777	0.436516605182825	1.33131727712942	0.185914152340106	0.0188369214181425	0.906468188091129
del10_4q35.2  	0.958933551996781	0.737932810598009	1.29948626517864	0.196569944409444	0.0180809666543383	0.906468188091129
del20_11p15.5 	0.955577167636644	0.748423218736465	1.27678717564363	0.204441347666737	0.0175523686106278	0.906468188091129
del45_xq28    	0.670127880328392	0.538216922051414	1.2450888347661	0.21581902417465	0.0168288680717609	0.906468188091129
del40_19q13.42	-0.626944130783534	0.512361908696175	-1.22363532523122	0.223777595412764	0.0163489344573813	0.906468188091129
del37_19p13.3 	-1.12591768803794	0.935335133480872	-1.20375857565385	0.231339236029708	0.0159113105912414	0.906468188091129
del11_5q13.2  	-0.724904281773709	0.61258446453936	-1.18335400868974	0.239291346398398	0.0154691256648736	0.906468188091129
amp19_14q11.2 	0.120957221052339	0.105435793790129	1.14721212506926	0.25385267776192	0.0147035139727799	0.906468188091129
amp20_14q11.2 	0.120957221052339	0.105435793790129	1.14721212506926	0.25385267776192	0.0147035139727799	0.906468188091129
del9_4q13.2  	0.61693499176429	0.546835136591717	1.12819193662186	0.261762188986041	0.0143096730484885	0.906468188091129
amp8_5q21.1  	-0.24427173612643	0.217807986841088	-1.12150036217289	0.264585515923261	0.0141726060566822	0.906468188091129
amp17_12q12   	-0.326892154168816	0.326847742775842	-1.00013587792468	0.319501178197261	0.0118222234022406	0.906468188091129
amp7_5p15.33 	-0.409483741103611	0.414118292162561	-0.988808629933374	0.324987548927643	0.0116160427475147	0.906468188091129
del15_7p22.1  	-0.645614822162631	0.656548695580134	-0.983346439508434	0.327655258380216	0.0115174278176506	0.906468188091129
amp1_1p36.33 	0.451454891086208	0.488397843167605	0.924358895932472	0.357379417720306	0.0104860860732114	0.906468188091129
amp14_11q13.5 	-0.489087046679879	0.549301184413695	-0.89038046987267	0.375259253380194	0.00992004263380553	0.906468188091129
amp16_12p12.1 	-0.171249124453027	0.194511156491516	-0.880407723350803	0.380611653559153	0.00975781188929481	0.906468188091129
del25_14q11.2 	-0.232606385330073	0.268318987324625	-0.86690244193809	0.387935352211459	0.00954094579301168	0.906468188091129
del6_3p12.1  	0.624204437146626	0.774973351730577	0.805452775573157	0.422344748459836	0.00859541521764495	0.906468188091129
amp24_19p13.12	-0.240552282465386	0.301537960147751	-0.797751242820367	0.426781733265602	0.00848168976081343	0.906468188091129
del1_1p36.33 	-0.465470123491736	0.583574093263252	-0.797619580555577	0.426857824947086	0.00847975483035779	0.906468188091129
del22_12q24.32	0.509072958826509	0.680035967282354	0.748597108563141	0.4557424677793	0.00778101620567762	0.906468188091129
amp11_7q36.1  	0.41437230588651	0.557306993077136	0.743526119416839	0.458792739971742	0.00771121176406353	0.906468188091129
amp2_1q21.3  	-0.33993653556367	0.46169101030002	-0.736285801499079	0.463167939602319	0.00761235106854907	0.906468188091129
del35_17q21.31	0.349400653587923	0.488759043206946	0.714873020651166	0.476244351625595	0.0073255265374923	0.906468188091129
del30_16q24.2 	-0.434539510131374	0.694620528736173	-0.625578272099151	0.532923636005476	0.00621912055283669	0.906468188091129
del28_15q15.1 	0.543205044007053	0.884886910542822	0.61386945329978	0.540604519445675	0.00608480653678245	0.906468188091129
amp26_19q13.12	-0.144942694009816	0.238988540479071	-0.606483866210772	0.545478104441297	0.00600137201255369	0.906468188091129
del31_17p11.2 	-0.275719780471918	0.473228979632851	-0.582635029422399	0.561364834606267	0.00573875742514474	0.906468188091129
del26_15q11.2 	0.310233512787537	0.533516081897118	0.581488587343768	0.562134210581761	0.00572639516986551	0.906468188091129
del14_6q27    	-0.332504889035816	0.591163326761576	-0.56245858628832	0.574980116074067	0.00552470498689284	0.906468188091129
del32_17q11.1 	0.319345387248976	0.577703069405425	0.552784646925362	0.581563894451999	0.00542471772234854	0.906468188091129
amp10_6q16.3  	-0.103478549206922	0.188644368371844	-0.548537706691309	0.584465476438688	0.00538136414629375	0.906468188091129
amp15_12p13.32	-0.0944970103143053	0.175638344681054	-0.538020387779814	0.591680331497609	0.00527542474768239	0.906468188091129
amp25_19q12   	0.060538020154856	0.117694997135026	0.514363580683074	0.608058577248549	0.00504454975001223	0.906468188091129
del34_17q21.31	0.2276396500931	0.446897031222062	0.509378300121189	0.611536003725012	0.00499720758891653	0.906468188091129
del4_2p25.3  	-0.21986011716028	0.438327872501006	-0.501588265208427	0.616987656118502	0.00492414471451685	0.906468188091129
amp5_3q26.2  	-0.156682017668424	0.32454801234227	-0.482769919118119	0.630245367820877	0.00475225017938641	0.906468188091129
del23_13q14.2 	-0.257305049506812	0.540614927206328	-0.475948843729597	0.635081163839946	0.00469155236686769	0.906468188091129
del5_2q37.3  	-0.303767833274533	0.649792480934789	-0.467484377223839	0.64110404311921	0.00461742159022716	0.906468188091129
del41_19q13.43	0.233660239460249	0.501294533661283	0.466113679225015	0.642081633231216	0.00460554130026503	0.906468188091129
del8_4p16.1  	0.164586157770663	0.373774191293537	0.440335800610183	0.660582176539715	0.00438856317980063	0.914652244439605
amp3_2q14.1  	-0.209989228390893	0.51423401713323	-0.408353437140445	0.683830257645369	0.0041363957129178	0.915082784438315
del27_15q14   	0.296999587189184	0.733396614055976	0.404964491922941	0.686312088328736	0.0041107818043612	0.915082784438315
del29_16q11.2 	-0.251678138136265	0.653757265752048	-0.384971840958047	0.70102243832518	0.00396399446078644	0.917702101080235
del33_17q11.2 	-0.227224276480588	0.668798170820714	-0.339750146448143	0.734710689938192	0.00365924617513225	0.944628029920533
amp23_17q24.2 	0.0789295425460655	0.289788445667255	0.272369529310686	0.785862806416757	0.00327545548049402	0.971078562714232
amp12_8q24.3  	-0.0444822082160181	0.17062168122863	-0.260706657534413	0.794819812438182	0.00321757789887067	0.971078562714232
del12_6p21.33 	0.0567540375285819	0.256003651858858	0.22169229663908	0.824975978483265	0.00304233193985481	0.971078562714232
del17_9p24.3  	-0.0817850805684247	0.402183870375119	-0.203352462872624	0.839245772916009	0.00296972883523672	0.971078562714232
del19_10q23.31	0.134693130916704	0.668760192692679	0.201407219491308	0.840762557889522	0.00296239500006856	0.971078562714232
amp9_6p21.33 	0.0415109763820886	0.24918201901881	0.166588971971348	0.868007870503481	0.00284303319772816	0.971078562714232
del21_11q11   	-0.0939825705079107	0.576278195127595	-0.16308541829715	0.870758799417577	0.00283227187146839	0.971078562714232
del13_6q14.3  	0.0829298517478226	0.527351589661005	0.157257232885431	0.875338487019633	0.00281487656039148	0.971078562714232
del2_1p36.11 	-0.0710433988188677	0.671228031567178	-0.10584092957649	0.915906732101979	0.00268882007013649	0.971078562714232
amp13_10q26.3 	0.0579989065415313	0.582401612575622	0.0995857588460925	0.920859541602976	0.00267684432094084	0.971078562714232
del39_19q13.32	-0.0644007040356529	0.660132577947119	-0.0975572274222949	0.922466399741563	0.00267311717354812	0.971078562714232
amp18_13q34   	0.0409771744149428	0.435714705372755	0.0940458834867342	0.925248591204142	0.00266684679475593	0.971078562714232
amp27_20q13.33	-0.038674020114765	0.443134094756144	-0.0872738536086853	0.930616955934473	0.00265540248746043	0.971078562714232
del18_9q34.2  	0.0166481461169882	0.695587913769505	0.023933920914136	0.980949895062416	0.00258974687089175	0.995483887686516
del24_13q34   	0.0103107550580104	0.447428645651013	0.0230444678905352	0.981657722579758	0.00258935736948651	0.995483887686516
del16_8p23.1  	0.000777302172901967	0.524956507888001	0.00148069823161008	0.998821331255966	0.00258442759726574	0.998821331255966
