estimate	std_error	t_value	p_values	r_sq	FDR
amp10_6q16.3  	16.337435238431	1.44311261434082	11.3209704329926	5.3889733088043e-19	0.58911452488391	3.8800607823391e-17
amp12_8q24.3  	12.443124590085	1.42158601684767	8.75298746795303	1.1239157435757e-13	0.461989108751154	4.04609667687252e-12
amp19_14q11.2 	20.1492336612586	2.61208129644528	7.71386162011084	1.57896762241371e-11	0.400412198607957	2.84214172034467e-10
amp20_14q11.2 	20.1492336612586	2.61208129644528	7.71386162011084	1.57896762241371e-11	0.400412198607957	2.84214172034467e-10
del25_14q11.2 	17.6449079748689	2.39995995097591	7.3521676758372	8.63264648345008e-11	0.377730979311808	1.24310109361681e-09
del41_19q13.43	-15.2164487155847	6.59565243610378	-2.30704223168155	0.0233470611538367	0.0596068687835672	0.28016473384604
amp1_1p36.33 	11.9410221797718	5.66727899064227	2.10701153048733	0.0378986748002817	0.0508148206687487	0.389814940802897
del37_19p13.3 	20.9686763083149	10.6444461725468	1.96991707867295	0.0519223507453234	0.0451637830107474	0.436906817749528
del1_1p36.33 	13.1248114843422	6.73992146968371	1.94732409618983	0.0546133522186911	0.0442627999338606	0.436906817749528
amp26_19q13.12	-5.66446728936851	3.5866442570599	-1.57932230892948	0.117770544063894	0.0308525905517213	0.803482712329741
del42_21q22.3 	-13.1563379381051	8.44463660893848	-1.55795193415184	0.122754303272599	0.0301495917282043	0.803482712329741
del23_13q14.2 	-9.15686330217344	6.20908467012245	-1.4747525261228	0.143768750317333	0.0274947268168385	0.829975739334887
del44_22q13.33	-12.8904827197832	8.87505137869459	-1.45244034876554	0.149856730713244	0.0268051535101425	0.829975739334887
del31_17p11.2 	-7.88978668637719	5.71192650293662	-1.38128294933783	0.170611832237605	0.0246700237954143	0.833922753339061
amp16_12p12.1 	2.96964102328484	2.16578478897195	1.37116164006972	0.173733906945638	0.0243743005472974	0.833922753339061
del19_10q23.31	10.2963008561661	8.14978050203204	1.26338382409181	0.209714244836232	0.0213498872274067	0.870810834385247
del43_22q11.21	-6.42310266096091	5.28337769036719	-1.2157190035215	0.227271259109885	0.0200857232166149	0.870810834385247
del26_15q11.2 	-7.24277853835854	6.2922579675944	-1.15106192016592	0.25275568176047	0.0184437243883927	0.870810834385247
amp4_2q31.2  	-5.93451069032613	5.21712564600877	-1.13750580166038	0.258346208521732	0.0181101655318249	0.870810834385247
del22_12q24.32	8.87077408454025	8.10690154178773	1.09422496854255	0.276776235657937	0.0170702021163154	0.870810834385247
