estimate	std_error	t_value	p_values	r_sq	FDR
amp16_12p12.1 	0.0684934402553346	0.0180010628067266	3.80496646174358	0.00034372785612461	0.208945242612698	0.0247484056409719
amp17_12q12   	0.100461551024131	0.0328153984698394	3.06141493654161	0.00333551103982136	0.148998662323535	0.120078397433569
del12_6p21.33 	0.0769019398927918	0.0271987857440521	2.82740342221376	0.00643021944647154	0.131228565535148	0.154325266715317
amp9_6p21.33 	0.0683384969947287	0.0261806338246183	2.61026900465901	0.0114937392240698	0.115402180067651	0.187168331671371
del40_19q13.42	-0.155250607472023	0.0609503218362576	-2.54716632816316	0.0135348169344945	0.110937933752373	0.187168331671371
del36_18q23   	0.242575671721761	0.0973563741409666	2.49162598609645	0.0155973609726143	0.107062890151355	0.187168331671371
del23_13q14.2 	0.14173267047194	0.0592627867297398	2.39159645188967	0.0200386723888848	0.100217760554077	0.206112058857101
amp12_8q24.3  	0.0687952092427351	0.0302958937077824	2.27077669027678	0.02689008458127	0.0921923941695342	0.239666928525644
del6_3p12.1  	0.214490242650371	0.0963837994092476	2.22537650481738	0.0299583660657055	0.0892487796373993	0.239666928525644
del10_4q35.2  	0.189381505220687	0.0921992277489419	2.05404654512261	0.0444876183115018	0.078516437205509	0.320310851842813
del34_17q21.31	-0.105029218500134	0.0560175417882757	-1.87493444280549	0.0658395435335001	0.0679747834811295	0.430949739492001
del41_19q13.43	-0.125794984209736	0.0715752789683066	-1.75751999884538	0.0841060146571897	0.0614676872992211	0.504636087943138
del7_4p16.3  	0.129264199348831	0.0806775007434034	1.60223356149763	0.114536803848691	0.0533831899455197	0.634357682854287
amp13_10q26.3 	-0.108370598290024	0.0718860910065814	-1.50753221899495	0.137102207098232	0.0487579132595714	0.705097065076621
amp3_2q14.1  	0.120061590221484	0.0843328971591668	1.42366258323705	0.159901734327093	0.0448621263481804	0.767528324770046
del31_17p11.2 	0.0825899611420542	0.0626448607240386	1.31838366607402	0.192557993028743	0.0402465005959876	0.844217549259695
amp23_17q24.2 	-0.0390536413387985	0.0303723876103741	-1.28582717433315	0.203613357673833	0.0388824245031408	0.844217549259695
del28_15q15.1 	-0.134563737623805	0.110559241417859	-1.21711885771014	0.228488224402845	0.0361036309067071	0.844217549259695
del5_2q37.3  	0.0900651734248282	0.0742966238240504	1.21223776787113	0.230336425465174	0.0359114350670425	0.844217549259695
del2_1p36.11 	0.1008866306884	0.0839789181458364	1.20133282156841	0.23450487479436	0.0354845624629132	0.844217549259695
amp14_11q13.5 	0.0900502690896444	0.0797202828182903	1.1295778929297	0.263304209405293	0.0327630641910304	0.868424877803833
del27_15q14   	-0.0907990845098243	0.082119767011881	-1.10569096593622	0.273425687083998	0.031891025406836	0.868424877803833
del1_1p36.33 	0.0808514566914947	0.0775872109749385	1.04207195587441	0.301702594274248	0.0296522344909416	0.868424877803833
amp4_2q31.2  	0.0573757629715328	0.0582542860824182	0.984919167842131	0.328754724665631	0.0277459616258925	0.868424877803833
del11_5q13.2  	0.0656383376521679	0.0688470504720443	0.953393605130849	0.344347284964225	0.0267374402453815	0.868424877803833
del3_1q44    	0.055781400933073	0.0624432029569507	0.89331421662546	0.375380653478085	0.0249009396250485	0.868424877803833
amp21_15q26.3 	0.0646687819729072	0.0726738626389295	0.889849247372546	0.377222992623822	0.0247984635957448	0.868424877803833
del17_9p24.3  	-0.041506394018452	0.0469281645644222	-0.884466597057567	0.380096293250675	0.0246400198727517	0.868424877803833
del42_21q22.3 	0.0903826079957862	0.105182061167204	0.859296794461064	0.393714500052386	0.0239112167048606	0.868424877803833
amp27_20q13.33	0.0473009120737658	0.0552390309678893	0.856295109544227	0.395358572049669	0.0238256343082257	0.868424877803833
amp15_12p13.32	-0.0315841392053133	0.0378076353954802	-0.835390493875983	0.406926045965985	0.0232375130958371	0.868424877803833
del39_19q13.32	-0.0685071050770191	0.0841965043086146	-0.81365735596234	0.419169129601607	0.0226407698441989	0.868424877803833
amp24_19p13.12	0.0420068850316809	0.0533938973930946	0.786735696074391	0.434639505151922	0.0219224056924255	0.868424877803833
amp25_19q12   	0.0123700805439807	0.016368747833572	0.755713306219425	0.452879412253501	0.0211233519759892	0.868424877803833
amp6_4p16.3  	0.0378491917652979	0.0508111851298768	0.744898818410805	0.459340716334924	0.0208520585175106	0.868424877803833
amp11_7q36.1  	-0.0471445124234437	0.0640643098900471	-0.735893549846355	0.464761266089773	0.0206290224936163	0.868424877803833
del22_12q24.32	0.0659238519023994	0.090049561216717	0.732084099152291	0.467065236564927	0.0205354590106503	0.868424877803833
del20_11p15.5 	0.0752480643708304	0.105000833019184	0.716642546608011	0.47647061391514	0.0201609955166564	0.868424877803833
del45_xq28    	-0.052084815700723	0.0743917283306625	-0.700142567856632	0.486637276006202	0.0197693808125026	0.868424877803833
amp1_1p36.33 	0.0415929735190967	0.063870291487087	0.651210015653456	0.517482837634046	0.0186599429905665	0.868424877803833
del30_16q24.2 	-0.0574867839846479	0.0900546092039774	-0.638354710467267	0.525755441104436	0.0183814101106115	0.868424877803833
del4_2p25.3  	0.0298344024904864	0.0475378506718586	0.627592582938288	0.532734037575653	0.0181523817543298	0.868424877803833
amp2_1q21.3  	-0.034490332501414	0.0562071643116757	-0.613628759319023	0.541859896505325	0.0178608678142249	0.868424877803833
amp10_6q16.3  	-0.0472961984128909	0.077231695313299	-0.612393632187259	0.542670933200813	0.0178353903621975	0.868424877803833
amp19_14q11.2 	0.0489662696963916	0.0824358545967824	0.59399238275505	0.55482700526356	0.0174617481052018	0.868424877803833
amp20_14q11.2 	0.0489662696963916	0.0824358545967824	0.59399238275505	0.55482700526356	0.0174617481052018	0.868424877803833
amp26_19q13.12	-0.0246333566974672	0.0433192525255398	-0.568646854719944	0.571791161147807	0.0169653235488315	0.875935395800897
del33_17q11.2 	-0.0447383273648825	0.0915665434587298	-0.48858814229508	0.626975634129838	0.0155366363261844	0.940463451194757
del8_4p16.1  	0.0211113479386711	0.0483837708882757	0.436331181945697	0.664216400542928	0.0147189319416742	0.950963681087944
del16_8p23.1  	-0.0255089777421487	0.0607628936026178	-0.419811767177753	0.676174037756284	0.0144794044223594	0.950963681087944
del18_9q34.2  	-0.0324462088348848	0.0899278673049702	-0.36080260554663	0.71955783398103	0.0136984601649335	0.950963681087944
del29_16q11.2 	-0.0314606332081473	0.0902979864821184	-0.348409022546449	0.728794530411937	0.0135493021981065	0.950963681087944
del19_10q23.31	-0.0308777137477424	0.0898558585820577	-0.343636065972754	0.732362613188798	0.0134932379558487	0.950963681087944
del43_22q11.21	-0.021501272584574	0.0639676976170055	-0.336127035762781	0.737988089303705	0.0134065879995044	0.950963681087944
del25_14q11.2 	-0.0150875923774595	0.0450935325005965	-0.334584396936743	0.739145571407269	0.0133890220045455	0.950963681087944
del21_11q11   	-0.0217542761486326	0.0689405400877866	-0.315551286963106	0.753475759831126	0.0131788926306157	0.950963681087944
amp8_5q21.1  	0.00640136949529779	0.0229332777769843	0.27913016000365	0.78113785098511	0.0128108779083494	0.950963681087944
del26_15q11.2 	-0.0192901457832827	0.0711727409856597	-0.271032779068737	0.787328094835304	0.0127351495450372	0.950963681087944
