estimate	std_error	t_value	p_values	r_sq	FDR
del36_18q23   	-2897.82831837476	889.46501204487	-3.25794525825438	0.00175304730646414	0.103925619634867	0.0788339641719135
del33_17q11.2 	-2852.92972501432	895.9251563202	-3.18433934451853	0.00218983233810871	0.0984878203393689	0.0788339641719135
amp23_17q24.2 	816.458062866475	276.076365273493	2.95736312689302	0.00426383303950591	0.0821126812965405	0.102331992948142
amp13_10q26.3 	1752.16712036003	646.728735380449	2.70927674077957	0.00852476905219369	0.0649852884467838	0.153445842939486
del16_8p23.1  	-1549.93943467234	596.524894579417	-2.59828122641074	0.0114777169577948	0.0576164127292726	0.165279124192245
del35_17q21.31	-1306.84225879046	520.512379169837	-2.51068430087049	0.0144327660022038	0.0519404430085693	0.173193192026446
del7_4p16.3  	-1764.15666325082	759.663780140519	-2.32228613416911	0.0232188955293004	0.0401786992174705	0.238822925444233
del44_22q13.33	-1528.33077801384	850.800833747929	-1.79634377094022	0.0768815960157531	0.0109884661978503	0.691934364141778
amp27_20q13.33	806.758362869558	502.782025055152	1.6045887137295	0.113219128980883	0.00184949892335717	0.774278019147084
del38_19p12   	-878.741987581753	556.490385602475	-1.57907847164403	0.11895895388761	0.000699521629734412	0.774278019147084
del41_19q13.43	-965.430592966541	631.560364336725	-1.52864341634303	0.13099154414994	-0.00152731543660378	0.774278019147084
amp14_11q13.5 	1127.01399754933	757.402773017243	1.48799824571499	0.141374278889553	-0.00327623928988463	0.774278019147084
del29_16q11.2 	-1122.61624620154	769.567985390948	-1.45876162666933	0.149234579935653	-0.00450877939530425	0.774278019147084
del32_17q11.1 	-1303.74929846797	925.121928502558	-1.40927293830152	0.163311360342912	-0.00654597428188808	0.774278019147084
del26_15q11.2 	842.197808333155	607.040724684613	1.38738271434872	0.169855365287584	-0.007427208581539	0.774278019147084
del20_11p15.5 	-1181.99954542805	876.961555073537	-1.34783507736429	0.182184712078474	-0.00898807976609217	0.774278019147084
del22_12q24.32	-1104.68176305828	877.769478216557	-1.25851011053923	0.212511158388409	-0.0123639239500706	0.774278019147084
