estimate	std_error	t_value	p_values	r_sq	FDR
amp5_3q26.2  	6.92703053490865	2.23963136988592	3.09293334074951	0.0029359853169256	0.106613405855756	0.211390942818644
amp12_8q24.3  	1.95284353355269	0.823602060785089	2.3711008344141	0.0207566161498846	0.056002741780529	0.572179866956964
amp15_12p13.32	-1.8859995906216	0.814742569167138	-2.31484110686587	0.0238408277898735	0.0524146327156896	0.572179866956964
del16_8p23.1  	-6.71912383613228	3.19482339299577	-2.10312840793112	0.0393915044795183	0.0394611988882919	0.681236560066052
amp27_20q13.33	4.9348822179609	2.43999404438222	2.02249764884584	0.0473080944490314	0.0347685396333992	0.681236560066052
del28_15q15.1 	-10.118053131994	5.25939965339608	-1.9238038176963	0.0588288847689422	0.0292156822889825	0.705946617227306
del25_14q11.2 	2.13975402484504	1.41412373427206	1.51313069216429	0.135169343074067	0.00854546097678544	0.761933041020015
amp10_6q16.3  	1.23970819236729	0.822894893915794	1.50652070092216	0.136853778134106	0.00824684288344557	0.761933041020015
del10_4q35.2  	-7.01935340337189	4.6656431875394	-1.50447711520645	0.137377889960218	0.00815474856507714	0.761933041020015
del7_4p16.3  	-4.96377907608594	3.47916190759155	-1.42671689559918	0.158521967360996	0.00473126417334335	0.761933041020015
amp17_12q12   	2.94719564121344	2.08057490139287	1.41652945983363	0.161469704780715	0.00429451442339601	0.761933041020015
del35_17q21.31	-4.11557295425484	2.9162883323924	-1.41123664232425	0.163017816323274	0.00406868905925051	0.761933041020015
del5_2q37.3  	6.08517122159981	4.33249620790031	1.40454161517868	0.16499244549998	0.00378410165349052	0.761933041020015
del39_19q13.32	-5.28322689443881	3.77029915786729	-1.4012752498471	0.165962491692242	0.00364568976961077	0.761933041020015
del30_16q24.2 	-5.9827461637966	4.40149721447439	-1.35925251619432	0.178837048984838	0.0018903932620683	0.761933041020015
del1_1p36.33 	-4.08851845492238	3.06127029443707	-1.33556271145087	0.186422741544964	0.000921780404478323	0.761933041020015
del34_17q21.31	3.4282134904616	2.58237709480157	1.32754178209012	0.189045528682485	0.000597265272504921	0.761933041020015
del43_22q11.21	-3.48362945603972	2.70012589106961	-1.29017297584585	0.201632768749119	-0.000891551083922693	0.761933041020015
del21_11q11   	3.77587714112332	2.95092266751662	1.27955814724923	0.205319906475906	-0.00130749731191071	0.761933041020015
amp18_13q34   	3.6279193312123	2.87549929348696	1.26166587466378	0.211648066950004	-0.00200160422778217	0.761933041020015
amp11_7q36.1  	4.57149339362184	3.87784681201392	1.17887415755025	0.242812536623683	-0.00509782274533688	0.787774152763925
del29_16q11.2 	-3.93646336557459	3.41046580221102	-1.15423041715374	0.252697613151325	-0.00598237106456279	0.787774152763925
del38_19p12   	-2.47250641603715	2.19906177635519	-1.12434604731077	0.265065656585493	-0.00703196996463995	0.787774152763925
amp22_17q12   	0.99456814076929	0.888157220449318	1.11981090495007	0.266979283988446	-0.00718903532968285	0.787774152763925
del27_15q14   	-5.28609905847482	5.01117534463262	-1.05486212214399	0.295454395776558	-0.00937382705198475	0.787774152763925
del44_22q13.33	-3.92989766073685	4.07737995180264	-0.963829151855081	0.338759365739606	-0.0122306423810798	0.787774152763925
del26_15q11.2 	-2.79909790653485	3.04091684738045	-0.920478279090761	0.360779529539743	-0.0135057220475345	0.787774152763925
amp2_1q21.3  	2.82048931970782	3.15523831918663	0.893906904767464	0.374721002842728	-0.0142597734350527	0.787774152763925
del22_12q24.32	3.79051382085387	4.26213558523188	0.889346137647014	0.377147794862418	-0.0143870902643166	0.787774152763925
amp3_2q14.1  	2.24932672400476	2.58045133687368	0.871679574756064	0.386641517936523	-0.0148744120264603	0.787774152763925
del40_19q13.42	-2.79513387552809	3.22968650598834	-0.865450522936352	0.39002420443114	-0.0150440150129023	0.787774152763925
del17_9p24.3  	-2.4127563141278	2.89631236393247	-0.83304423382424	0.407917875649454	-0.0159076189902714	0.787774152763925
amp1_1p36.33 	2.41369459580815	2.90240714230737	0.831618197400552	0.408716624975415	-0.0159448978995012	0.787774152763925
amp24_19p13.12	1.16248332564356	1.41556403999397	0.821215637583241	0.414572072700189	-0.0162149870845552	0.787774152763925
del37_19p13.3 	-4.49185602903339	5.59871746608116	-0.802300894132719	0.425348128605233	-0.0166977308226413	0.787774152763925
del4_2p25.3  	1.86147181472293	2.35251699596032	0.791268168484819	0.431710254489786	-0.0169743215260112	0.787774152763925
del24_13q34   	2.18485909918	2.76618819316061	0.789844705642968	0.432535200169232	-0.0170097396976137	0.787774152763925
