estimate	std_error	t_value	p_values	r_sq	FDR
amp27_20q13.33	1.01374878188371	0.283038218391935	3.58166747813516	0.00078299458600554	0.174872630211841	0.0563756101923989
del37_19p13.3 	-1.88859824989324	0.644793491727203	-2.9289970728989	0.00514887113655792	0.113978429362456	0.185359360916085
amp24_19p13.12	0.745266753884939	0.276358020477788	2.69674371164068	0.00957235469166425	0.093405772764295	0.229736512599942
del30_16q24.2 	-1.13872387450961	0.475459160232449	-2.394998287451	0.0204880324761698	0.0679581720504021	0.368784584571057
del9_4q13.2  	-0.797560321000747	0.367025835274525	-2.17303591286481	0.0346411142803176	0.0503671427604696	0.450512708650571
del19_10q23.31	-0.990733125324791	0.476500386597995	-2.07918640401993	0.04285577813377	0.0432600989442147	0.450512708650571
amp26_19q13.12	0.479178931827352	0.2385849469438	2.00842063996697	0.0501266989588045	0.0380417410629388	0.450512708650571
del4_2p25.3  	0.484910329676367	0.252606740278537	1.91962545869394	0.0607375604460425	0.0316732648440406	0.450512708650571
del44_22q13.33	-1.02521120484592	0.55959186382494	-1.83206953338879	0.0730223917019564	0.0255980091952005	0.450512708650571
amp25_19q12   	0.160835067413645	0.0883280728405348	1.82088278665394	0.0747336632350607	0.0248368865484033	0.450512708650571
amp2_1q21.3  	0.579387948217365	0.320877256686628	1.80563731502853	0.0771200670124598	0.0238052277107329	0.450512708650571
del45_xq28    	-0.737011835973719	0.40915460880914	-1.8013040061282	0.0778099391753103	0.0235131805448161	0.450512708650571
del29_16q11.2 	-1.03192882496762	0.579863463620598	-1.7796065620765	0.081342572395242	0.0220588183413017	0.450512708650571
del6_3p12.1  	-0.933657958949654	0.557140531110739	-1.67580333293698	0.100147238939058	0.0152882724123381	0.503458451853766
amp8_5q21.1  	-0.203307028921849	0.123051832274506	-1.65220643336954	0.104887177469534	0.0137933867936985	0.503458451853766
del5_2q37.3  	0.655363488744343	0.429467140554162	1.52599215832601	0.133441224874035	0.00608617028958369	0.537675939735745
amp5_3q26.2  	0.310773431163011	0.207477106773292	1.49786854075708	0.140582230914189	0.00443670956436715	0.537675939735745
amp19_14q11.2 	0.666302445838136	0.451183587887652	1.47678786136177	0.146130999536187	0.00321692720778488	0.537675939735745
amp20_14q11.2 	0.666302445838136	0.451183587887652	1.47678786136177	0.146130999536187	0.00321692720778488	0.537675939735745
del12_6p21.33 	-0.233644519220467	0.159502805256572	-1.464830156715	0.149354427704374	0.00253139889835208	0.537675939735745
del42_21q22.3 	-0.807207600566194	0.576437150608145	-1.400339307962	0.167712296401787	-0.00108528142509545	0.557206298857565
amp23_17q24.2 	0.229387958825365	0.164809405714269	1.39183778881562	0.170257480206478	-0.00155180693857426	0.557206298857565
amp3_2q14.1  	0.573705698326297	0.469619225125956	1.22164014510357	0.227688678809041	-0.0103748773626391	0.699786276035841
del18_9q34.2  	-0.588068844613228	0.507383169889745	-1.15902315944184	0.25206397180702	-0.0133666645278057	0.699786276035841
amp9_6p21.33 	-0.174221565527999	0.153051657922474	-1.13831870815962	0.260522541134975	-0.0143250153271295	0.699786276035841
del35_17q21.31	-0.368264481286276	0.32740402266337	-1.12480133350383	0.266153024517185	-0.0149423346239572	0.699786276035841
amp6_4p16.3  	-0.313169934593347	0.285943788746891	-1.09521502798075	0.278776653364973	-0.0162703066427725	0.699786276035841
del11_5q13.2  	-0.454560802418583	0.415298606189696	-1.09453967733991	0.279069629189674	-0.0163002463437738	0.699786276035841
del21_11q11   	0.469405821559287	0.437915278818872	1.07191012568767	0.289011571209463	-0.0172937841762923	0.699786276035841
del23_13q14.2 	0.37195874679207	0.348877830220601	1.06615759034294	0.291577615014934	-0.0175433421590669	0.699786276035841
del43_22q11.21	-0.353331518122659	0.348209532463722	-1.01470949293862	0.31522871004487	-0.0197207472729803	0.718991682526575
del34_17q21.31	-0.333155733178818	0.339230791723851	-0.982091665340397	0.330879135397491	-0.0210500060223047	0.718991682526575
amp14_11q13.5 	0.503857600231553	0.514701467163412	0.978931734949928	0.332422392419173	-0.0211766543875933	0.718991682526575
del25_14q11.2 	0.238079421418277	0.246838407581856	0.964515302746496	0.339523850081994	-0.0217496711083234	0.718991682526575
del38_19p12   	0.280341430886665	0.328065589891123	0.854528605025915	0.396970916480532	-0.0258602925056659	0.797078290021697
del20_11p15.5 	-0.51696542245239	0.607634563789571	-0.850783436722699	0.399028163095932	-0.0259920571286008	0.797078290021697
amp17_12q12   	0.152254684893254	0.192612295349872	0.790472304048344	0.433061192028338	-0.0280385892501063	0.797078290021697
del31_17p11.2 	0.287681433475032	0.364533475476496	0.789176996979475	0.433810643781539	-0.0280809790692191	0.797078290021697
amp13_10q26.3 	0.305742311747734	0.420857833466228	0.726474090382514	0.471004473722301	-0.0300536993333032	0.797078290021697
amp21_15q26.3 	-0.308334308090439	0.425489894617417	-0.724657182205657	0.472108629589058	-0.0301085363651941	0.797078290021697
amp7_5p15.33 	0.236662706987786	0.328652122486125	0.720100954156404	0.474883957176214	-0.0302454717572915	0.797078290021697
del13_6q14.3  	0.337272909423323	0.479357866478213	0.703593146183723	0.485016263225288	-0.0307346702377278	0.797078290021697
amp12_8q24.3  	0.123377051868732	0.178028535755837	0.693018404858091	0.491569842893581	-0.0310423225378462	0.797078290021697
amp11_7q36.1  	-0.265134456684741	0.384652867298822	-0.689282413378627	0.493896846419578	-0.0311499438206242	0.797078290021697
del26_15q11.2 	0.282477066223291	0.413921717128968	0.682440796251524	0.49817393126356	-0.031345577081173	0.797078290021697
del8_4p16.1  	0.17834377805931	0.284720343830368	0.626382279748736	0.533971586072596	-0.0328776062115494	0.80509769669309
amp15_12p13.32	0.13190781685194	0.21742428439106	0.606683918594346	0.546861507209716	-0.0333857881686492	0.80509769669309
amp10_6q16.3  	0.327646320108339	0.543150049308198	0.603233527320226	0.54913556582378	-0.0334731812773936	0.80509769669309
del36_18q23   	-0.344449460239524	0.575386405258371	-0.598640247825897	0.552170314972162	-0.0335887712423362	0.80509769669309
del16_8p23.1  	-0.221744174352157	0.376983945533926	-0.588205882449712	0.559095622703535	-0.0338481631411129	0.80509769669309
del40_19q13.42	-0.203207581018408	0.399515405677408	-0.508635156819184	0.613290588026816	-0.0356799322839747	0.828399153487675
del39_19q13.32	-0.267351804332547	0.527621106286772	-0.506711731481106	0.614629775417694	-0.0357209951750663	0.828399153487675
amp18_13q34   	0.144756412058957	0.285708693395073	0.506657359070241	0.614667651562001	-0.0357221537488475	0.828399153487675
