HR	lower_CI	upper_CI	z_scores	p_values	FDR
del23_13q14.2 	1.1942740412797	3.30116039423356	0.419398490004574	2.84758784245188	0.00440519350050007	0.177639270578952
del17_9p24.3  	-1.03124876548566	0.356561420843861	0.381702624520151	-2.70170729578314	0.00689844627530062	0.177639270578952
amp17_12q12   	0.357192701244077	1.42931127337828	0.135134939699205	2.64322981191355	0.00821192769606592	0.177639270578952
del5_2q37.3  	1.14910508581414	3.15536786232922	0.445322066153826	2.58039107681947	0.00986884836549731	0.177639270578952
amp5_3q26.2  	0.356904528260915	1.42889944382669	0.171307377053726	2.08341598826174	0.037213322163643	0.535871839156459
del15_7p22.1  	0.982130891553655	2.67013996277613	0.498096775648163	1.97176721386246	0.0486361867122528	0.582363315565474
del4_2p25.3  	0.584879377648433	1.79477448266398	0.306823058025401	1.90624323156316	0.0566186556799766	0.582363315565474
del37_19p13.3 	1.27233875745562	3.56919027898208	0.724704792071498	1.7556648877935	0.0791456455473795	0.621852797200944
del31_17p11.2 	0.609224110555913	1.83900398131744	0.359545611906391	1.69442788447805	0.090184004550271	0.621852797200944
del1_1p36.33 	0.693765225061429	2.00123647106068	0.415287607537974	1.67056568139465	0.0948074958637298	0.621852797200944
amp16_12p12.1 	0.119670552815908	1.12712546209652	0.0721619851635521	1.65836004296002	0.0972448165071537	0.621852797200944
del8_4p16.1  	0.399665515668708	1.49132578909807	0.249485179680701	1.60196095086776	0.109164244793299	0.621852797200944
del3_1q44    	0.569408925411701	1.76722218254245	0.358562501005685	1.58803255726586	0.112278977272393	0.621852797200944
del38_19p12   	0.542813793434218	1.72084215058787	0.357040810206568	1.52031302281711	0.12843232255476	0.628453402696253
amp3_2q14.1  	0.557077444625478	1.74556353222882	0.36881473769716	1.51045331893137	0.130927792228386	0.628453402696253
amp18_13q34   	0.430335042851451	1.53777265698345	0.31011232796698	1.38767473603072	0.165236112415396	0.697037772997233
amp27_20q13.33	0.41767551597573	1.5184278888641	0.306109953702897	1.36446238001498	0.172422086577197	0.697037772997233
amp9_6p21.33 	0.201731551858441	1.22351951248202	0.152485299262798	1.32295737906361	0.185849551953707	0.697037772997233
amp23_17q24.2 	0.202802944715812	1.22483108502782	0.154074159702543	1.31626838080665	0.18808397953295	0.697037772997233
del14_6q27    	-0.644604885278298	0.524869884960314	0.495872875430627	-1.29993979751062	0.193621603610342	0.697037772997233
amp24_19p13.12	0.226511947531936	1.25421759454915	0.18479483916496	1.22574823277254	0.220293433378078	0.727415809998583
del16_8p23.1  	-0.457504168653852	0.632861190842341	0.385531970225892	-1.18668282784898	0.235352750991746	0.727415809998583
del25_14q11.2 	0.169404127494038	1.18459877113606	0.143316050774494	1.1820317862414	0.23719308869857	0.727415809998583
amp7_5p15.33 	0.323425619482229	1.38185336947631	0.276870892212062	1.16814597915374	0.242747886435501	0.727415809998583
del12_6p21.33 	0.183708353964759	1.20166531106241	0.160567741392774	1.14411744458297	0.252574934027286	0.727415809998583
del26_15q11.2 	0.420001412840725	1.52196370590942	0.389282654462168	1.07891119223125	0.280627318984534	0.764051609059629
amp21_15q26.3 	0.446871880597387	1.56341398278897	0.419287660401496	1.06578829476994	0.286519353397361	0.764051609059629
