HR	lower_CI	upper_CI	z_scores	p_values	FDR
del17_9p24.3  	-0.717967599780418	0.487742537335033	0.238397048134575	-3.01164634964409	0.00259835117763596	0.0810219561158784
del31_17p11.2 	0.932976961479096	2.54206555575078	0.314552515218356	2.96604514775996	0.00301656203259099	0.0810219561158784
del5_2q37.3  	1.00076536292897	2.72036309696231	0.350477804013273	2.85543150370534	0.00429783923901488	0.0810219561158784
del8_4p16.1  	0.550766037583658	1.73458126349916	0.198135267692048	2.77974761383566	0.00544011611531563	0.0810219561158784
del3_1q44    	0.683684323507804	1.98116354977364	0.246925493634484	2.76878791835014	0.00562652473026933	0.0810219561158784
del15_7p22.1  	0.899856516091631	2.45925022300702	0.349911542521618	2.5716685697387	0.010120973031929	0.121451676383148
del33_17q11.2 	0.93849824661956	2.55613984285189	0.400678714561663	2.34227128248194	0.0191667776111296	0.197143998285904
del23_13q14.2 	0.713591187184885	2.04130883351518	0.350740365524029	2.03452826457181	0.0418983618061048	0.377085256254943
del32_17q11.1 	0.777706573421009	2.17647495169973	0.416243383672284	1.8683938386233	0.0617071952609958	0.493657562087966
amp17_12q12   	0.213795363661679	1.23836921352135	0.137618753532941	1.55353364402116	0.120295698040834	0.759188568012956
del20_11p15.5 	0.608787946889138	1.83820204949721	0.392580153674402	1.55073541337002	0.120965104136982	0.759188568012956
del37_19p13.3 	0.799126532578866	2.22359783973293	0.529479213205228	1.50926894323446	0.13123006791824	0.759188568012956
amp27_20q13.33	0.345563314167421	1.41278553766407	0.234766669147161	1.47194367676959	0.141036087759318	0.759188568012956
amp9_6p21.33 	0.183802900243073	1.20177892941636	0.126936628872006	1.44798945644292	0.147619999335853	0.759188568012956
del12_6p21.33 	0.18076450424901	1.19813299083895	0.133108330139429	1.35802548239965	0.174455598454394	0.776704204589332
del25_14q11.2 	0.135471129975707	1.14507613698134	0.100264750941319	1.3511341593517	0.176652460819719	0.776704204589332
amp3_2q14.1  	0.370749621321828	1.44882027426478	0.278676559949902	1.33039399290876	0.183388492750259	0.776704204589332
amp7_5p15.33 	0.318377842470295	1.37489565706794	0.247525133016608	1.28624450612429	0.198357742968511	0.793430971874045
del11_5q13.2  	0.408181738514022	1.504080485685	0.330238736419754	1.23602016813436	0.216451067048005	0.801153934899436
del14_6q27    	-0.363585264889143	0.695179450290312	0.298070899240406	-1.21979457174683	0.222542759694288	0.801153934899436
amp19_14q11.2 	0.100339813497081	1.10554653388624	0.0939140500158289	1.06842174818538	0.285330311095716	0.83891120369096
amp20_14q11.2 	0.100339813497081	1.10554653388624	0.0939140500158289	1.06842174818538	0.285330311095716	0.83891120369096
del30_16q24.2 	0.460617266507397	1.58505208265306	0.449262767367309	1.02527362595976	0.305234096616361	0.83891120369096
del18_9q34.2  	0.402507169314544	1.49556964739573	0.395346825559088	1.01811154989124	0.308624947071402	0.83891120369096
del21_11q11   	0.357503659356109	1.42975579842411	0.354018177116088	1.00984548948423	0.312569322145955	0.83891120369096
amp16_12p12.1 	0.0709774521769575	1.07355701922176	0.0716029362601324	0.991264547016584	0.321556419738114	0.83891120369096
del42_21q22.3 	-0.389656661727423	0.677289373946587	0.405065469986386	-0.961959709230507	0.336069843279334	0.83891120369096
amp26_19q13.12	0.132749298165	1.1419636700533	0.139985683587164	0.948306246490852	0.342973571815966	0.83891120369096
del34_17q21.31	0.211583387086308	1.23563299716827	0.224131287855176	0.944015398791728	0.345161779343488	0.83891120369096
del45_xq28    	0.265652240795125	1.30428140394622	0.290992500222832	0.912917826375931	0.361285761224178	0.83891120369096
amp23_17q24.2 	0.116633369360174	1.12370736860651	0.130139430919687	0.896218529126285	0.370136061420856	0.83891120369096
amp1_1p36.33 	-0.261190041892194	0.770134547880416	0.293093682524928	-0.891148658142705	0.372849423862649	0.83891120369096
