estimate	std_error	t_value	p_values	r_sq	FDR
del24_13q34   	4.85562369432069e-16	1.42414705671446e-16	3.40949600073093	0.000918768887336099	0.48771734416516	0.0611100078633598
amp18_13q34   	4.48978352988677e-16	1.39431634342133e-16	3.22006089297488	0.00169750021842666	0.487620511471011	0.0611100078633598
del23_13q14.2 	-4.95373794691718e-16	1.74936513297774e-16	-2.8317346982245	0.00553237353630851	0.486701637767067	0.132776964871404
del11_5q13.2  	-4.3198480950633e-16	2.02376321098788e-16	-2.13456202366412	0.0350798600512358	0.487231215535152	0.631437480922244
del35_17q21.31	-3.12855902195786e-16	1.61383504045153e-16	-1.93858662350182	0.0551860132683232	0.485556687191225	0.794678591063854
del42_21q22.3 	-3.68976625849538e-16	2.2528356537702e-16	-1.63783197070786	0.104394325227735	0.485770770598326	0.866373685758798
del28_15q15.1 	-4.80335884921976e-16	2.93430744096203e-16	-1.63696509171683	0.104575666382405	0.486237556847524	0.866373685758798
amp3_2q14.1  	-2.74442138110882e-16	1.70421512708792e-16	-1.61037262108943	0.110262789874647	0.486372761528857	0.866373685758798
del22_12q24.32	-3.42144379792635e-16	2.26096317228849e-16	-1.51326825658254	0.133159730763638	0.484883227962979	0.866373685758798
del45_xq28    	2.65640659792865e-16	1.79855592636711e-16	1.47696635894681	0.142621875971909	0.489754379032565	0.866373685758798
del19_10q23.31	-3.27728903230836e-16	2.21920210462283e-16	-1.47678709635388	0.142669867211526	0.490548057561592	0.866373685758798
del2_1p36.11 	-3.27492783308181e-16	2.22727867288872e-16	-1.47037183669267	0.144395614293133	0.488311519464182	0.866373685758798
del20_11p15.5 	-3.46930243661513e-16	2.50494337599256e-16	-1.38498237918869	0.168938740438747	0.487169170385326	0.883798379796076
del7_4p16.3  	-2.72035082555052e-16	2.01576318148244e-16	-1.3495388994802	0.180012385822632	0.487374589390383	0.883798379796076
del4_2p25.3  	-1.92600587167774e-16	1.45890213765923e-16	-1.32017482321876	0.189593850226843	0.488055617603761	0.883798379796076
del15_7p22.1  	-2.85089700863758e-16	2.19302339743606e-16	-1.29998476622305	0.196399639954684	0.486797191598465	0.883798379796076
del36_18q23   	3.15084052527182e-16	2.605877608666e-16	1.20912836228129	0.229278511169328	0.485186276788739	0.954809815523156
del37_19p13.3 	-3.54992072722431e-16	3.13711592641926e-16	-1.13158735937318	0.260337685956556	0.48458804361967	0.954809815523156
amp6_4p16.3  	-1.6435938326689e-16	1.46642298520325e-16	-1.1208183786352	0.264874451005464	0.485100513102109	0.954809815523156
amp12_8q24.3  	-6.34828978291514e-17	5.68700336557618e-17	-1.11628029294686	0.266802710941457	0.485511479489098	0.954809815523156
del43_22q11.21	-1.59647732873702e-16	1.53525545017876e-16	-1.03987732370605	0.300740959705518	0.485120046517737	0.954809815523156
del10_4q35.2  	-2.32544992304956e-16	2.48238405651375e-16	-0.936780880842193	0.350980866320095	0.489175701898688	0.954809815523156
del30_16q24.2 	2.17152951080707e-16	2.32273339606253e-16	0.934902608490592	0.351943609351228	0.489068752265776	0.954809815523156
del44_22q13.33	-2.26480574347287e-16	2.44314121663069e-16	-0.92700566306038	0.356009863162969	0.489919523231671	0.954809815523156
del14_6q27    	-1.77504642675152e-16	1.97671395958918e-16	-0.897978393960664	0.37121323881221	0.489038889954812	0.954809815523156
amp5_3q26.2  	-9.47866190014198e-17	1.08500989620525e-16	-0.873601423663784	0.384291776872067	0.487849638423497	0.954809815523156
amp11_7q36.1  	1.58285327214605e-16	1.86631190245697e-16	0.848118296873232	0.398265358909466	0.488403882588061	0.954809815523156
del33_17q11.2 	-1.84260905765993e-16	2.23552960085031e-16	-0.824238273096034	0.411637737540322	0.489031423068778	0.954809815523156
amp23_17q24.2 	-7.80455825337719e-17	9.6859793304118e-17	-0.805758301473205	0.422169296855428	0.488664058827084	0.954809815523156
del9_4q13.2  	-1.48015124591878e-16	1.83796669886543e-16	-0.805319947762095	0.422421039801257	0.487675031528378	0.954809815523156
del25_14q11.2 	7.09099447324324e-17	8.99787704991642e-17	0.788074168373873	0.432395746431812	0.488432466934469	0.954809815523156
del26_15q11.2 	1.34693233897596e-16	1.78610572143483e-16	0.754116804403906	0.452435483281182	0.488175867165736	0.954809815523156
del32_17q11.1 	-1.45574259735182e-16	1.93375940211838e-16	-0.752804405634481	0.453220525244529	0.487874996084212	0.954809815523156
amp2_1q21.3  	-1.1299756242354e-16	1.54737244798182e-16	-0.730254455357005	0.466830513692817	0.487366707214021	0.954809815523156
del27_15q14   	1.7403889939207e-16	2.45402349258729e-16	0.709198179714981	0.479743962942634	0.488018775676438	0.954809815523156
amp27_20q13.33	-1.02493554061537e-16	1.48186119373563e-16	-0.691654214948171	0.490652555176163	0.488190114192939	0.954809815523156
amp14_11q13.5 	-1.27510461780985e-16	1.84361588142328e-16	-0.691632476514284	0.4906661551994	0.488288593213264	0.954809815523156
del34_17q21.31	-8.22447648955712e-17	1.49743383011083e-16	-0.549238058081564	0.583986514432131	0.487142139112968	0.97267829328209
amp26_19q13.12	4.28906131290344e-17	8.01248268528982e-17	0.535297420458426	0.593555019577581	0.486743359268463	0.97267829328209
del18_9q34.2  	1.22776279396694e-16	2.32817234138924e-16	0.527350476655147	0.599041975595439	0.4859633811631	0.97267829328209
amp22_17q12   	-3.20283004707092e-17	6.37342310153399e-17	-0.502529017146224	0.616328149510788	0.486397873940798	0.97267829328209
del29_16q11.2 	1.07851927766901e-16	2.19003493836254e-16	0.492466699401336	0.623398444580104	0.486175698968683	0.97267829328209
del13_6q14.3  	8.33721070868893e-17	1.76572899574149e-16	0.47216819391856	0.637768285817016	0.48649198650645	0.97267829328209
amp24_19p13.12	-4.71836838799108e-17	1.01254666165203e-16	-0.465990217210609	0.642169718005111	0.485585641930249	0.97267829328209
del8_4p16.1  	-4.97219330852059e-17	1.2528775664114e-16	-0.396861867577561	0.692259773086176	0.485674295611413	0.97267829328209
del31_17p11.2 	-6.02709536031782e-17	1.58742194463518e-16	-0.379678218553478	0.704936811029437	0.485939849702192	0.97267829328209
amp9_6p21.33 	-2.99979164101456e-17	8.34711975290994e-17	-0.359380448563563	0.720018754931599	0.485870818091947	0.97267829328209
amp7_5p15.33 	-4.92157844064868e-17	1.39338840373987e-16	-0.353209372737645	0.724626394792618	0.485728044694127	0.97267829328209
amp19_14q11.2 	1.23230614461402e-17	3.55323805035092e-17	0.346812154759043	0.729413582247416	0.486179785356492	0.97267829328209
amp20_14q11.2 	1.23230614461402e-17	3.55323805035092e-17	0.346812154759043	0.729413582247416	0.486179785356492	0.97267829328209
amp8_5q21.1  	-2.53485297296304e-17	7.33829220576054e-17	-0.345428187088705	0.730450653963839	0.485979380896116	0.97267829328209
del16_8p23.1  	-6.05990105952817e-17	1.75836084592767e-16	-0.344633530345195	0.731046353508816	0.485945032720417	0.97267829328209
