cytoband	14q13.3	1q21.3	8q24.21	11q13.3	7p11.2	3q26.33	12q15	8q24.3	5p15.33	17q24.2	7p22.1	19q13.2	18p11.32	5q35.1	4q12	19q12	8p11.23	22q11.21	9q34.3	20q11.21	7q31.2	12p12.1	6p21.1	10q21.2	17q12	Xp22.33	6q21	4p16.3	6p22.2	12p13.33	12q13.2	1p34.1	2q31.2	16p13.12	2p16.1	21q22.2	20q13.32	3p21.31	16q22.1	
q value	7.1284e-46	1.3648e-24	3.6931e-29	1.1363e-20	6.3992e-15	7.1666e-12	7.1666e-12	1.1044e-15	4.3665e-09	9.0368e-09	1.5981e-08	2.6215e-12	2.3593e-05	2.9708e-05	3.0924e-05	9.1388e-10	4.9401e-05	0.00012244	0.00014916	0.00023187	0.00040695	0.00060149	0.0011101	0.0012324	0.00027375	0.0019815	0.0020844	0.0035931	0.0087073	0.0079139	0.0014878	0.011245	0.015308	0.018645	0.022633	0.026997	0.019556	0.047214	0.047214	
residual q value	7.1284e-46	1.3648e-24	2.4819e-23	1.1363e-20	6.4643e-14	7.1666e-12	2.3187e-11	9.0587e-10	4.3665e-09	2.4772e-08	2.8236e-08	3.6282e-06	2.3593e-05	2.9708e-05	3.0924e-05	3.7213e-05	4.9401e-05	0.00012244	0.00014916	0.00036216	0.00062682	0.00072652	0.0011101	0.0012324	0.0013871	0.0019815	0.0020844	0.0035931	0.0087073	0.0096503	0.010239	0.011245	0.015308	0.018645	0.022633	0.026997	0.033916	0.047214	0.047214	
wide peak boundaries	chr14:36984062-38058060	chr1:120611985-155870293	chr8:125874960-131862818	chr11:69456182-69465967	chr7:53722881-64721545	chr3:181428062-182665073	chr12:68307523-77814030	chr8:142098978-146364022	chr5:254566-1295240	chr17:66519913-68921039	chr7:6045594-6442011	chr19:36833799-41726651	chr18:1-2548100	chr5:170817096-173763355	chr4:46047407-54274662	chr19:28780463-31706410	chr8:31397749-38858430	chr22:1-22133486	chr9:139438516-141213431	chr20:21177899-30954227	chr7:116372779-123382289	chr12:21652498-27578911	chr6:41311893-45769417	chr10:56851397-63769819	chr17:33446593-37676274	chrX:1-5699393	chr6:100315028-106554309	chr4:1-12321668	chr6:25795578-26065276	chr12:1-1023647	chr12:55427312-56490580	chr1:45799181-51436104	chr2:170845414-193562207	chr16:11349019-23619258	chr2:58496277-61710158	chr21:37557475-48129895	chr20:57429356-57485422	chr3:47205380-52436653	chr16:67116180-68867297	
genes in wide peak	PAX9	hsa-mir-555	hsa-mir-1208	CCND1	hsa-mir-4283-2	SOX2	hsa-mir-1279	hsa-mir-1234	SDHA	KCNJ2	PMS2	hsa-mir-641	ADCYAP1	BNIP1	CNGA1	CCNE1	ADRB3	hsa-mir-130b	hsa-mir-602	hsa-mir-1825	CAPZA2	hsa-mir-4302	hsa-mir-586	ANK3	hsa-mir-2909	SLC25A6	PRDM1	hsa-mir-572	HIST1H1C	NINJ2	CD63	CDKN2C	hsa-mir-3129	hsa-mir-3179-3	PEX13	hsa-mir-3197	GNAS	hsa-mir-135a-1	hsa-mir-328	
	NKX2-1	hsa-mir-92b	hsa-mir-1207		hsa-mir-3147	ATP11B	CPM	hsa-mir-939	SLC9A3	KCNJ16	RAC1	ACTN4	CETN1	NKX2-5	GABRA2	UQCRFS1	EIF4EBP1	hsa-mir-649	hsa-mir-4292	hsa-mir-3193	CFTR	hsa-mir-920	BYSL	CDK1	ACACA	ARSD	GRIK2	hsa-mir-3138	HIST1H2BB	RAD52	CDK2	CYP4A11	hsa-mir-1245	hsa-mir-3180-2	REL	ADARB1		hsa-mir-566	AGRP	
	NKX2-8	hsa-mir-4258	hsa-mir-1205		hsa-mir-4283-1	DCUN1D1	CSRP2	hsa-mir-661	TERT	PRKAR1A	AIMP2	AKT2	TYMS	DUSP1	GABRA4	URI1	FGFR1	hsa-mir-1286	hsa-mir-126	hsa-mir-663	KCND2	BCAT1	RUNX2	TFAM	AP2B1	ARSE	PREP	hsa-mir-548i-2	HIST1H1A	KDM5A	DGKA	CYP4B1	hsa-mir-561	hsa-mir-484	XPO1	AIRE		hsa-mir-4271	CBFB	
	SLC25A21	hsa-mir-190b	hsa-mir-1204		CCT6A	SOX2-OT	IFNG	hsa-mir-937	TRIP13	MAP2K6	CYTH3	AXL	YES1	NPM1	GABRB1	ZNF536	NRG1	hsa-mir-1306	ABCA2	BCL2L1	MET	GYS2	CCND3	UBE2D1	CACNB1	ARSF	SIM1	hsa-mir-95	SLC17A1	SLC6A12	ERBB3	ELAVL4	hsa-mir-1258	hsa-mir-1972-1	USP34	PTTG1IP		hsa-mir-191	CDH1	
	MIPOL1	hsa-mir-554	ADCY8		EGFR	FLJ46066	KCNC2	hsa-mir-1302-7	PDCD6	ABCA10	EIF2AK1	BLVRB	USP14	STK10	GABRG1	POP4	STAR	hsa-mir-185	C8G	ENTPD6	NDUFA5	ITPR2	CDC5L	CCDC6	LASP1	ASMT	ASCC3	hsa-mir-4274	HIST1H2AB	SLC6A13	BLOC1S1	FAAH	hsa-mir-3128	hsa-mir-3180-1	BCL11A	C21orf2		hsa-mir-711	CDH3	
	LOC100129794	hsa-mir-4257	MYC		ERV3-1		LYZ	BAI1	SLC12A7	ABCA9	USP42	CLC	THOC1	STC2	SGCB	PLEKHF1	TACC1	hsa-mir-648	CACNA1B	CST1	PTPRZ1	KCNJ8	SLC29A1	RHOBTB1	LHX1	CSF2RA	BVES	hsa-mir-943	HIST1H3A	WNK1	ITGA7	FOXE3	hsa-mir-1246	hsa-mir-365-1	PAPOLG	CBS		hsa-mir-2115	CTRL	
	MIR4503	hsa-mir-3118-3	POU5F1B		GBAS		MDM2	CYC1	TPPP	ABCA8	C7orf70	CYP2A6	CLUL1	FGF18	TEC	C19orf12	ADAM9	hsa-mir-3198	ENTPD2	CST2	SLC13A1	KRAS	GUCA1A	ZWINT	MLLT6	IL3RA	HACE1	hsa-mir-571	HIST1H3C	CCDC77	MMP19	FOXD2	hsa-mir-10b	hsa-mir-548h-2	KIAA1841	COL6A1		hsa-mir-1226	E2F4	
