sample	segment_count	included
X1032	160	yes
X103	125	yes
X1040	119	yes
X106	155	yes
X1097	399	yes
X1098	211	yes
X1172	228	yes
X1177	301	yes
X1192	231	yes
X1196	351	yes
X119	275	yes
X120	283	yes
X1230	357	yes
X1237	446	yes
X1265	190	yes
X1269	481	yes
X1283	252	yes
X128	322	yes
X1326	94	yes
X1341	279	yes
X1364	159	yes
X137	145	yes
X1410	558	yes
X1419	188	yes
X1471	347	yes
X1499	141	yes
X1530	522	yes
X1548	184	yes
X1552	158	yes
X1568	225	yes
X1580	329	yes
X1582	205	yes
X1593	187	yes
X1605	208	yes
X1634	76	yes
X1652	220	yes
X1677	84	yes
X1689	353	yes
X1718	182	yes
X1751	203	yes
X1851	240	yes
X1922	272	yes
X1928	140	yes
X1979	406	yes
X2090	289	yes
X2120	131	yes
X2152	306	yes
X2176	102	yes
X2212	489	yes
X2316	126	yes
X2354	259	yes
X2357	152	yes
X2360	179	yes
X2362	253	yes
X2374	217	yes
X23	178	yes
X2401	392	yes
X2412	120	yes
X2415	357	yes
X2429	238	yes
X2438	96	yes
X2443	302	yes
X2503	351	yes
X2529	238	yes
X2554	228	yes
X2556	147	yes
X2577	139	yes
X2587	152	yes
X2593	212	yes
X2638	202	yes
X2648	195	yes
X2665	546	yes
X2700	326	yes
X2704	98	yes
X2716	387	yes
X2763	329	yes
X2773	124	yes
X2797	237	yes
X2816	169	yes
X2825	234	yes
X2890	188	yes
X2902	243	yes
X2949	295	yes
X2991	254	yes
X2998	316	yes
X300	334	yes
X301	344	yes
X3056	149	yes
X3059	80	yes
X3080	189	yes
X3107	426	yes
X3144	116	yes
X3151	231	yes
X3225	172	yes
X3238	228	yes
X3297	283	yes
X3349	162	yes
X3391	124	yes
X342	198	yes
X356	225	yes
X429	202	yes
X451	362	yes
X472	387	yes
X544	143	yes
X592	335	yes
X603	138	yes
X655	136	yes
X736	144	yes
X80	235	yes
X860	112	yes
X88	102	yes
X935	192	yes
X93	326	yes
X94	233	yes
X970	273	yes
X987	321	yes
X991	71	yes
