cytoband	11q13.3	3p13	5p15.33	1p12	22q13.2	1q44	7q34	19p13.2	12q14.1	12q15	6p24.3	4q12	6q12	17q25.3	1q21.3	7p22.1	15q26.1	8q24.3	8q11.21	20q13.33	15q24.3	13q31.3	9p13.3	5q35.3	1p36.11	1p22.3	Xq28	
q value	1.2844e-20	1.3532e-18	8.757e-18	3.0185e-16	4.6226e-15	1.4432e-11	8.5827e-07	9.5692e-06	4.1022e-09	4.8347e-13	4.5749e-05	0.00019804	0.00019804	0.0002176	3.4578e-07	0.0017092	1.0618e-06	0.00018771	0.0024915	0.013981	0.00028441	0.062204	0.10936	0.1137	0.103	0.054618	0.17941	
residual q value	1.2844e-20	1.3532e-18	8.757e-18	2.0601e-15	4.6226e-15	1.6885e-10	8.5827e-07	9.5692e-06	1.1755e-05	1.2773e-05	4.5749e-05	0.00019804	0.00019804	0.0002176	0.0012118	0.0017092	0.0035291	0.0068284	0.0091142	0.013981	0.01689	0.062204	0.10936	0.1137	0.12424	0.1763	0.17941	
wide peak boundaries	chr11:69399650-69464717	chr3:69912794-70022006	chr5:1288616-1300024	chr1:120229720-120523901	chr22:41506105-41722063	chr1:246019726-247052144	chr7:140206700-140746356	chr19:7300056-7398264	chr12:58135797-58173465	chr12:69127775-69659997	chr6:1-14532705	chr4:55750164-55761654	chr6:64121293-64551947	chr17:75966659-80415913	chr1:150342696-156039450	chr7:1-8532843	chr15:88846927-102531392	chr8:121622041-146364022	chr8:52102620-52218326	chr20:61708709-63025520	chr15:76044968-78215679	chr13:90503828-91307433	chr9:35300806-36605003	chr5:176011890-180915260	chr1:24476371-25429890	chr1:85979933-86002734	chrX:148404568-155270560	
genes in wide peak	CCND1	MITF	TERT	HMGCS2	EP300	AHCTF1	BRAF	[INSR]	CDK4	CPM	BMP6	[KIT]	PTP4A1	ACTG1	ADAR	ACTB	hsa-mir-1302-10	hsa-mir-1302-7	[PXDNL]	hsa-mir-941-3	ETFA	MIR622	CA9	CANX	RUNX3	DDAH1	hsa-mir-224	
				NOTCH2	RANGAP1	SCCPDH	NDUFB2		CYP27B1	MDM2	BPHL		PHF3	BIRC5	ARNT	GNA12	hsa-mir-3174	hsa-mir-151		CHRNA4	RCN2	LINC00559	CCIN	DBN1	SRRM1		ABCD1	
				ADAM30	ZC3H7B	TFB2M	DENND2A		METTL1	CPSF6	DSP		EYS	ARHGDIA	CHRNB2	GPER1	ACAN	hsa-mir-548d-1		EEF1A2	TYRO3P		CD72	F12	RCAN3		ARHGAP4	
				PHGDH	L3MBTL2	SMYD3	MRPS33		TSPAN31	SLC35E3	EDN1			CD7	CKS1B	ICA1	ALDH1A3	ADCY8		NPBWR2	PSTPIP1		CLTA	FGFR4	CLIC4		ATP2B3	
				REG4	CHADL	LOC149134	ADCK2		METTL21B	NUP107	SERPINB1			CSNK1D	CLK2	LFNG	ANPEP	ANXA13		KCNQ2	TSPAN3		NPR2	FLT4	NIPAL3		ATP6AP1	
				NBPF7	LOC101927279	CNST	NDUFB2-AS1		MARCH9	LOC100130075	F13A1			SLC25A10	CTSK	NUDT1	BLM	BAI1		MYT1	HMG20A		RMRP	GRK6	GRHL3		AVPR2	
					MIR6889	RP11-690C23.2			AGAP2		FOXF2			FASN	CTSS	PDGFA	CHD2	CYC1		OPRL1	FBXO22		TESK1	GRM6	STPG1		BGN	
