cytoband	6p22.1	1q21.2	11q13.3	12q15	15q26.3	22q13.2	17q25.1	12q14.1	7q34	14q11.2	8q24.21	5p15.33	3p13	1q44	11q12.3	7p21.3	5q31.3	19q13.43	22q11.21	12p13.31	16p11.2	1p36.33	
q value	1.7726e-10	5.4565e-10	1.7662e-07	9.7254e-10	1.8889e-06	3.1282e-08	0.00011415	1.1644e-08	0.0015093	0.0029479	0.0041445	0.0062121	0.0067473	0.00161	0.0072077	0.010142	0.010478	0.011646	0.0002535	0.039468	0.11581	0.17356	
residual q value	1.7726e-10	1.0501e-09	1.7902e-07	8.3332e-07	1.8889e-06	1.8889e-06	0.00011415	0.000433	0.0015093	0.0029479	0.0041445	0.0062121	0.0067473	0.0085265	0.0087322	0.010142	0.010478	0.011646	0.037053	0.039468	0.11581	0.17356	
wide peak boundaries	chr6:27424603-27889222	chr1:149755861-149871854	chr11:68574075-71148801	chr12:69127023-69603396	chr15:81655413-102252063	chr22:41205390-42531276	chr17:60814501-81195210	chr12:57923125-58350630	chr7:128399868-141907556	chr14:1-20760272	chr8:127585326-130506379	chr5:1-1321872	chr3:68456782-74354072	chr1:239206203-249250621	chr11:62300816-62652972	chr7:1-11023837	chr5:140073724-140856543	chr19:57722807-59128983	chr22:1-22152453	chr12:6167162-7102453	chr16:28734798-31503492	chr1:1-47273779	
genes in wide peak	HIST1H1B	FCGR1A	hsa-mir-3164	CPM	hsa-mir-3174	ACO2	hsa-mir-548d-2	CDK4	hsa-mir-96	OR4K5	MYC	SDHA	GPR27	ADSS	EEF1G	ACTB	PCDHGC3	hsa-mir-1274b	hsa-mir-649	CD4	ALDOA	hsa-mir-552	
	ZNF184	HIST2H2AA3	CCND1	MDM2	ACAN	CYP2D6	hsa-mir-633	CYP27B1	AKR1B1	OR11H2	POU5F1B	SLC9A3	MITF	CHML	GNG3	GNA12	TAF7	A1BG	ARVCF	CD9	ATP2A1	hsa-mir-1256	
	HIST1H2AI	HIST2H2AC	CPT1A	SLC35E3	ALDH1A3	EP300	AANAT	B4GALNT1	OPN1SW	OR4K1	PVT1	TERT	CNTN3	CHRM3	POLR2G	GPER1	PCDHGB4	FKBP1AP1	ATP6V1E1	CD27	CD19	hsa-mir-1290	
	HIST1H2AK	HIST2H2BE	DHCR7	NUP107	ANPEP	XRCC6	ACOX1	KIF5A	BPGM	OR4K15	TMEM75	TRIP13	TMF1	FH	ROM1	ICA1	PCDHGA8	RPS5	BID	CHD4	COX6A2	hsa-mir-1273d	
	HIST1H2AJ	HIST2H4A	CTTN	LOC100130075	BLM	NAGA	ACTG1	METTL1	BRAF	TTC5	CASC8	PDCD6	UBA3	HNRNPU	SLC3A2	LFNG	PCDHA9	AURKC	COMT	ATN1	CTF1	hsa-mir-551a	
	HIST1H2AL	BOLA1	FGF3		BNC1	NDUFA6	BIRC5	TSPAN31	CALD1	OR4K14	LINC00977	SLC12A7	ARL6IP5	RGS7	STX5	NUDT1	HARS2	ZNF8	CRKL	ENO2	SEPT1	hsa-mir-1302-2	
	HIST1H2AM	HIST2H2AB	FGF4		CHD2	NHP2L1	APOH	TSFM	CALU	OR4L1	MIR1205	TPPP	PDZRN3	ZNF124	MTA2	NDUFA4	PCDHGA12	ZNF17	GGT3P	GAPDH	FUS	AK2	
	HIST1H2BL	HIST2H3A	IGHMBP2		FES	PMM1	ARHGDIA	CTDSP2	CHRM2	OR11H6	MIR1206	EXOC3	FRMD4B	KMO	SNORD29	PDGFA	PCDHB5	MZF1	GP1BB	GNB3	ITGAD	ALPL	
	HIST1H2BN	HIST2H2BC	PPFIA1		IDH2	RANGAP1	CACNG1	DCTN2	CPA1	OR4N2	MIR1207	PP7080	RYBP	EXO1	SNORD31	PMS2	PCDHB1	ZNF132	GSC2	LAG3	ITGAL	RERE	
	HIST1H2BM	HIST2H2BF	FADD		IGF1R	SREBF2	CD7	AVIL	CPA2	OR4K2	MIR1204	CEP72	FOXP1	CEP170	SNORD30	PRKAR1B	PCDHB18	ZNF134	SERPIND1	LTBR	ITGAM	ATP6V0B	
	HIST1H2BO	HIST2H3D	FGF19		ISG20	ST13	CD79B	OS9	FLNC	OR4K13	MIR1208	AHRR	EBLN2	AKT3	SNORD28	RAC1	PCDHB17	ZNF135	PI4KA	NOP2	ITGAX	BAI2	
	HIST1H3I		SHANK2		MAN2A2	TEF	CDK3	METTL21B	IRF5	OR4K17	CCAT1	BRD9	SHQ1	ZBTB18	SNORD27	RPA3	PCDHGB7	ZNF154	SEPT5	PTMS	KIF22	BMP8B	
