Sample	Chromosome	Start_position	End_position	Num_markers	Seg.CN
X103	1	17000	19184200	4474	-0.867818265022005
X103	1	19185300	27686900	2175	-1.61752887620044
X103	1	27727600	55051300	5415	-0.867733525521285
X103	1	55052400	109075000	3817	-0.762513913474654
X103	1	109075686	119896000	1868	-0.848012219557851
X103	1	119896200	167836539	5934	-0.889404968955741
X103	1	167837200	248858600	9898	-0.827851075433984
X103	2	14400	17817100	1140	-1.48556966753835
X103	2	17931200	102381700	8860	-0.814638266348054
X103	2	102384942	104379700	92	-0.894833022669651
X103	2	104771800	170956500	5455	-1.53098198894788
X103	2	170961700	215422298	4771	-0.76351468348451
X103	2	215423400	233481400	2831	-0.892827805323148
X103	2	233485700	233867100	208	-0.825489832281849
X103	2	233926457	237553681	310	-0.375203687490438
X103	2	237566510	241253600	892	-0.924432586953657
X103	3	197800	141487200	14850	-0.821235992241612
X103	3	141512200	183806743	2811	-0.73412474029251
X103	3	183806900	197960603	2093	-0.822598123491912
X103	4	53400	68479000	4806	-1.53236567872225
X103	4	68496800	68654100	14	-2.37880257080462
X103	4	68654300	190060400	7927	-1.50396738218859
X103	5	140300	677900	186	-1.52930083055184
X103	5	710700	1421900	289	-0.794887063252448
X103	5	1422100	2755300	90	-1.41169549066143
X103	5	3508900	51393500	2481	-0.795213157604434
X103	5	51393700	69635100	1213	-1.50345277160047
X103	5	69635400	71082800	49	-2.54945671396433
X103	5	71093000	120464700	3033	-1.48106894761018
X103	5	120686124	139329200	1883	-0.828787197201359
X103	5	139363900	167285200	3524	-1.56462280992079
X103	5	167375200	175926622	818	-0.887968829227021
X103	5	175965003	180902600	1353	-0.480020350009683
X103	6	106100	29356200	2459	-0.7857843013339
X103	6	29374600	44307300	4798	-0.885834651551878
X103	6	44307500	129861200	5543	-0.775851010665856
X103	6	130042800	170640200	3851	-1.52153079325728
X103	7	19700	32298800	3123	-1.55146475363089
X103	7	32471900	77059400	3780	-0.884141029985425
X103	7	77084000	97987300	1539	-0.756522740857988
X103	7	97988400	108502600	2587	-0.845011115704584
X103	7	108514200	159117420	5316	-0.39587872580638
X103	8	166700	20255200	1402	-1.53501113645112
X103	8	20934800	64373400	3632	-0.833909073692734
X103	8	64377500	145054200	6210	-1.49064017766712
X103	9	12200	2654000	236	-0.885293037614994
X103	9	2717700	2875600	32	0.0719321288693606
X103	9	3225100	6331000	311	-0.775845495988054
X103	9	6413600	16665100	481	-1.52191683411062
X103	9	16685500	113112833	6442	-0.828638963857747
X103	9	113113100	137366430	5824	-0.882533919044155
X103	9	137366700	138233847	330	-0.887074905153028
X103	10	84700	38982300	3131	-1.53102852508058
X103	10	42410100	71213000	2457	-0.856915267939973
X103	10	71279700	104842779	4987	-1.57626899520766
X103	10	104915800	133659700	2975	-0.883164501177094
X103	11	130800	28330600	4678	-1.56805825931966
X103	11	30010800	43920100	834	-0.73357978967653
X103	11	43925500	82850300	8055	-0.87280941633609
X103	11	82853300	96093600	1061	-0.763841991848203
X103	11	98565300	115505009	1667	-0.273735503998577
X103	11	115950214	126681900	2416	-0.393527721743638
X103	11	126995100	130198390	275	-0.894658487167338
X103	11	130198659	134487876	389	-0.424150478068437
X103	12	67000	9443500	2315	-0.883424363592104
X103	12	9480700	16990800	861	-0.765554433146033
X103	12	16991100	19500300	125	-1.38979524617758
X103	12	19512400	47711600	2080	-0.752668701809071
X103	12	47711900	58883000	4282	-0.901849943697038
X103	12	58883600	107543991	3815	-0.776683006965076
X103	12	107544200	126864968	3920	-0.876261099694378
X103	12	127317700	133234532	785	-1.56178078723199
X103	13	19026000	19450200	67	-0.530767768850213
X103	13	19465400	48097000	2586	-1.50246250235365
X103	13	48233300	48412500	34	-2.98835818918646
X103	13	48453000	49928100	205	-1.4658529974224
X103	13	49931000	50172700	21	-3.19175980102013
X103	13	50275000	73075900	595	-1.5333292596532
X103	13	73695500	91884700	484	-0.505237322702213
X103	13	91907800	114325100	1859	0.151845365316008
X103	14	19096500	23529700	1476	-0.424996955476016
