sample	segment_count	included
X1032	518	yes
X103	421	yes
X1040	487	yes
X106	482	yes
X1097	1085	yes
X1098	517	yes
X1172	577	yes
X1177	849	yes
X1192	595	yes
X1196	958	yes
X119	713	yes
X120	750	yes
X1230	990	yes
X1237	1044	yes
X1265	476	yes
X1269	1191	yes
X1283	551	yes
X128	891	yes
X1326	415	yes
X1341	794	yes
X1364	480	yes
X137	436	yes
X1410	878	yes
X1419	568	yes
X1471	934	yes
X1499	495	yes
X1530	1282	yes
X1548	506	yes
X1552	335	yes
X1568	529	yes
X1580	680	yes
X1582	605	yes
X1593	543	yes
X1605	639	yes
X1634	172	yes
X1652	630	yes
X1677	425	yes
X1689	761	yes
X1718	376	yes
X1751	604	yes
X1851	613	yes
X1922	860	yes
X1928	494	yes
X1979	1053	yes
X2090	773	yes
X2120	480	yes
X2152	719	yes
X2176	395	yes
X2212	1146	yes
X2316	410	yes
X2354	671	yes
X2357	533	yes
X2360	514	yes
X2362	601	yes
X2374	654	yes
X23	574	yes
X2401	1255	yes
X2412	467	yes
X2415	1253	yes
X2429	697	yes
X2438	449	yes
X2443	689	yes
X2503	1031	yes
X2529	500	yes
X2554	629	yes
X2556	363	yes
X2577	371	yes
X2587	342	yes
X2593	746	yes
X2638	552	yes
X2648	528	yes
X2665	1440	yes
X2700	910	yes
X2704	570	yes
X2716	1129	yes
X2763	1146	yes
X2773	537	yes
X2797	717	yes
X2816	494	yes
X2825	754	yes
X2890	706	yes
X2902	664	yes
X2949	844	yes
X2991	847	yes
X2998	891	yes
X300	932	yes
X301	907	yes
X3056	560	yes
X3059	393	yes
X3080	622	yes
X3107	935	yes
X3144	465	yes
X3151	585	yes
X3225	561	yes
X3238	707	yes
X3297	721	yes
X3349	552	yes
X3391	520	yes
X342	737	yes
X356	808	yes
X429	503	yes
X451	911	yes
X472	971	yes
X544	492	yes
X592	987	yes
X603	469	yes
X655	474	yes
X736	550	yes
X80	655	yes
X860	303	yes
X88	424	yes
X935	515	yes
X93	926	yes
X94	655	yes
X970	606	yes
X987	841	yes
X991	354	yes
