estimate	p_values	FDR
del23_13q14.2 	807	0.00827533441280384	0.470783154078871
amp21_15q26.3 	1517	0.0130773098355242	0.470783154078871
amp16_12p12.1 	1367	0.16212526722689	0.986132358873502
amp8_5q21.1  	1348	0.207419820994895	0.986132358873502
del9_4q13.2  	1336.5	0.238950900949168	0.986132358873502
amp18_13q34   	1011	0.243302338532285	0.986132358873502
del24_13q34   	1011	0.243302338532285	0.986132358873502
del34_17q21.31	1332	0.252168354536779	0.986132358873502
amp17_12q12   	1017	0.261255589564836	0.986132358873502
del44_22q13.33	1019	0.267440740853933	0.986132358873502
del26_15q11.2 	1317	0.299855555655392	0.986132358873502
amp10_6q16.3  	1312	0.317010683746772	0.986132358873502
del5_2q37.3  	1036.5	0.325815476041671	0.986132358873502
amp5_3q26.2  	1039	0.334803527133661	0.986132358873502
amp25_19q12   	1305	0.342094770218669	0.986132358873502
del41_19q13.43	1041	0.342094770218669	0.986132358873502
amp11_7q36.1  	1302.5	0.35134893911324	0.986132358873502
del16_8p23.1  	1301	0.356979415638428	0.986132358873502
del3_1q44    	1050	0.376149598105822	0.986132358873502
del27_15q14   	1056	0.399969038500028	0.986132358873502
del17_9p24.3  	1063	0.428889554916137	0.986132358873502
del43_22q11.21	1283	0.428889554916137	0.986132358873502
del4_2p25.3  	1065	0.437361243608359	0.986132358873502
amp4_2q31.2  	1071.5	0.465581761598914	0.986132358873502
del25_14q11.2 	1075	0.481184867572305	0.986132358873502
amp26_19q13.12	1262	0.52257785856767	0.986132358873502
amp24_19p13.12	1261	0.527287446757033	0.986132358873502
del13_6q14.3  	1253	0.565726048484067	0.986132358873502
amp22_17q12   	1096.5	0.582956643677013	0.986132358873502
del37_19p13.3 	1100	0.600429320090766	0.986132358873502
amp7_5p15.33 	1101	0.605464299883422	0.986132358873502
del1_1p36.33 	1102.5	0.613050838925527	0.986132358873502
amp9_6p21.33 	1106	0.630917649543672	0.986132358873502
amp3_2q14.1  	1108	0.641225193764613	0.986132358873502
del18_9q34.2  	1111	0.656816542701606	0.986132358873502
del8_4p16.1  	1111.5	0.65942887886869	0.986132358873502
del2_1p36.11 	1234	0.66204330848691	0.986132358873502
del35_17q21.31	1232	0.672558754706148	0.986132358873502
amp1_1p36.33 	1231.5	0.675195698448408	0.986132358873502
amp27_20q13.33	1116	0.68313047780375	0.986132358873502
del39_19q13.32	1118	0.69377264032376	0.986132358873502
del36_18q23   	1226	0.704471557181858	0.986132358873502
del15_7p22.1  	1224	0.715228373538439	0.986132358873502
del32_17q11.1 	1122	0.71522926889261	0.986132358873502
amp19_14q11.2 	1124	0.726043840503744	0.986132358873502
amp20_14q11.2 	1124	0.726043840503744	0.986132358873502
del31_17p11.2 	1125	0.731471834765711	0.986132358873502
del21_11q11   	1219.5	0.739630762470597	0.986132358873502
del42_21q22.3 	1129	0.75331524468253	0.986132358873502
del12_6p21.33 	1129	0.75331602928651	0.986132358873502
del22_12q24.32	1130	0.758808861169168	0.986132358873502
del38_19p12   	1215	0.764313891154668	0.986132358873502
amp13_10q26.3 	1213	0.77535950012305	0.986132358873502
amp12_8q24.3  	1210	0.792012151306127	0.986132358873502
del7_4p16.3  	1137	0.79758549743736	0.986132358873502
del30_16q24.2 	1137	0.79758549743736	0.986132358873502
amp6_4p16.3  	1208.5	0.80037508682545	0.986132358873502
del45_xq28    	1208.5	0.80037508682545	0.986132358873502
del6_3p12.1  	1143	0.831229005725136	0.986132358873502
del14_6q27    	1147	0.853833318338185	0.986132358873502
del20_11p15.5 	1147	0.853835218736302	0.986132358873502
del10_4q35.2  	1198	0.859506340960409	0.986132358873502
amp23_17q24.2 	1197	0.865184719866242	0.986132358873502
amp15_12p13.32	1151	0.876562096776447	0.986132358873502
del11_5q13.2  	1158	0.916568912486669	1
amp2_1q21.3  	1186	0.928042897627755	1
del28_15q15.1 	1179	0.968303758431986	1
del29_16q11.2 	1170	0.985589798968137	1
amp14_11q13.5 	1170.5	0.988471575643183	1
del19_10q23.31	1170.5	0.988471575643183	1
del40_19q13.42	1174	0.997117809365618	1
del33_17q11.2 	1173	1	1
