Unique Name	Descriptor	Wide Peak Limits	Peak Limits	Region Limits	q values	Residual q values after removing segments shared with higher peaks	Broad or Focal	Amplitude Threshold	X103	X1032	X1040	X106	X1097	X1098	X1172	X1177	X119	X1192	X1196	X120	X1230	X1237	X1265	X1269	X128	X1283	X1326	X1341	X1364	X137	X1410	X1419	X1471	X1499	X1530	X1548	X1552	X1568	X1580	X1582	X1593	X1605	X1634	X1652	X1677	X1689	X1718	X1751	X1851	X1922	X1928	X1979	X2090	X2120	X2152	X2176	X2212	X23	X2316	X2354	X2357	X2360	X2362	X2374	X2401	X2412	X2415	X2429	X2438	X2443	X2503	X2529	X2554	X2556	X2577	X2587	X2593	X2638	X2648	X2665	X2700	X2704	X2716	X2763	X2773	X2797	X2816	X2825	X2890	X2902	X2949	X2991	X2998	X300	X301	X3056	X3059	X3080	X3107	X3144	X3151	X3225	X3238	X3297	X3349	X3391	X342	X356	X429	X451	X472	X544	X592	X603	X655	X736	X80	X860	X88	X93	X935	X94	X970	X987	X991	
Amplification Peak  1	1p36.33 	chr1:139101-6680799(probes 16:455)                   	chr1:1243801-1314799(probes 78:86)                  	chr1:139601-6854937(probes 17:473)                   	0.030906	   0.030906		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	1	1	0	0	1	2	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	2	0	1	0	1	0	0	0	1	1	1	1	1	0	0	1	1	0	0	2	0	0	1	0	0	1	0	2	1	0	0	1	1	0	1	2	1	0	1	1	2	1	1	0	0	2	1	1	1	0	0	1	1	0	0	0	0	1	1	0	1	1	1	1	0	1	1	2	1	0	0	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	
Amplification Peak  2	1q21.3  	chr1:150149594-152025649(probes 10322:10519)    	chr1:150496901-150930199(probes 10355:10400)    	chr1:121387801-158562662(probes 9826:11317)     	0.0073525	  0.0073525		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	1	1	0	2	2	0	1	2	2	2	1	1	0	2	1	1	0	0	0	1	1	2	1	0	0	0	0	1	1	0	0	1	2	0	1	0	1	0	2	2	2	0	2	2	1	0	0	2	1	0	2	1	0	0	1	1	0	1	1	1	1	1	2	1	1	1	0	0	1	2	1	0	1	1	0	1	1	0	1	0	1	0	1	0	0	1	1	0	1	2	0	2	0	1	0	0	1	0	0	1	1	1	0	0	1	0	1	0	1	0	0	2	1	0	1	1	
Amplification Peak  3	2q14.1  	chr2:113191588-113415813(probes 27718:27726)    	chr2:113201401-113406599(probes 27719:27725)    	chr2:113131217-113434242(probes 27711:27728)    	0.13745	    0.18228		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	1	0	0	0	1	1	0	1	2	0	1	1	0	0	1	0	0	0	1	1	1	1	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	2	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	1	1	1	0	0	0	1	1	0	0	0	0	1	1	0	2	0	2	1	0	0	0	1	1	0	0	2	0	1	0	1	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	1	0	
Amplification Peak  4	2q31.2  	chr2:143435801-222210929(probes 29848:36344)    	chr2:177552830-177727979(probes 32686:32700)    	chr2:177523901-178333880(probes 32683:32758)    	0.087263	    0.16618		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	0	0	1	0	1	1	1	1	2	0	2	1	0	0	2	1	0	0	0	0	2	2	0	1	0	1	0	1	0	2	1	0	2	1	2	0	1	0	2	0	1	0	2	1	1	2	1	2	1	0	0	0	0	0	1	0	1	0	1	0	1	1	0	0	0	1	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	1	1	1	0	0	0	1	0	0	0	1	0	2	0	1	1	1	0	0	1	0	0	1	0	0	1	0	
Amplification Peak  5	3q26.2  	chr3:168095201-170123451(probes 51284:51442)    	chr3:169565901-169769648(probes 51393:51404)    	chr3:153828886-198295559(probes 50357:53982)    	0.0001566	  0.0001566		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	1	1	1	2	1	2	1	2	1	0	2	1	2	0	2	1	2	0	2	0	2	2	0	1	0	1	0	1	1	2	2	2	2	1	1	1	2	1	2	2	2	0	2	2	2	2	1	2	1	1	2	1	2	2	1	1	1	0	1	1	2	1	1	0	2	1	1	1	1	1	2	2	1	2	0	1	2	1	0	0	1	2	1	2	2	2	2	1	1	2	0	1	1	2	1	0	1	0	0	1	0	1	2	2	1	2	2	1	2	0	2	1	1	1	1	0	
Amplification Peak  6	4p16.3  	chr4:1-9175699(probes 53983:54811)                    	chr4:1740001-1832499(probes 54170:54181)            	chr4:1740001-1900799(probes 54170:54186)            	0.21082	    0.21082		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	1	1	2	1	0	0	1	1	0	2	0	0	0	2	0	0	0	0	1	1	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	2	0	0	1	0	1	0	1	1	0	0	0	1	0	1	1	1	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	1	1	0	0	
Amplification Peak  7	5p15.33 	chr5:1-13692099(probes 68891:69900)                 	chr5:814801-1032099(probes 68960:68976)              	chr5:653301-1108549(probes 68945:68987)              	0.21082	    0.21082		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	2	1	0	2	1	2	0	2	0	0	1	1	0	0	0	0	1	0	0	0	1	2	2	1	0	2	0	0	0	2	0	1	2	0	0	0	1	1	1	2	2	1	1	1	1	1	1	2	2	1	2	0	0	1	0	1	0	0	0	0	0	1	0	1	1	0	1	1	1	1	1	0	1	0	0	1	1	0	0	0	2	0	0	0	0	0	1	1	1	2	1	0	0	1	1	1	2	0	0	0	0	1	1	1	0	1	0	1	0	1	0	0	1	0	0	1	
Amplification Peak  8	5q21.1  	chr5:87412701-181538259(probes 75005:82476)      	chr5:100586201-102236899(probes 75920:76037)    	chr5:100586201-102262249(probes 75920:76040)    	0.22922	    0.22922		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	
Amplification Peak  9	6p21.33 	chr6:31980401-32013399(probes 85066:85074)        	chr6:31980901-31994699(probes 85067:85067)        	chr6:31979601-32028699(probes 85065:85078)        	0.013572	   0.013572		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	1	1	1	1	0	1	2	2	0	0	0	2	0	0	2	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	1	1	1	2	0	1	1	2	0	0	1	1	0	1	0	2	2	1	1	0	0	2	0	1	0	1	2	0	1	0	1	1	1	1	0	0	1	0	0	2	1	1	0	1	2	2	0	0	2	0	1	1	1	0	0	1	2	0	0	1	0	2	0	2	0	2	1	0	1	0	1	0	0	0	1	0	0	1	0	
Amplification Peak 10	6q16.3  	chr6:104017901-107459299(probes 89874:90091)    	chr6:104730522-104785172(probes 89877:89882)    	chr6:104019101-107519719(probes 89875:90095)    	0.01917	    0.01917		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	0	1	1	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	1	1	0	2	0	0	0	0	1	0	1	1	2	0	0	0	0	0	1	1	1	1	0	1	0	0	1	0	0	0	2	1	0	2	0	0	0	0	0	0	0	2	1	1	0	0	2	0	0	0	0	1	1	0	2	0	0	1	2	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	
Amplification Peak 11	7q36.1  	chr7:57822701-159345973(probes 99718:108223)     	chr7:151213908-151215099(probes 107500:107501)  	chr7:150572801-154667324(probes 107428:107835)  	0.12646	    0.12646		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	1	0	0	2	1	0	1	1	1	0	0	0	0	0	1	1	1	0	0	2	1	0	0	2	0	1	1	2	1	0	2	0	1	0	1	0	1	0	0	1	0	0	1	1	1	0	0	2	1	1	1	0	1	1	1	0	1	0	0	0	1	1	1	1	1	0	0	0	0	1	0	1	0	2	0	1	1	0	1	1	1	0	0	0	0	2	1	0	2	1	0	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	0	2	0	0	0	0	1	0	1	0	
Amplification Peak 12	8q24.3  	chr8:143742137-144041540(probes 118654:118703)  	chr8:143872178-143872699(probes 118673:118673)  	chr8:101570301-145138636(probes 115884:118846)  	3.4076e-08	 3.4076e-08		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	1	0	1	2	2	1	1	2	2	2	2	2	0	2	1	1	2	2	1	1	2	0	2	2	2	1	1	2	2	2	2	0	1	0	0	2	2	0	1	2	2	2	1	2	2	2	1	2	1	2	1	1	2	2	0	2	1	1	1	1	1	0	2	2	1	1	1	1	2	0	2	2	2	2	0	1	1	1	0	2	0	2	0	1	2	0	1	1	2	2	1	2	1	2	1	2	2	1	1	0	1	2	2	2	0	1	1	1	1	1	2	2	2	2	0	1	
Amplification Peak 13	10q26.3 	chr10:112528789-133797422(probes 136565:138564)	chr10:133466307-133467399(probes 138525:138526)	chr10:132187183-133565599(probes 138379:138556)	0.19057	    0.19057		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	0	0	0	1	0	0	2	1	1	0	0	0	0	0	0	1	0	0	1	0	0	2	0	1	1	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	2	0	0	1	1	1	1	0	0	1	0	1	1	0	1	1	1	1	1	0	0	1	0	1	0	0	1	1	1	0	0	1	0	0	0	0	1	0	1	1	0	1	0	1	2	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	2	0	0	
Amplification Peak 14	11q13.5 	chr11:73652479-81047914(probes 144393:144921)    	chr11:76721601-77071499(probes 144696:144721)    	chr11:75477701-81047914(probes 144582:144921)    	0.052392	   0.052392		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	2	1	0	0	0	0	1	1	0	1	1	0	0	1	1	0	0	0	0	1	1	0	2	1	1	0	1	2	2	0	1	1	0	1	0	1	1	1	1	1	0	2	2	2	1	0	2	1	0	1	1	0	1	2	1	0	0	0	0	1	0	2	0	0	0	1	0	0	1	1	0	0	2	0	0	2	1	1	1	1	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	1	0	1	0	0	1	2	2	0	0	
Amplification Peak 15	12p13.32	chr12:3016501-4730514(probes 149445:149573)        	chr12:3873401-4434099(probes 149508:149542)        	chr12:3022101-5523913(probes 149446:149611)        	0.010792	   0.012152		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	2	0	2	2	0	0	0	0	0	0	2	0	0	0	0	1	0	1	1	0	0	0	0	1	2	0	1	2	2	1	1	0	1	0	0	1	0	0	0	1	1	1	1	1	1	0	0	2	0	2	2	0	1	0	2	0	1	1	1	1	2	0	0	2	1	0	0	0	0	2	0	1	0	2	0	0	1	0	0	0	0	1	0	0	1	1	1	0	2	2	1	0	1	1	0	1	0	0	0	1	1	0	0	0	1	1	0	2	1	0	1	0	
Amplification Peak 16	12p12.1 	chr12:23731077-31399165(probes 151155:151691)    	chr12:25155401-25526899(probes 151258:151295)    	chr12:23740901-30397799(probes 151156:151596)    	0.061533	   0.090173		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	0	0	1	0	2	0	2	1	2	0	0	0	0	0	1	0	0	0	0	1	0	0	1	2	0	0	0	1	2	0	1	1	2	1	0	0	1	1	0	1	0	0	1	1	1	1	1	1	1	0	1	1	0	1	2	0	0	0	1	0	1	1	1	1	2	0	0	1	1	1	1	0	0	1	0	1	2	1	0	0	1	0	2	0	0	1	0	0	0	1	1	0	1	2	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	2	0	0	2	0	
Amplification Peak 17	12q12   	chr12:44884401-46198840(probes 152390:152466)    	chr12:45439901-46188899(probes 152437:152465)    	chr12:44884501-46218723(probes 152391:152468)    	0.15549	    0.16333		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	0	0	1	0	1	0	0	1	2	0	0	0	1	0	1	0	0	0	0	1	0	2	0	0	0	1	0	1	0	0	0	1	1	0	1	0	0	1	0	1	0	0	0	2	1	1	1	1	1	0	1	0	0	0	1	0	0	0	2	0	0	1	0	1	1	0	0	0	1	1	0	1	0	1	0	2	1	0	0	0	1	0	1	0	0	1	0	0	1	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	2	0	
Amplification Peak 18	13q34   	chr13:79543601-114364328(probes 165154:167402)  	chr13:113655079-114007649(probes 167327:167362)	chr13:113634601-114298899(probes 167324:167395)	0.17933	    0.17933		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	2	0	0	0	2	0	0	0	1	1	0	1	1	0	0	0	0	0	0	2	0	1	2	0	0	0	1	2	0	1	0	1	0	1	0	0	1	0	0	0	2	1	0	0	0	0	0	1	2	1	0	1	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	1	
Amplification Peak 19	14q11.2 	chr14:20596451-21211799(probes 167539:167596)    	chr14:20606101-21093399(probes 167540:167589)    	chr14:1-21766383(probes 167403:167657)           	0.0022109	   0.014856		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	0	0	1	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	1	0	1	2	1	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	1	0	1	0	0	0	0	2	0	0	2	1	0	1	0	0	0	1	0	0	0	0	1	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	1	0	
Amplification Peak 20	14q11.2 	chr14:20596451-21211799(probes 167539:167596)    	chr14:20747901-21093399(probes 167556:167589)    	chr14:1-21766383(probes 167403:167657)           	0.0015972	    0.18462		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	0	0	1	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	1	0	1	2	1	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	1	0	1	0	0	0	0	2	0	0	2	1	0	1	0	0	0	1	0	0	0	0	1	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	1	0	
Amplification Peak 21	15q26.3 	chr15:80686220-101991189(probes 179466:181223)  	chr15:101752501-101753199(probes 181194:181194)	chr15:101752501-101763399(probes 181194:181202)	0.20604	    0.20604		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	1	1	0	0	2	0	0	1	0	0	0	1	1	2	0	1	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	1	0	2	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	2	1	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	
