estimate	std_error	t_value	p_values	r_sq	FDR
del73_xq28    	11.1818459116849	3.90099595463324	2.86640797420058	0.00619340497468848	0.131121861641131	0.605942044947393
amp32_15q26.3 	-9.40734372218881	3.66318932735732	-2.56807466977838	0.013465451758256	0.104837678857464	0.605942044947393
amp27_12q14.3 	5.909471563949	2.35345664255969	2.51097532755975	0.0155369755114716	0.0999674713826272	0.605942044947393
amp1_1q21.1  	-6.4423417330179	3.10213447871119	-2.07674482754675	0.0433172767999917	0.0650253594223107	0.992201376907148
amp9_5p15.33 	4.8686672497719	2.3580357262514	2.06471309809699	0.0444920467963133	0.0641165417066289	0.992201376907148
del71_xp11.23 	8.54104221818386	4.37201708109085	1.95357018505811	0.0567187464177135	0.0558914662548684	0.992201376907148
del5_2p23.3  	8.51306755824385	4.49879879566194	1.89229790993381	0.0646200700120366	0.0514930665372276	0.992201376907148
del27_8q21.2  	5.01850960821448	2.80562047766117	1.78873430963764	0.0801037706288703	0.0442900026335309	0.992201376907148
amp42_21q11.2 	6.15159587298526	4.04813638400424	1.51961181379476	0.135307723525811	0.0270332554230346	0.992201376907148
del9_2q37.3  	-8.57072072546805	5.6402993470047	-1.51955068307138	0.135323069085131	0.0270295894863819	0.992201376907148
amp5_3q25.1  	6.3601792782238	4.44212780886603	1.43178664637463	0.158821826344955	0.0218915676294235	0.992201376907148
del2_1p36.21 	6.20554419176954	4.38168494311185	1.41624609535764	0.163297178173976	0.0210081799713153	0.992201376907148
del64_21p11.2 	-7.05915911160866	5.00669618069915	-1.40994357493106	0.165139903732924	0.020652216490747	0.992201376907148
amp36_17q21.2 	5.28110957752269	3.76019418991745	1.4044778835315	0.166751002453122	0.0203445937798951	0.992201376907148
del60_19q13.42	6.92483955618156	5.13810374015239	1.34774226181275	0.184202106779031	0.0172109725820548	0.992201376907148
del66_21q22.3 	11.0652293524733	8.26311394303215	1.33911131188067	0.186975034368647	0.0167438795118542	0.992201376907148
del15_5p15.33 	3.01913137793715	2.29594537159243	1.31498397796944	0.194895342882638	0.0154517579442446	0.992201376907148
del62_20q13.33	-5.250677812985	4.14648500363907	-1.26629610582864	0.211647362376431	0.0129059518042646	0.992201376907148
del34_11p15.5 	-6.94443807223185	5.76459426293237	-1.20467074619391	0.234361655218925	0.00980367819509387	0.992201376907148
del48_16q24.3 	-7.31854293299998	6.12414328176404	-1.19503130418136	0.238070248060662	0.00933070873655673	0.992201376907148
amp23_11q13.1 	-2.47659114396599	2.10816595823486	-1.17476099748788	0.246007988256855	0.0083470762318506	0.992201376907148
del57_19p13.12	8.08883778090316	6.96668202390662	1.16107463397149	0.251474725475754	0.00769136792433134	0.992201376907148
amp22_10q25.1 	4.98724829111524	4.46114996724797	1.11792885864176	0.269279186505865	0.00566911796268843	0.992201376907148
amp3_2q31.2  	-3.8599390750635	3.46432532147372	-1.11419647893273	0.270860363359187	0.00549740024090883	0.992201376907148
del3_1p11.2  	-6.30922129106686	5.66391519428575	-1.11393286704436	0.270972287102924	0.00548529157228084	0.992201376907148
amp31_15q25.3 	-3.18345032256267	2.98730507882721	-1.06565959570907	0.292021508665357	0.00331145658177934	0.992201376907148
del68_22q13.2 	-5.61076696185185	5.91838289275825	-0.948023651649373	0.347966589682375	-0.00161763055800446	0.992201376907148
del51_17q11.2 	4.93680884884623	5.21949547887883	0.945840238548626	0.349067583217167	-0.00170410742768734	0.992201376907148
amp18_8q24.13 	-1.81224007162865	1.93792096079489	-0.935146535019318	0.354492857624993	-0.00212497851641635	0.992201376907148
del69_22q13.33	-5.43085049396898	5.82919775210524	-0.931663450945304	0.356271748773689	-0.00226110439849703	0.992201376907148
del63_20q13.33	-4.01815792666576	4.37144745610922	-0.919182482921135	0.362693662039667	-0.00274501350778578	0.992201376907148
del59_19q13.2 	3.32988309661802	3.62344666682761	0.918982229572429	0.362797305947913	-0.00275272826823403	0.992201376907148
del38_12q24.33	4.22589068118835	4.67609117711836	0.903722900414563	0.370751234693764	-0.00333599334257806	0.992201376907148
del23_7p11.2  	4.66673746567884	5.19158696461692	0.898903841442864	0.37328621928387	-0.00351830465246472	0.992201376907148
amp4_3q21.3  	3.25244219738104	3.6404654399611	0.893413837054801	0.376187606801265	-0.00372489096463746	0.992201376907148
amp25_12p12.1 	2.30676359980623	2.58790512972741	0.891363278084778	0.377274972965492	-0.00380174961687496	0.992201376907148
del36_11q25   	-3.68479950036062	4.1654271929685	-0.884615029781528	0.380867521861599	-0.00405352159569583	0.992201376907148
del65_21q22.3 	4.97533549683015	5.7035408991528	0.872323979927834	0.387466377042268	-0.00450749413254137	0.992201376907148
del14_4q35.2  	-6.98903075564854	8.07032833435388	-0.866015664554507	0.390880978671837	-0.00473818371896173	0.992201376907148
del61_20p11.21	-5.31806982320754	6.15783048456669	-0.863627187616834	0.392178736476023	-0.00482511873714064	0.992201376907148
del43_16p13.11	4.3135628419959	5.03279029529777	0.857091710343294	0.395743496115428	-0.00506184387393382	0.992201376907148
del10_3p21.1  	4.74082941162444	5.53303180120624	0.856823091201266	0.395890444804708	-0.00507153757934287	0.992201376907148
amp13_6p22.2  	-2.43500384671504	2.89593477185362	-0.840835183990161	0.404697834161975	-0.00564335413647954	0.992201376907148
del4_1q42.13 	-3.42049786220861	4.1469170834806	-0.824829094325105	0.413635377342236	-0.00620566611371864	0.992201376907148
del72_xp11.22 	3.6654243522387	4.44892494482517	0.823889905470803	0.414163525856774	-0.00623834453478245	0.992201376907148
del44_16p11.2 	6.89548915483648	8.65193203645198	0.796988363499006	0.42946566782561	-0.0071594312759391	0.992201376907148
del13_4p16.1  	-3.25765131978401	4.50764919191219	-0.722694065374259	0.4734488587569	-0.00955224681273559	0.992201376907148
del37_12p13.31	-2.25663908406077	3.17603071608702	-0.71052180718234	0.480891621857617	-0.00992299043920353	0.992201376907148
amp30_14q13.3 	-1.57699698348341	2.22973204268738	-0.707258519540644	0.48289809463184	-0.0100213591521174	0.992201376907148
amp14_6q21    	2.40542554408875	3.43721863720068	0.699817439034881	0.487490840224255	-0.0102440407204669	0.992201376907148
del52_17q25.1 	2.79394757427425	4.44277751315884	0.628874069430439	0.532476198424163	-0.0122532506666317	0.992201376907148
amp20_9q33.2  	3.62337893279289	5.82472496340923	0.622068673723628	0.536902933400184	-0.0124351039137276	0.992201376907148
amp26_12q13.11	4.18353047833378	7.02232709108311	0.595747025746778	0.554202439537689	-0.0131204292423692	0.992201376907148
del26_8p23.1  	2.82943593359807	4.80800426748568	0.588484488820496	0.559024743500024	-0.0133044640055835	0.992201376907148
del11_3q21.3  	2.74830154090778	4.72113094759837	0.582127793406332	0.563262761872981	-0.0134637459403901	0.992201376907148
del45_16q11.2 	3.64252256389053	6.3880701847992	0.570207035695715	0.571253211675119	-0.0137579162894679	0.992201376907148
del50_17p11.2 	6.33508522890537	11.2996443003051	0.560644659295542	0.577702836948294	-0.0139896094006997	0.992201376907148
del35_11q14.3 	-1.23708975523716	2.39501391665207	-0.51652716781139	0.607908248348185	-0.0150090762245503	0.992201376907148
del40_14q11.2 	-3.257010793034	6.54050312304913	-0.497975573401394	0.620823438187691	-0.0154133924299555	0.992201376907148
del58_19p12   	-1.65915745307841	3.37416457362597	-0.491723926582348	0.625203290514373	-0.0155463809968166	0.992201376907148
del7_2q14.3  	2.47957900726268	5.13198329049924	0.483161940891952	0.63122395351814	-0.0157258454370397	0.992201376907148
del17_5q13.2  	-1.85186036013746	3.90908364820748	-0.473732599962816	0.637883862773461	-0.0159199140323059	0.992201376907148
amp2_2q24.2  	2.81126922204126	6.11108909752061	0.460027529819823	0.647617615831716	-0.0161952906810494	0.992201376907148
del56_19p13.2 	2.62971686993426	5.84344776106719	0.450028301348927	0.654758944628233	-0.0163911961098502	0.992201376907148
amp7_4q28.1  	-1.693169065756	3.79274055292562	-0.446423645943811	0.657341407960593	-0.016460781194517	0.992201376907148
amp33_16p13.13	-2.0543147958814	4.65230898700054	-0.441568864325555	0.660826171721495	-0.0165536294597219	0.992201376907148
del55_18q23   	2.28425594989223	5.60090826770768	0.407836700890501	0.685245473484451	-0.0171711586636714	0.992201376907148
amp17_8p23.1  	-0.777242781522825	1.96450343988519	-0.395643380277435	0.694158373485262	-0.0173824828821449	0.992201376907148
amp8_4q31.21 	-2.13491052258056	5.5558159418659	-0.384265883700884	0.702514525559293	-0.0175739591274851	0.992201376907148
del20_6q25.1  	-3.00395206823658	7.91409396382135	-0.379569927014881	0.705974371096009	-0.0176513808765926	0.992201376907148
del39_13q11   	2.07622743832232	5.52467197164804	0.375810084105857	0.708749048434031	-0.0177126911531285	0.992201376907148
amp38_19q12   	-1.34370934089783	3.65025692366127	-0.368113633916504	0.714441272622681	-0.0178363131828243	0.992201376907148
del8_2q37.3  	-2.04716475302293	5.84935367633185	-0.349981359702413	0.727916223043966	-0.0181175576033363	0.992201376907148
amp29_14q11.2 	-0.663568391215568	1.93947829089589	-0.342137570876882	0.733772621368035	-0.0182348652660058	0.992201376907148
del47_16q23.1 	-1.30720407326472	3.83497528154294	-0.340863754599948	0.734725210995012	-0.0182536673573053	0.992201376907148
amp21_10q21.2 	1.70856717426543	5.0361014689498	0.339263850182455	0.735922253910605	-0.0182771842699414	0.992201376907148
del54_18p11.21	1.84746191013103	5.47323828350781	0.337544578626858	0.737209344900042	-0.0183023336253834	0.992201376907148
amp11_5q22.3  	-1.46279865589069	4.44738611760572	-0.328911998465786	0.743683354164016	-0.01842669710439	0.992201376907148
del33_10q26.3 	1.8254673111364	5.64966247244851	0.323110861938847	0.74804448484363	-0.0185084765576122	0.992201376907148
amp15_7q31.2  	-0.856490665751459	2.67349720968223	-0.320363403653322	0.75011286413587	-0.0185467045733467	0.992201376907148
del28_8q24.3  	-0.768257056793955	2.51474150015853	-0.305501403124545	0.761333292234503	-0.0187478820426628	0.992201376907148
del12_3q29    	0.996893252073442	3.33686499570752	0.298751448846695	0.76644665790288	-0.0188361218320816	0.992201376907148
del53_18p11.21	1.32087394184692	4.4317440971952	0.298048333314842	0.766979905370362	-0.0188452009102631	0.992201376907148
amp44_21q22.3 	1.24161717791124	4.24992739405273	0.292150209353868	0.771457544021338	-0.018920525090468	0.992201376907148
del32_10q11.22	1.63867280015285	6.04442063097919	0.271105023987615	0.787497418713698	-0.0191771045172966	0.992201376907148
del41_15q11.1 	1.24868221415091	4.65151375560633	0.268446419758711	0.789530506900853	-0.0192081624805864	0.992201376907148
amp39_19q13.12	-0.722783230283089	2.78208895792945	-0.259798748786601	0.796153721861774	-0.0193070807466731	0.992201376907148
del21_6q27    	-1.39835499676005	6.02252238040269	-0.23218759656424	0.817400369893007	-0.0196013513593087	0.992201376907148
del46_16q22.1 	1.10722777150007	4.76975268608027	0.232135258234946	0.817440781287539	-0.019601877951986	0.992201376907148
del1_1p36.33 	-1.31554124365474	6.31171185649857	-0.208428596482942	0.835794970450447	-0.0198282437445993	0.992201376907148
del30_9q34.13 	0.803837499036425	4.04283688212893	0.198830059800268	0.843253308292103	-0.0199129936814504	0.992201376907148
amp40_19q13.33	0.758136891410487	4.20681184817564	0.180216496190403	0.857757411980065	-0.0200659922426121	0.992201376907148
