cytoband	11q13.3	3q27.1	8p11.23	14q13.3	8q24.21	5p15.33	1q21.2	3q26.2	4q12	9p13.3	7p11.2	Xq28	2p15	12q15	20q13.33	2q31.2	12p12.1	19q13.2	22q11.21	20q11.21	17q25.3	15q26.3	19q12	7q22.1	6q12	18q11.2	1q44	3p11.1	8q11.21	13q34	5p12	12p13.33	7p22.3	8p11.21	1p34.2	6p21.1	12q14.1	19p13.2	1p22.3	
q value	8.8022e-68	1.528e-142	1.3221e-72	5.2086e-53	1.4779e-48	4.824e-44	5.6093e-39	8.2899e-123	5.9723e-18	1.4149e-12	1.976e-13	6.6325e-11	2.2851e-09	4.6639e-13	1.8353e-07	8.8514e-07	5.9231e-07	4.978e-14	7.2808e-06	8.0059e-07	6.7577e-05	0.00010244	3.4356e-11	0.00027308	0.00052034	0.0012738	6.8759e-05	0.0067258	1.4446e-08	0.0094195	4.2562e-06	0.0013334	0.0038689	1.0434e-26	0.028943	0.074939	5.7763e-05	0.21933	0.04831	
residual q value	8.8022e-68	6.1834e-62	1.9222e-58	5.2086e-53	8.5112e-48	1.0245e-41	8.4658e-36	3.8732e-34	5.9723e-18	1.4149e-12	2.7685e-11	6.6325e-11	2.2851e-09	5.791e-08	7.2314e-07	8.8514e-07	3.7962e-06	6.9559e-06	7.2808e-06	1.0934e-05	6.7577e-05	0.00010244	0.00010607	0.00027308	0.00099994	0.0012738	0.0058113	0.0067258	0.0076589	0.0094195	0.013126	0.013303	0.019764	0.028943	0.062515	0.12384	0.15515	0.21933	0.23095	
wide peak boundaries	chr11:69308576-69830435	chr3:181159059-183901191	chr8:38170522-38237581	chr14:36912538-36996019	chr8:128724427-128766079	chr5:1-972319	chr1:150063489-150945606	chr3:168745175-171691725	chr4:56317101-56507740	chr9:33254675-33462563	chr7:54773427-55667984	chrX:153681678-153767853	chr2:62184665-62260469	chr12:69212011-69244387	chr20:62187847-63025520	chr2:178096261-178103431	chr12:24875364-26710043	chr19:38271451-39311155	chr22:22100719-22105549	chr20:30204825-30339275	chr17:70512321-80071048	chr15:98342273-102531392	chr19:30284125-30465652	chr7:98013840-99570014	chr6:63790108-65041701	chr18:21377314-21587689	chr1:243800098-249250621	chr3:89963133-89983402	chr8:47611191-48899182	chr13:113737078-114167607	chr5:43878006-50133343	chr12:1-1064437	chr7:1-5655834	chr8:41481097-42345619	chr1:40283635-40423030	chr6:41586581-44185556	chr12:58133257-58208652	chr19:7304493-7397014	chr1:85979933-86003165	
genes in wide peak	CCND1	AP2M1	WHSC1L1	NKX2-1	MYC	SDHA	ARNT	MECOM	CLOCK	AQP3	EGFR	G6PD	COMMD1	MDM2	hsa-mir-941-3	NFE2L2	BCAT1	ACTN4	[MAPK1]	BCL2L1	AANAT	hsa-mir-1302-10	CCNE1	AZGP1	PTP4A1	LAMA3	ADSS	[EPHA3]	CEBPD	F7	FGF10	NINJ2	ACTB	ANK1	MYCL	BYSL	CDK4	[INSR]	DDAH1	
	FGF3	DVL3		SFTA3		SLC9A3	CTSK	CLDN11	NMU	AQP7	SEC61G	UBL4A			NPBWR2		ITPR2	ECH1		TPX2	ACOX1	ALDH1A3	URI1	CYP3A7	PHF3	TTC39C	HNRNPU		MCM4	F10	MRPS30	RAD52	GNA12	IKBKB	TRIT1	CCND3	CYP27B1			
	FGF4	SOX2		NKX2-1-AS1		TRIP13	CTSS	PLD1	PDCL2	BAG1	LANCL2	LAGE3			MYT1		KRAS	LGALS4		COX4I2	ACTG1	IGF1R		CYP3A4	LGSN	RP11-403A21.2	ZNF124		PRKDC	LAMP1	PARP8	KDM5A	GPER1	PLAT	MFSD2A	GUCA1A	METTL1			
	FGF19	EIF2B5				PDCD6	ECM1	PRKCI		NFX1	VOPP1	SLC10A3			OPRL1		LRMP	LGALS7			BIRC5	MEF2A		CYP3A5	EYS		AKT3		SPIDR	CUL4A	EMB	SLC6A12	LFNG	POLB		GUCA1B	TSPAN31			
	ORAOV1	ABCC5				TPPP	ENSA	SKIL		CHMP5	EGFR-AS1	PLXNA3			TCEA2		SSPN	PSMD8			ARHGDIA	PCSK6		NPTX2			ZBTB18		LINC00293	PROZ	HCN1	SLC6A13	NUDT1	SLC20A2		MDFI	TSFM			
		MCF2L2				EXOC3	MCL1	SLC2A2		NOL6	RP11-745C15.2	FAM3A			TPD52L2		RASSF8	RYR1			CDK3	SNRPA1		TRRAP			TRIM58		RP11-1134I14.8	MCF2L	RP11-53O19.1	WNK1	PDGFA	VDAC3		MEA1	AVIL			
		ATP11B				PP7080	PRPF3	TERC			LINC01156				TNFRSF6B		CASC1	DPF1			SLC25A10	HSP90B2P		BUD31			AHCTF1			TMCO3	FGF10-AS1	CCDC77	PRKAR1B	KAT6A		PEX6	METTL21B			
