cytoband	14q13.3	11q13.3	1q21.3	7p11.2	8q24.3	3q26.33	5p15.33	7p22.1	12q15	19q13.2	5q35.3	19q12	17q24.2	4q12	22q11.21	9q34.3	7q31.2	4p16.3	10q21.2	12p13.33	20q11.21	1p34.1	2q31.2	21q22.3	8q21.3	8p11.22	17q12	12q13.2	20q13.32	6p21.2	16p13.12	16q22.1	12p12.1	2p21	6p22.2	2p16.1	5p13.1	
q value	8.3652e-33	3.5242e-20	2.7522e-16	2.3106e-15	1.9903e-14	6.1364e-10	5.2085e-08	2.6132e-06	2.6132e-06	2.6663e-09	2.7549e-05	3.5603e-10	5.037e-05	0.00018276	0.00018276	0.0003188	0.0014518	0.0026003	0.003773	0.0053969	0.0062956	0.011646	0.016181	0.02482	3.7697e-05	0.03341	0.012728	0.0073439	0.042328	0.016181	0.056378	0.056378	0.088358	0.088358	0.027991	0.11505	0.085014	
residual q value	8.3652e-33	3.5242e-20	2.7522e-16	1.6419e-14	3.8587e-13	6.1364e-10	7.2374e-08	4.5116e-06	1.0521e-05	2.1446e-05	2.7549e-05	6.5613e-05	8.6157e-05	0.00018276	0.00018276	0.0003188	0.0023801	0.0026003	0.003773	0.0062956	0.0062956	0.011646	0.016181	0.02482	0.026377	0.03341	0.036108	0.040559	0.042328	0.045239	0.056378	0.056378	0.096381	0.14315	0.17581	0.17657	0.23945	
wide peak boundaries	chr14:33107173-38058060	chr11:69456182-69465967	chr1:150551664-155874197	chr7:53722881-64721545	chr8:142098978-146364022	chr3:181428062-182665073	chr5:1-1295240	chr7:3372250-6442011	chr12:65379374-77814030	chr19:36833799-41726651	chr5:161322890-180915260	chr19:28780463-31706410	chr17:63554332-68921039	chr4:46047407-65604615	chr22:1-22133486	chr9:138663797-141213431	chr7:107730750-123382289	chr4:1-12321668	chr10:56851397-63851704	chr12:1-1023647	chr20:21177899-31374634	chr1:45799181-51436104	chr2:170845414-193562207	chr21:37954723-48129895	chr8:90967552-91433916	chr8:38285910-55364060	chr17:33446162-37682342	chr12:55427312-58143261	chr20:57429356-58196423	chr6:26172062-68164957	chr16:10274063-23619258	chr16:67116180-68867297	chr12:21652498-28073171	chr2:47257866-47698152	chr6:25606679-26172060	chr2:58496277-61755375	chr5:35876338-53875480	
genes in wide peak	CFL2	CCND1	ADAR	CCT6A	hsa-mir-1302-7	SOX2	SDHA	ACTB	CPM	ACTN4	hsa-mir-1271	CCNE1	hsa-mir-548d-2	CNGA1	hsa-mir-649	ABCA2	CAPZA2	hsa-mir-95	ANK3	NINJ2	hsa-mir-1825	CDKN2C	hsa-mir-1245	ADARB1	CALB1	ANK1	ACACA	hsa-mir-616	ATP5E	hsa-mir-548u	hsa-mir-1972-1	AGRP	BCAT1	CALM2	HIST1H1C	PEX13	hsa-mir-1274a	
	NFKBIA		ARNT	EGFR	BAI1	ATP11B	SLC9A3	PMS2	CSRP2	AKT2	BNIP1	UQCRFS1	APOH	GABRA2	ARVCF	C8G	CAV1	hsa-mir-571	CDK1	RAD52	BCL2L1	CYP4A11	ATP5G3	AIRE	DECR1	CEBPD	AP2B1	APOF	CTSZ	ABCF1	hsa-mir-548h-2	CBFB	GYS2	EPCAM	HIST1H1E	REL	C6	
	PAX9		CHRNB2	ERV3-1	CYC1	DCUN1D1	TERT	RAC1	IFNG	AXL	CANX	URI1	CACNG1	GABRA4	ATP6V1E1	CACNA1B	CAV2	ADD1	TFAM	KDM5A	ENTPD6	CYP4B1	CHN1	PTTG1IP	NBN	CHRNB3	CACNB1	ATP5B	EDN3	CRISP1	ABCC6	CDH1	ITPR2	MSH2	HIST1H1T	XPO1	C7	
	PSMA6		CKS1B	GBAS	CYP11B1	SOX2-OT	TRIP13	FSCN1	KCNC2	BLVRB	CCNG1	ZNF536	BPTF	GABRB1	BID	ENTPD2	CFTR	ADRA2C	UBE2D1	SLC6A12	CST1	ELAVL4	CHRNA1	C21orf2	LINC00534	ADAM3A	LASP1	CD63	GNAS	AGER	TNFRSF17	CDH3	KCNJ8	TTC7A	HIST1H2BD	USP34	C9	
	SRP54		CLK2	HPVC1	CYP11B2	FLJ46066	PDCD6	AIMP2	LYZ	CLC	CLTB	POP4	KCNJ2	GABRG1	COMT	FUT7	IFRD1	ATP5I	CCDC6	SLC6A13	CST2	FAAH	COL3A1	CBS		FGFR1	LHX1	CDK2	SLMO2	AIF1	CDR2	CTRL	KRAS	C2orf61	HIST1H2BB	BCL11A	DAB2	
	NKX2-1		CTSK	PHKG1	EEF1D	LINC01206	SLC12A7	CYTH3	MDM2	CYP2A6	NKX2-5	PLEKHF1	KCNJ16	IGFBP7	CRKL	GRIN1	KCND2	CRMP1	RHOBTB1	WNK1	CST3	FOXE3	COL5A2	COL6A1		FNTA	MLLT6	CDK4	NELFCD	ATP6V1G2	CRYM	E2F4	LDHB	MIR559	HIST1H1A	PAPOLG	FGF10	
	AKAP6		CTSS	PSPH	GLI4		TPPP	AP5Z1	NAP1L1	CYP2A7	DBN1	C19orf12	KPNA2	KDR	GGT3P	NOTCH1	DNAJB9	CTBP1	ZWINT	CCDC77	CST4	FOXD2	ATF2	COL6A2		ADAM2	PEX12	CS	TUBB1	BAK1	EMP2	HSD11B2	LRMP	AC073283.4	HFE	KIAA1841	FYB	
