sample	gene	chrom	gene_start	gene_end	tsg	seg	median_cnlr_seg	segclust	seg_start	seg_end	cf.em	tcn.em	lcn.em	cf	tcn	lcn	seg_length	mcn	genes_on_seg	gene_snps	gene_het_snps	spans_segs	cn_state	filter
X1283	A1BG	19	58345178	58353499	FALSE	478	0.716525339183371	72	58040300	58582769	0.553380810871301	4	1	0.553380810871301	4	1	542469	3	27	10	2	FALSE	GAIN	PASS
X1283	A1CF	10	50799409	50885675	FALSE	265	0.052911407716179	44	36995100	67954900	NA	2	NA	NA	2	NA	30959800	NA	108	18	0	FALSE	DIPLOID or CNLOH	PASS
X1283	A2M	12	9067664	9116229	FALSE	303	-0.555601626248912	11	8357100	21933800	0.6335752685139	1	0	0.6335752685139	1	0	13576700	1	128	55	0	FALSE	HETLOSS	PASS
X1283	A2ML1	12	8822472	8887001	FALSE	303	-0.555601626248912	11	8357100	21933800	0.6335752685139	1	0	0.6335752685139	1	0	13576700	1	128	45	0	FALSE	HETLOSS	PASS
X1283	A3GALT2	1	33306766	33321098	FALSE	4	0.191957377418276	48	32377900	33479700	NA	2	NA	NA	2	NA	1101800	NA	21	8	0	FALSE	DIPLOID or CNLOH	PASS
X1283	A4GALT	22	42692112	42721298	FALSE	522	-0.507928545601753	12	37639908	46232100	0.6335752685139	1	0	0.6335752685139	1	0	8592192	1	141	6	0	FALSE	HETLOSS	PASS
X1283	A4GNT	3	138123718	138132387	FALSE	102	0.428208086565459	56	132478223	160568329	0.628367606848482	3	1	0.628367606848482	3	1	28090106	2	151	6	0	FALSE	GAIN	PASS
X1283	AAAS	12	53307456	53324864	FALSE	306	-0.532291763608767	11	40458800	95141400	0.6335752685139	1	0	0.6335752685139	1	0	54682600	1	439	16	0	FALSE	HETLOSS	PASS
X1283	AACS	12	125065379	125143333	FALSE	318	-0.444896837623237	17	123845893	132335362	0.6335752685139	1	0	0.6335752685139	1	0	8489469	1	30	30	1	FALSE	HETLOSS	PASS
X1283	AADAC	3	151814037	151828488	FALSE	102	0.428208086565459	56	132478223	160568329	0.628367606848482	3	1	0.628367606848482	3	1	28090106	2	151	5	0	FALSE	GAIN	PASS
X1283	AADACL2	3	151733916	151761339	FALSE	102	0.428208086565459	56	132478223	160568329	0.628367606848482	3	1	0.628367606848482	3	1	28090106	2	151	8	1	FALSE	GAIN	PASS
X1283	AADACL3	1	12716115	12728759	FALSE	2	0.128051102526571	48	786100	32181100	NA	2	NA	NA	2	NA	31395000	NA	428	9	0	FALSE	DIPLOID or CNLOH	PASS
X1283	AADACL4	1	12644547	12667086	FALSE	2	0.128051102526571	48	786100	32181100	NA	2	NA	NA	2	NA	31395000	NA	428	9	0	FALSE	DIPLOID or CNLOH	PASS
X1283	AADAT	4	170060222	170091699	FALSE	133	-0.223520795726914	25	168685700	184702158	0.358343040342191	1	0	0.358343040342191	1	0	16016458	1	42	17	2	FALSE	HETLOSS	PASS
X1283	AAGAB	15	67201033	67255195	FALSE	357	0.0292744258175681	44	49422700	70096300	NA	2	NA	NA	2	NA	20673600	NA	146	16	0	FALSE	DIPLOID or CNLOH	PASS
X1283	AAK1	2	69457997	69674349	FALSE	59	0.0775880042468217	44	44328900	70816500	NA	2	NA	NA	2	NA	26487600	NA	119	38	0	FALSE	DIPLOID or CNLOH	PASS
X1283	AAMDC	11	77821109	77918432	FALSE	296	0.0515861293030474	43	74171500	107525660	1	2	1	1	2	1	33354160	1	159	22	0	FALSE	DIPLOID	PASS
X1283	AAMP	2	218264123	218270257	FALSE	77	0.0634740241442806	41	217704027	237779250	1	2	1	1	2	1	20075223	1	168	14	1	FALSE	DIPLOID	PASS
X1283	AANAT	17	76453351	76470117	FALSE	416	-0.415899049841169	17	75098312	80957614	0.6335752685139	1	0	0.6335752685139	1	0	5859302	1	99	7	0	FALSE	HETLOSS	PASS
X1283	AAR2	20	36236459	36270918	FALSE	486	-0.0369615645941569	36	35246905	49223400	1	2	1	1	2	1	13976495	1	152	9	1	FALSE	DIPLOID	PASS
X1283	AARD	8	116938199	116944487	FALSE	223	0.576011357789031	66	106216000	123437226	0.6335752685139	3	1	0.6335752685139	3	1	17221226	2	46	2	2	FALSE	GAIN	PASS
X1283	AARS	16	70252295	70289543	FALSE	384	-0.482610854458519	12	66379600	71951800	0.6335752685139	1	0	0.6335752685139	1	0	5572200	1	132	32	0	FALSE	HETLOSS	PASS
X1283	AARS2	6	44299654	44313326	FALSE	171	0.0692267913258232	44	43645200	66094000	NA	2	NA	NA	2	NA	22448800	NA	96	28	0	FALSE	DIPLOID or CNLOH	PASS
X1283	AARSD1	17	42950526	42964498	FALSE	406	-0.537270638539599	11	42693200	43091399	0.6335752685139	1	0	0.6335752685139	1	0	398199	1	21	17	0	FALSE	HETLOSS	PASS
X1283	AASDH	4	56338287	56387508	FALSE	124	0.0531476459560497	44	44175000	81459500	NA	2	NA	NA	2	NA	37284500	NA	175	22	0	FALSE	DIPLOID or CNLOH	PASS
X1283	AASDHPPT	11	106075501	106098710	FALSE	296	0.0515861293030474	43	74171500	107525660	1	2	1	1	2	1	33354160	1	159	10	0	FALSE	DIPLOID	PASS
X1283	AASS	7	122075647	122144280	FALSE	206	0.0548227828993418	41	102423048	128715522	1	2	1	1	2	1	26292474	1	125	31	3	FALSE	DIPLOID	PASS
X1283	AATF	17	36948875	37056871	FALSE	403	-0.533409819209281	9	34361693	39972512	0.6335752685139	1	0	0.6335752685139	1	0	5610819	1	105	22	2	FALSE	HETLOSS	PASS
X1283	AATK	17	81117295	81166077	FALSE	419	-0.455370402848517	14	81109282	81294933	0.574303021224447	1	0	0.574303021224447	1	0	185651	1	7	31	6	FALSE	HETLOSS	PASS
X1283	ABAT	16	8674565	8784575	FALSE	363	-0.494731964507968	12	2472000	22123900	0.6335752685139	1	0	0.6335752685139	1	0	19651900	1	195	28	0	FALSE	HETLOSS	PASS
X1283	ABCA1	9	104781002	104928237	FALSE	240	-0.0440890953343245	37	101427398	104825904	0.227688678618998	2	0	0.227688678618998	2	0	3398506	2	18	82	5	TRUE	CNLOH	PASS
X1283	ABCA10	17	69147214	69244846	FALSE	415	-0.478793916026507	12	66965100	75098000	0.6335752685139	1	0	0.6335752685139	1	0	8132900	1	61	47	6	FALSE	HETLOSS	PASS
X1283	ABCA12	2	214931542	215138428	FALSE	75	0.0416969865309803	41	207597000	215945000	1	2	1	1	2	1	8348000	1	30	79	6	FALSE	DIPLOID	PASS
X1283	ABCA13	7	48171458	48647496	FALSE	194	0.0623864239768744	44	43438100	57201000	NA	2	NA	NA	2	NA	13762900	NA	70	116	0	FALSE	DIPLOID or CNLOH	PASS
X1283	ABCA2	9	137007227	137028922	FALSE	255	1.30688175354068	93	136866405	137161000	0.630569975509685	6	NA	0.630569975509685	6	NA	294595	NA	19	54	0	FALSE	AMP (many states)	PASS
X1283	ABCA3	16	2275881	2340746	FALSE	362	-0.374062126542615	21	11800	2464700	0.523717429562021	1	0	0.523717429562021	1	0	2452900	1	111	50	0	FALSE	HETLOSS	PASS
X1283	ABCA4	1	93992835	94121132	FALSE	12	0.0779285908592707	44	85257400	99264800	NA	2	NA	NA	2	NA	14007400	NA	70	83	0	FALSE	DIPLOID or CNLOH	PASS
X1283	ABCA5	17	69244311	69327244	FALSE	415	-0.478793916026507	12	66965100	75098000	0.6335752685139	1	0	0.6335752685139	1	0	8132900	1	61	44	4	FALSE	HETLOSS	PASS
X1283	ABCA6	17	69078702	69141888	FALSE	415	-0.478793916026507	12	66965100	75098000	0.6335752685139	1	0	0.6335752685139	1	0	8132900	1	61	50	5	FALSE	HETLOSS	PASS
X1283	ABCA7	19	1040101	1065572	FALSE	434	-0.436893234823929	18	107500	8530700	0.580201953728839	1	0	0.580201953728839	1	0	8423200	1	263	51	0	FALSE	HETLOSS	PASS
X1283	ABCA8	17	68867292	68955392	FALSE	415	-0.478793916026507	12	66965100	75098000	0.6335752685139	1	0	0.6335752685139	1	0	8132900	1	61	49	4	FALSE	HETLOSS	PASS
X1283	ABCA9	17	68974488	69061064	FALSE	415	-0.478793916026507	12	66965100	75098000	0.6335752685139	1	0	0.6335752685139	1	0	8132900	1	61	51	6	FALSE	HETLOSS	PASS
X1283	ABCB1	7	87503633	87713323	FALSE	197	-0.000709660987391128	40	78346000	97024500	NA	2	NA	NA	2	NA	18678500	NA	72	47	0	FALSE	DIPLOID or CNLOH	PASS
X1283	ABCB10	1	229516582	229558695	FALSE	48	0.216780304126476	49	225839874	230178165	0.266794758275042	3	1	0.266794758275042	3	1	4338291	2	46	14	1	FALSE	GAIN	PASS
X1283	ABCB11	2	168915498	169031324	FALSE	69	0.140163990930478	45	168232125	170797904	1	2	1	1	2	1	2565779	1	22	44	4	FALSE	DIPLOID	PASS
X1283	ABCB4	7	87401697	87480435	FALSE	197	-0.000709660987391128	40	78346000	97024500	NA	2	NA	NA	2	NA	18678500	NA	72	39	0	FALSE	DIPLOID or CNLOH	PASS
X1283	ABCB5	7	20615207	20777038	FALSE	191	-0.0360185489951841	38	6674100	31080600	NA	2	NA	NA	2	NA	24406500	NA	114	34	0	FALSE	DIPLOID or CNLOH	PASS
X1283	ABCB6	2	219209766	219219017	FALSE	77	0.0634740241442806	41	217704027	237779250	1	2	1	1	2	1	20075223	1	168	24	1	FALSE	DIPLOID	PASS
X1283	ABCB7	23	75051554	75156732	FALSE	531	0.0707068749463101	44	44261200	81121500	NA	2	NA	NA	2	NA	36860300	NA	253	23	0	FALSE	DIPLOID or CNLOH	PASS
X1283	ABCB8	7	151028422	151047782	FALSE	210	0.406596382485548	56	150742566	151079500	0.628367606848482	3	1	0.628367606848482	3	1	336934	2	13	27	2	FALSE	GAIN	PASS
X1283	ABCB9	12	122920951	122981649	FALSE	314	-0.298289022169202	24	122594488	122982707	0.417632569626856	1	0	0.417632569626856	1	0	388219	1	11	40	1	FALSE	HETLOSS	PASS
X1283	ABCC1	16	15949577	16143074	FALSE	363	-0.494731964507968	12	2472000	22123900	0.6335752685139	1	0	0.6335752685139	1	0	19651900	1	195	57	7	FALSE	HETLOSS	PASS
X1283	ABCC10	6	43427366	43450430	FALSE	170	0.355094558880862	55	43259800	43640600	0.453335909848522	3	NA	0.453335909848522	3	NA	380800	NA	14	38	0	FALSE	GAIN (many states)	PASS
X1283	ABCC11	16	48166910	48247568	FALSE	373	-0.0911967901926649	35	48088771	48365534	NA	2	NA	NA	2	NA	276763	NA	4	45	3	FALSE	DIPLOID or CNLOH	PASS
X1283	ABCC12	16	48081006	48156018	FALSE	372	-0.0907669860112121	32	35082100	48088671	0.239100292620949	1	0	0.239100292620949	1	0	13006571	1	11	47	1	TRUE	HETLOSS	PASS
X1283	ABCC2	10	99782640	99852594	FALSE	270	-0.0897073559977751	35	97757200	100218126	NA	2	NA	NA	2	NA	2460926	NA	22	44	0	FALSE	DIPLOID or CNLOH	PASS
X1283	ABCC3	17	50634777	50692252	FALSE	410	-0.520946773414327	9	48691537	56987648	0.6335752685139	1	0	0.6335752685139	1	0	8296111	1	72	51	6	FALSE	HETLOSS	PASS
X1283	ABCC4	13	95019829	95301475	FALSE	329	-0.195064246777876	31	80656400	98684700	0.293908506136844	1	0	0.293908506136844	1	0	18028300	1	23	45	0	FALSE	HETLOSS	PASS
X1283	ABCC5	3	183919934	184018015	FALSE	108	1.17418008124145	91	175655413	191375100	0.630569975509685	6	2	0.630569975509685	6	2	15719687	4	97	51	8	FALSE	AMP	suppress_segment_too_large
X1283	ABCC6	16	16148928	16223522	FALSE	363	-0.494731964507968	12	2472000	22123900	0.6335752685139	1	0	0.6335752685139	1	0	19651900	1	195	50	10	FALSE	HETLOSS	PASS
X1283	ABCC8	11	17392498	17476879	FALSE	289	0.0814067466030237	44	14861400	43897800	NA	2	NA	NA	2	NA	29036400	NA	119	64	0	FALSE	DIPLOID or CNLOH	PASS
X1283	ABCC9	12	21797401	21942529	FALSE	303	-0.555601626248912	11	8357100	21933800	0.6335752685139	1	0	0.6335752685139	1	0	13576700	1	128	50	0	TRUE	HETLOSS	PASS
X1283	ABCD1	23	153724868	153744762	FALSE	552	0.397960371213404	56	151396700	155299100	0.628367606848482	3	1	0.628367606848482	3	1	3902400	2	92	16	0	FALSE	GAIN	PASS
X1283	ABCD2	12	39550033	39619751	FALSE	305	-0.489664575665403	16	38905300	40450600	0.620121811705939	1	0	0.620121811705939	1	0	1545300	1	7	16	0	FALSE	HETLOSS	PASS
X1283	ABCD3	1	94418455	94518666	FALSE	12	0.0779285908592707	44	85257400	99264800	NA	2	NA	NA	2	NA	14007400	NA	70	24	0	FALSE	DIPLOID or CNLOH	PASS
X1283	ABCD4	14	74285423	74303056	FALSE	339	0.084560077660403	44	71529300	75631700	NA	2	NA	NA	2	NA	4102400	NA	51	25	0	FALSE	DIPLOID or CNLOH	PASS
X1283	ABCE1	4	145097932	145129179	FALSE	132	0.0436403121294264	41	136355221	168685498	1	2	1	1	2	1	32330277	1	117	18	0	FALSE	DIPLOID	PASS
X1283	ABCF1	6	30571376	30597179	FALSE	169	0.0691174717605609	44	13659000	43259300	NA	2	NA	NA	2	NA	29600300	NA	440	24	0	FALSE	DIPLOID or CNLOH	PASS
X1283	ABCF2	7	151212490	151227230	FALSE	211	0.56854242939431	66	151079833	151809084	0.6335752685139	3	1	0.6335752685139	3	1	729251	2	16	22	4	FALSE	GAIN	PASS
