sample	gene	chrom	gene_start	gene_end	tsg	seg	median_cnlr_seg	segclust	seg_start	seg_end	cf.em	tcn.em	lcn.em	cf	tcn	lcn	seg_length	mcn	genes_on_seg	gene_snps	gene_het_snps	spans_segs	cn_state	filter
MDL17-2917	A1BG	19	58345178	58353499	FALSE	884	-0.192414259367	56	56385205	58599300	0.453373360665087	5	2	0.453373360665087	5	2	2214095	3	86	10	0	FALSE	AMP	PASS
MDL17-2917	A1CF	10	50799409	50885675	FALSE	463	-0.120065142049383	64	48251500	54369300	0.453011961907338	5	NA	0.453011961907338	5	NA	6117800	NA	28	19	0	FALSE	AMP (many states)	PASS
MDL17-2917	A2M	12	9067664	9116229	FALSE	526	-0.0124862588969674	73	3659600	9208200	0.453011961907338	6	NA	0.453011961907338	6	NA	5548600	NA	97	49	0	FALSE	AMP (many states)	PASS
MDL17-2917	A2ML1	12	8822472	8887001	FALSE	526	-0.0124862588969674	73	3659600	9208200	0.453011961907338	6	NA	0.453011961907338	6	NA	5548600	NA	97	42	0	FALSE	AMP (many states)	PASS
MDL17-2917	A3GALT2	1	33306766	33321098	FALSE	8	-0.0564105893778709	68	31790700	55069200	0.453011961907338	5	NA	0.453011961907338	5	NA	23278500	NA	305	7	0	FALSE	AMP (many states)	suppress_segment_too_large
MDL17-2917	A4GALT	22	42692112	42721298	FALSE	977	-0.323954477942148	47	42129754	43039806	0.453373360665087	5	0	0.453373360665087	5	0	910052	5	12	6	0	FALSE	AMP (LOH)	PASS
MDL17-2917	A4GNT	3	138123718	138132387	FALSE	212	-0.0951115587746481	62	132478223	140532257	0.453011961907338	5	0	0.453011961907338	5	0	8054034	5	50	5	1	FALSE	AMP (LOH)	PASS
MDL17-2917	AAAS	12	53307456	53324864	FALSE	534	0.00323238993336072	73	53006600	57156200	0.453011961907338	6	NA	0.453011961907338	6	NA	4149600	NA	133	17	0	FALSE	AMP (many states)	PASS
MDL17-2917	AACS	12	125065379	125143333	FALSE	561	-0.249426077003039	52	124356614	128794200	0.453373360665087	4	2	0.453373360665087	4	2	4437586	2	9	30	5	FALSE	TETRAPLOID	PASS
MDL17-2917	AADAC	3	151814037	151828488	FALSE	218	0.137382362187797	82	151213400	160026653	0.453011961907338	7	0	0.453011961907338	7	0	8813253	7	41	8	1	FALSE	INDETERMINATE	PASS
MDL17-2917	AADACL2	3	151733916	151761339	FALSE	218	0.137382362187797	82	151213400	160026653	0.453011961907338	7	0	0.453011961907338	7	0	8813253	7	41	7	1	FALSE	INDETERMINATE	PASS
MDL17-2917	AADACL3	1	12716115	12728759	FALSE	2	-0.241539192884057	54	6533500	16971700	0.360298804695875	5	NA	0.360298804695875	5	NA	10438200	NA	134	9	0	FALSE	AMP (many states)	suppress_segment_too_large
MDL17-2917	AADACL4	1	12644547	12667086	FALSE	2	-0.241539192884057	54	6533500	16971700	0.360298804695875	5	NA	0.360298804695875	5	NA	10438200	NA	134	8	0	FALSE	AMP (many states)	suppress_segment_too_large
MDL17-2917	AADAT	4	170060222	170091699	FALSE	249	0.0434023550034557	74	169508208	186197081	0.453011961907338	6	0	0.453011961907338	6	0	16688873	6	54	17	0	FALSE	AMP (LOH)	suppress_segment_too_large
MDL17-2917	AAGAB	15	67201033	67255195	FALSE	614	-0.0492286660087208	68	64136500	74044900	0.453011961907338	5	NA	0.453011961907338	5	NA	9908400	NA	94	13	0	FALSE	AMP (many states)	PASS
MDL17-2917	AAK1	2	69457997	69674349	FALSE	97	0.110656713787712	81	31414700	71516200	0.453011961907338	6	NA	0.453011961907338	6	NA	40101500	NA	193	33	0	FALSE	AMP (many states)	suppress_segment_too_large
MDL17-2917	AAMDC	11	77821109	77918432	FALSE	505	-0.0844973276830981	64	73419900	78222400	0.453011961907338	5	NA	0.453011961907338	5	NA	4802500	NA	59	22	0	FALSE	AMP (many states)	PASS
MDL17-2917	AAMP	2	218264123	218270257	FALSE	153	-0.0746349929870889	62	217991200	219472319	0.453011961907338	5	0	0.453011961907338	5	0	1481119	5	50	15	0	FALSE	AMP (LOH)	PASS
MDL17-2917	AANAT	17	76453351	76470117	FALSE	756	-0.152095569432437	61	76103529	76778328	0.453011961907338	5	NA	0.453011961907338	5	NA	674799	NA	21	7	0	FALSE	AMP (many states)	PASS
MDL17-2917	AAR2	20	36236459	36270918	FALSE	899	-0.16501932861355	61	35655400	36879139	0.447222009280371	5	NA	0.447222009280371	5	NA	1223739	NA	21	8	0	FALSE	AMP (many states)	PASS
MDL17-2917	AARD	8	116938199	116944487	FALSE	399	0.0581201677170834	74	109557729	122952713	0.453011961907338	6	0	0.453011961907338	6	0	13394984	6	27	2	0	FALSE	AMP (LOH)	suppress_segment_too_large
MDL17-2917	AARS	16	70252295	70289543	FALSE	655	-0.28703425183153	54	70220700	70479481	0.360298804695875	5	NA	0.360298804695875	5	NA	258781	NA	7	30	1	FALSE	AMP (many states)	PASS
MDL17-2917	AARS2	6	44299654	44313326	FALSE	306	-0.0963880255223448	64	33431700	44311100	0.453011961907338	5	NA	0.453011961907338	5	NA	10879400	NA	157	27	0	TRUE	AMP (many states)	suppress_segment_too_large
MDL17-2917	AARSD1	17	42950526	42964498	FALSE	722	-0.035335099648067	68	42704600	43810700	0.453011961907338	6	NA	0.453011961907338	6	NA	1106100	NA	31	16	0	FALSE	AMP (many states)	PASS
MDL17-2917	AASDH	4	56338287	56387508	FALSE	238	0.0906062968694769	81	9996900	102730778	0.453011961907338	6	NA	0.453011961907338	6	NA	92733878	NA	352	20	0	FALSE	AMP (many states)	suppress_segment_too_large
MDL17-2917	AASDHPPT	11	106075501	106098710	FALSE	508	0.109650475033842	78	90035400	113204249	0.453011961907338	6	0	0.453011961907338	6	0	23168849	6	121	8	0	FALSE	AMP (LOH)	suppress_segment_too_large
MDL17-2917	AASS	7	122075647	122144280	FALSE	358	0.151325241875598	82	108480700	127590100	0.453011961907338	7	0	0.453011961907338	7	0	19109400	7	59	26	0	FALSE	INDETERMINATE	PASS
MDL17-2917	AATF	17	36948875	37056871	FALSE	705	0.00479705100771888	70	36486726	37744600	0.453011961907338	6	1	0.453011961907338	6	1	1257874	5	15	20	0	FALSE	AMP	PASS
MDL17-2917	AATK	17	81117295	81166077	FALSE	767	-0.789824881140124	23	80947400	81549400	1	2	1	1	2	1	602000	1	14	32	5	FALSE	DIPLOID	PASS
MDL17-2917	ABAT	16	8674565	8784575	FALSE	625	-0.27568472044249	51	2514000	11174324	0.453373360665087	5	0	0.453373360665087	5	0	8660324	5	102	28	0	FALSE	AMP (LOH)	PASS
MDL17-2917	ABCA1	9	104781002	104928237	FALSE	429	0.00518030672977288	69	104750859	109013300	0.453011961907338	6	0	0.453011961907338	6	0	4262441	6	16	79	12	FALSE	AMP (LOH)	PASS
MDL17-2917	ABCA10	17	69147214	69244846	FALSE	746	0.0618966461137007	74	68452981	73338768	0.453011961907338	6	0	0.453011961907338	6	0	4885787	6	20	38	0	FALSE	AMP (LOH)	PASS
MDL17-2917	ABCA12	2	214931542	215138428	FALSE	149	0.0874150312396967	79	209933800	215000851	0.453011961907338	6	0	0.453011961907338	6	0	5067051	6	13	72	5	TRUE	AMP (LOH)	PASS
MDL17-2917	ABCA13	7	48171458	48647496	FALSE	341	-0.00308116326942121	73	45888700	56081100	0.453011961907338	6	NA	0.453011961907338	6	NA	10192400	NA	33	109	0	FALSE	AMP (many states)	suppress_segment_too_large
