Unique Name	Descriptor	Wide Peak Limits	Peak Limits	Region Limits	q values	Residual q values after removing segments shared with higher peaks	Broad or Focal	Amplitude Threshold	X1032	X103	X1040	X106	X1097	X1098	X1172	X1177	X1192	X1196	X119	X120	X1230	X1237	X1265	X1269	X1283	X128	X1326	X1341	X1364	X137	X1410	X1419	X1471	X1499	X1530	X1548	X1552	X1568	X1580	X1582	X1593	X1605	X1634	X1652	X1677	X1689	X1718	X1751	X1851	X1922	X1928	X1979	X2090	X2120	X2152	X2176	X2212	X2316	X2354	X2357	X2360	X2362	X2374	X23	X2401	X2412	X2415	X2429	X2438	X2443	X2503	X2529	X2554	X2556	X2577	X2587	X2593	X2638	X2648	X2665	X2700	X2704	X2716	X2763	X2773	X2797	X2816	X2825	X2890	X2902	X2949	X2991	X2998	X300	X301	X3056	X3059	X3080	X3107	X3144	X3151	X3225	X3238	X3297	X3349	X3391	X342	X356	X429	X451	X472	X544	X592	X603	X655	X736	X80	X860	X88	X935	X93	X94	X970	X987	X991	
Amplification Peak  1	1p36.33 	chr1:865701-2619693(probes 34:277)                   	chr1:1281301-1358299(probes 97:108)                 	chr1:183801-6854957(probes 17:503)                   	0.00078544	 0.00078544		0: t<0.25; 1: 0.25<t< 0.9; 2: t>0.9	1	0	1	0	0	1	2	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	1	0	0	0	1	1	1	2	1	0	1	1	1	0	0	2	0	1	0	0	0	0	0	2	1	0	0	0	1	0	1	2	1	0	0	0	2	1	1	0	0	2	1	0	1	0	0	1	1	0	0	0	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	
Amplification Peak  2	1q21.3  	chr1:150249559-151697820(probes 10549:10735)    	chr1:150757895-150853399(probes 10619:10628)    	chr1:121568801-153003018(probes 9927:10926)     	9.1178e-09	 1.4423e-07		0: t<0.25; 1: 0.25<t< 0.9; 2: t>0.9	0	0	0	0	2	2	0	2	2	2	2	1	1	0	2	1	0	1	0	0	2	1	2	1	0	0	0	0	1	1	0	0	1	2	0	1	0	1	0	2	2	1	0	2	2	1	0	0	2	0	2	1	0	0	1	0	1	0	1	1	1	1	2	2	1	1	0	0	0	1	2	1	0	0	1	0	1	1	0	1	0	1	0	0	0	0	1	0	0	1	2	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	2	0	1	0	2	1	
Amplification Peak  3	1q44    	chr1:219600734-248956422(probes 16583:19238)    	chr1:248681659-248853899(probes 19204:19217)    	chr1:226642201-248956422(probes 17214:19238)    	0.0047384	    0.15324		0: t<0.25; 1: 0.25<t< 0.9; 2: t>0.9	1	0	1	0	1	0	0	1	2	2	2	2	0	0	1	1	0	1	0	0	2	2	0	1	0	2	0	0	1	0	1	0	0	2	0	1	0	0	0	0	0	2	0	2	0	1	2	0	2	0	1	1	0	1	1	0	1	0	0	1	0	1	1	1	1	1	0	1	1	2	1	0	0	0	0	0	1	1	0	1	0	1	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	1	0	1	1	0	2	0	0	1	0	0	0	2	1	
Amplification Peak  4	2q14.1  	chr2:113193601-113406699(probes 27344:27352)    	chr2:113201511-113406405(probes 27345:27351)    	chr2:113127601-113456631(probes 27332:27361)    	0.021787	   0.049628		0: t<0.25; 1: 0.25<t< 0.9; 2: t>0.9	1	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	2	0	0	1	1	0	1	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	2	0	2	1	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	2	0	2	1	0	0	0	1	0	0	0	2	0	2	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	
Amplification Peak  5	2q31.2  	chr2:177550801-177777882(probes 32026:32050)    	chr2:177550901-177711799(probes 32027:32046)    	chr2:177523901-177794849(probes 32024:32052)    	0.049965	   0.081153		0: t<0.25; 1: 0.25<t< 0.9; 2: t>0.9	0	0	0	0	0	0	1	1	2	0	0	2	0	0	0	2	0	0	0	0	0	2	2	0	0	0	1	0	1	0	2	1	0	2	0	1	0	1	0	1	0	1	0	2	1	1	2	0	2	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0	2	0	1	0	1	0	0	0	0	0	0	0	0	1	0	
Amplification Peak  6	3q26.2  	chr3:168085901-170107166(probes 50886:51051)    	chr3:169093193-169709899(probes 50945:51002)    	chr3:154129801-198295559(probes 49973:53634)    	1.5094e-15	 6.8082e-12		0: t<0.25; 1: 0.25<t< 0.9; 2: t>0.9	1	0	0	1	2	1	2	1	1	0	2	2	1	2	0	2	2	1	0	1	0	2	2	0	0	0	1	0	1	1	2	2	2	2	0	1	0	2	1	1	2	2	0	2	2	2	2	1	2	0	2	1	2	2	1	0	1	1	0	0	0	1	1	1	0	2	1	1	1	1	1	2	2	0	2	0	1	2	1	0	0	1	2	0	2	2	2	2	1	1	2	0	2	0	2	2	0	1	0	0	1	0	1	2	2	1	2	2	1	2	0	0	2	0	1	1	0	
Amplification Peak  7	3q29    	chr3:195789301-198295559(probes 53357:53634)    	chr3:198038795-198077307(probes 53619:53621)    	chr3:154129801-198295559(probes 49973:53634)    	3.6228e-14	 0.00065642		0: t<0.25; 1: 0.25<t< 0.9; 2: t>0.9	1	0	0	0	2	1	2	1	1	2	2	2	0	2	2	2	2	1	1	2	0	0	0	1	0	1	0	0	1	0	1	2	2	1	0	1	0	2	1	2	0	2	0	2	1	1	2	1	0	2	0	1	2	2	1	0	2	1	1	0	0	2	1	1	0	2	1	1	1	2	0	2	0	0	2	0	1	2	0	0	0	1	2	0	1	2	2	0	0	2	2	0	2	0	2	2	0	1	0	0	0	0	2	2	0	1	1	2	2	2	0	0	0	2	2	1	0	
Amplification Peak  8	4p16.3  	chr4:434476-2313778(probes 53675:53864)              	chr4:1740001-1825399(probes 53806:53815)            	chr4:1238401-1910609(probes 53773:53822)            	0.065429	   0.065429		0: t<0.25; 1: 0.25<t< 0.9; 2: t>0.9	0	0	0	1	2	1	0	0	0	0	1	2	0	0	0	2	0	0	0	0	1	2	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	
Amplification Peak  9	5p15.33 	chr5:1-2747599(probes 68032:68231)                   	chr5:653301-1031899(probes 68096:68129)              	chr5:1-1443299(probes 68032:68187)                   	0.048393	   0.048393		0: t<0.25; 1: 0.25<t< 0.9; 2: t>0.9	2	0	0	0	2	1	2	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	2	2	1	0	2	0	0	0	2	0	1	2	0	0	0	1	1	1	2	2	0	1	1	1	1	1	2	1	2	0	0	0	0	2	1	0	0	0	0	0	1	0	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	2	1	0	0	0	2	0	2	0	0	0	0	1	1	1	0	1	0	1	0	1	0	0	0	0	0	1	
Amplification Peak 10	5q31.3  	chr5:140841615-140863399(probes 77953:77959)    	chr5:140841828-140862899(probes 77954:77958)    	chr5:140841828-140869568(probes 77954:77962)    	5.2075e-09	 5.2075e-09		0: t<0.25; 1: 0.25<t< 0.9; 2: t>0.9	1	0	0	0	0	0	0	2	1	0	0	0	2	1	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	2	0	1	0	2	0	0	0	1	2	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	2	0	0	1	1	1	0	0	0	0	0	2	0	2	2	0	0	0	2	0	0	0	0	0	1	0	0	0	0	2	2	1	2	0	2	0	0	0	0	0	0	0	0	2	1	
Amplification Peak 11	6p21.33 	chr6:31994701-32008799(probes 83851:83857)        	chr6:31996001-32007599(probes 83854:83856)        	chr6:31979601-32042599(probes 83848:83867)        	2.3658e-08	 2.3658e-08		0: t<0.25; 1: 0.25<t< 0.9; 2: t>0.9	0	0	0	0	2	1	0	1	2	1	2	0	0	2	0	0	0	2	0	1	1	0	0	0	2	0	0	0	0	1	1	0	1	0	0	1	0	0	0	1	1	2	0	1	2	2	0	0	2	0	1	0	1	2	0	1	1	0	0	2	0	1	0	1	2	0	1	0	0	1	1	1	0	0	1	0	0	2	0	0	0	1	2	2	2	0	2	0	0	0	1	0	0	1	2	0	0	0	0	2	0	2	0	2	2	0	1	0	1	0	0	1	0	0	0	1	0	
Amplification Peak 12	6q16.3  	chr6:104019023-106108743(probes 88710:88812)    	chr6:104750393-104811299(probes 88716:88721)    	chr6:104750393-104841170(probes 88716:88724)    	0.22355	    0.22355		0: t<0.25; 1: 0.25<t< 0.9; 2: t>0.9	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	2	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	2	0	0	1	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
Amplification Peak 13	7q34    	chr7:142065912-142095047(probes 105541:105547)  	chr7:142067539-142095023(probes 105542:105546)  	chr7:142059877-142100599(probes 105535:105552)  	4.0003e-07	 4.0003e-07		0: t<0.25; 1: 0.25<t< 0.9; 2: t>0.9	1	1	0	0	2	1	0	1	1	0	1	0	0	0	0	2	1	1	0	0	0	1	0	0	2	0	0	0	2	1	0	2	0	1	0	1	0	1	0	1	1	2	1	0	2	1	1	0	2	1	0	0	0	1	1	0	0	1	0	0	0	0	2	1	1	0	0	0	0	0	0	0	2	0	2	0	0	1	0	1	0	1	0	2	0	0	2	0	0	1	1	0	1	1	1	1	1	0	0	0	0	2	1	0	1	0	1	0	2	0	0	0	0	0	0	2	0	
Amplification Peak 14	8p11.1  	chr8:42874001-43674399(probes 110327:110383)      	chr8:43197801-43672899(probes 110364:110382)      	chr8:42950501-46622739(probes 110334:110385)      	0.11492	    0.11492		0: t<0.25; 1: 0.25<t< 0.9; 2: t>0.9	1	0	0	0	2	1	0	0	2	0	2	0	0	0	0	1	0	1	0	0	0	1	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	2	0	1	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	2	0	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	1	0	1	0	2	0	1	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	1	1	
Amplification Peak 15	8q24.3  	chr8:143717835-144168599(probes 117368:117456)  	chr8:143938809-143943699(probes 117420:117421)  	chr8:102412401-145138636(probes 114724:117596)  	1.6765e-28	 1.6765e-28		0: t<0.25; 1: 0.25<t< 0.9; 2: t>0.9	1	0	0	1	2	2	2	1	2	2	2	2	2	0	2	1	2	1	2	0	1	2	0	2	2	2	1	1	2	2	2	2	0	1	0	0	2	2	0	2	2	2	2	1	2	2	2	1	2	2	1	1	2	2	0	1	2	1	1	1	0	1	0	2	1	1	1	0	0	2	0	2	1	2	2	0	1	1	1	0	2	0	2	0	2	2	0	0	1	1	2	1	2	1	2	1	2	2	0	1	0	1	2	2	2	0	2	1	1	0	1	2	2	2	2	0	1	
Amplification Peak 16	10q26.13	chr10:122580101-122594290(probes 136645:136651)	chr10:122580597-122593999(probes 136646:136650)	chr10:122580597-122598019(probes 136646:136653)	3.1104e-07	 3.1104e-07		0: t<0.25; 1: 0.25<t< 0.9; 2: t>0.9	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	1	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	1	2	0	0	2	1	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	2	0	2	0	2	0	0	0	0	0	1	0	1	0	0	1	0	2	1	2	2	0	0	0	0	0	0	0	0	0	0	0	2	2	0	
Amplification Peak 17	11q13.5 	chr11:75449076-79998823(probes 143643:144030)    	chr11:76721601-77071499(probes 143768:143793)    	chr11:74921401-81504602(probes 143586:144100)    	0.0011445	  0.0011445		0: t<0.25; 1: 0.25<t< 0.9; 2: t>0.9	0	0	2	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	1	0	2	1	1	0	0	2	2	0	1	1	0	1	0	1	0	1	1	0	0	2	2	2	1	0	2	0	1	1	0	1	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	2	0	0	2	1	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	1	0	1	0	2	2	0	0	
Amplification Peak 18	12p13.33	chr12:1-1869199(probes 148316:148504)                	chr12:460701-536199(probes 148365:148368)            	chr12:1-5504382(probes 148316:148776)                	0.00029571	  0.0015035		0: t<0.25; 1: 0.25<t< 0.9; 2: t>0.9	0	0	1	0	0	2	0	2	0	0	2	0	0	0	0	1	0	0	0	0	1	0	2	1	0	1	0	0	1	2	0	1	2	2	0	1	0	0	1	0	1	0	0	0	1	1	1	1	2	0	0	2	2	2	2	0	0	0	0	2	0	1	1	1	0	2	0	0	2	2	0	0	0	0	2	0	1	0	2	1	0	1	0	0	0	0	0	0	0	1	1	0	0	2	2	1	1	1	1	0	1	0	1	0	2	1	0	0	0	1	1	2	0	2	1	2	0	
Amplification Peak 19	12p11.22	chr12:23950901-29761949(probes 150405:150817)    	chr12:28307801-28452499(probes 150720:150726)    	chr12:28307801-29297299(probes 150720:150767)    	0.072506	    0.12075		0: t<0.25; 1: 0.25<t< 0.9; 2: t>0.9	0	0	0	0	0	2	0	2	2	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	1	2	0	0	0	1	0	0	1	0	0	1	1	1	1	0	1	0	0	1	0	1	1	0	0	0	0	0	0	1	1	0	1	2	0	0	1	1	1	1	0	0	1	0	1	2	1	0	0	1	0	2	0	0	1	0	0	0	1	0	0	1	2	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	2	0	
Amplification Peak 20	12q12   	chr12:45064701-46197139(probes 151659:151717)    	chr12:45439901-46188999(probes 151688:151716)    	chr12:45065201-46213419(probes 151660:151719)    	0.12075	    0.12075		0: t<0.25; 1: 0.25<t< 0.9; 2: t>0.9	0	0	0	0	0	1	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	2	1	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	1	1	0	1	0	1	0	2	0	0	0	0	1	0	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	
