cytoband	9p21.3	10q21.2	2q22.1	Xp22.33	1p36.11	17q25.1	4q35.2	7p12.1	3p24.1	1p12	6q16.1	15q21.1	3q27.3	3p11.1	5q35.3	12q24.33	5q14.3	18q21.32	Xq21.31	2p23.3	2q37.3	6p22.2	16q24.3	4p16.3	8p21.2	6q22.1	13q12.11	
q value	2.4479e-91	7.7666e-28	1.9037e-25	4.2925e-23	2.1512e-14	6.8275e-10	1.0803e-09	3.987e-09	3.6268e-09	5.5702e-10	1.2725e-08	2.4304e-07	8.6673e-06	1.2345e-05	0.00074021	0.00089369	0.0027069	0.0028352	0.0047641	0.0058463	0.016982	0.017766	0.019118	0.023296	0.025559	0.00056516	0.045884	
residual q value	2.4479e-91	7.7666e-28	1.9037e-25	4.2925e-23	1.1998e-12	6.8275e-10	1.1554e-09	3.987e-09	4.7122e-09	2.4014e-08	1.1366e-07	2.4304e-07	8.6673e-06	1.9644e-05	0.00074021	0.00089369	0.0026695	0.0028968	0.0045516	0.0058463	0.016982	0.016982	0.019615	0.023673	0.026121	0.039626	0.045489	
wide peak boundaries	chr9:21974652-28385671	chr10:56851397-63662044	chr2:136875624-141641928	chrX:1-3085463	chr1:23885769-27056247	chr17:70114462-78519510	chr4:184214696-187519628	chr7:45127283-52528987	chr3:28746031-33432306	chr1:115258727-120199188	chr6:89795262-98477759	chr15:36872499-45468625	chr3:185183982-187440317	chr3:76716795-95454467	chr5:178976482-180915260	chr12:112926905-133851895	chr5:77158107-96383751	chr18:56405375-59254137	chrX:70362048-106444208	chr2:21048446-25975126	chr2:209052320-243199373	chr6:25586904-26092098	chr16:81971867-90354753	chr4:1-12321668	chr8:18916991-30349913	chr6:106534451-117622218	chr13:1-75818187	
genes in wide peak	CDKN2B	ANK3	HNMT	SLC25A6	hsa-mir-1976	hsa-mir-4316	SLC25A4	ADCY1	hsa-mir-466	hsa-mir-942	hsa-mir-2113	hsa-mir-1282	hsa-mir-1248	EPHA3	hsa-mir-340	hsa-mir-4304	hsa-mir-583	GRP	hsa-mir-548m	hsa-mir-1301	hsa-mir-3133	HIST1H1C	hsa-mir-1910	hsa-mir-572	hsa-mir-3148	hsa-mir-587	hsa-mir-3169	
	ELAVL2	CDK1	NXPH2	ARSD	RUNX3	hsa-mir-636	CASP3	DDC	CCR4	hsa-mir-320b-1	EPHA7	hsa-mir-627	AHSG	GBE1	hsa-mir-1229	hsa-mir-1178	hsa-mir-2277	LMAN1	hsa-mir-361	ADCY3	hsa-mir-149	HIST1H2BB	hsa-mir-3182	hsa-mir-3138	hsa-mir-4288	AIM1	hsa-mir-1297	
	TEK	TFAM	THSD7B	ARSE	CD52	AANAT	F11	GRB10	GLB1	ATP1A1	GABRR1	hsa-mir-4310	CRYGS	HTR1F	CANX	hsa-mir-620	hsa-mir-9-2	MC4R	hsa-mir-548i-4	APOB	hsa-mir-4269	HIST1H1A	AFG3L1P	hsa-mir-548i-2	hsa-mir-4287	AMD1	hsa-mir-759	
	PLAA	UBE2D1	SPOPL	ARSF	CNR2	ACOX1	ACSL1	HUS1	TGFBR2	CASQ2	GABRR2	hsa-mir-626	DGKG	POU1F1	FLT4	hsa-mir-1302-1	hsa-mir-4280	PMAIP1	hsa-mir-4328	DNMT3A	hsa-mir-562	SLC17A1	APRT	hsa-mir-95	hsa-mir-548h-4	PRDM1	hsa-mir-15a	
	C9orf11	CCDC6	LOC647012	ASMT	EXTL1	BIRC5	ING2	IGFBP1	CRTAP	CD2	MAP3K7	B2M	EIF4A2	PROS1	HNRNPH1	ACADS	ARSB	CDH20	hsa-mir-325	DTNB	hsa-mir-1471	HIST1H2AB	C16orf3	hsa-mir-4274	hsa-mir-320a	COL10A1	hsa-mir-3168	
	IFNK	RHOBTB1		CSF2RA	FUCA1	CDK3	IRF2	IGFBP3	GPD1L	CD58	FHL5	BUB1B	ETV5	ROBO1	LTC4S	BCL7A	BHMT	RAX	hsa-mir-384	FKBP1B	hsa-mir-1244-1	HIST1H3A	CA5A	hsa-mir-943	ADRA1A	FOXO3	hsa-mir-621	
	DMRTA1	ZWINT		IL3RA	GALE	EVPL	KLKB1	UPP1	FBXL2	HSD3B1	CASP8AP2	CAPN3	HRG	ROBO2	MGAT1	SCARB1	CAST	ZNF532	hsa-mir-374a	POMC	hsa-mir-4268	HIST1H3C	CBFA2T3	hsa-mir-571	ATP6V1B2	FRK	hsa-mir-4305	
