Gene Symbol	Gene ID	Cytoband	X1032	X103	X1040	X106	X1364	X1552	X1634	X1677	X1718	X2176	X2556	X2577	X2587	X429	X655	X860	X991
DDX11L1	100287102	1p36.33	-0.029	0.027	0.338	0.110	-0.327	-0.684	-0.229	-0.093	0.576	-0.022	0.370	-0.015	-0.135	-0.441	-0.166	-0.138	-0.374
MIR6859-1|chr1	102466751	1p36.33	-0.029	0.027	0.338	0.110	-0.327	-0.684	-0.229	-0.093	0.576	-0.022	0.370	-0.015	-0.135	0.729	-0.166	0.208	-0.374
MIR6859-2|chr1	102465909	1p36.33	-0.029	0.027	0.338	0.110	-0.327	-0.684	-0.229	-0.093	0.576	-0.022	0.370	-0.015	-0.135	0.729	-0.166	0.208	-0.374
MIR6859-3|chr1	102465910	1p36.33	-0.029	0.027	0.338	0.110	-0.327	-0.684	-0.229	-0.093	0.576	-0.022	0.370	-0.015	-0.135	0.729	-0.166	0.208	-0.374
WASH7P	653635	1p36.33	-0.029	0.027	0.338	0.110	-0.327	-0.684	-0.229	-0.093	0.576	-0.022	0.370	-0.015	-0.135	-0.441	-0.166	-0.138	-0.374
FAM138A|chr1	645520	1p36.33	-0.029	0.027	0.338	0.110	-0.327	-0.684	-0.229	-0.093	0.576	-0.022	0.370	-0.015	-0.135	-0.441	-0.166	-0.138	-0.374
FAM138C|chr1	654835	1p36.33	-0.029	0.027	0.338	0.110	-0.327	-0.684	-0.229	-0.093	0.576	-0.022	0.370	-0.015	-0.135	-0.441	-0.166	-0.138	-0.374
MIR1302-10|chr1	100422834	1p36.33	-0.029	0.027	0.338	0.110	-0.327	-0.684	-0.229	-0.093	0.576	-0.022	0.370	-0.015	-0.135	-0.441	-0.166	-0.138	-0.374
MIR1302-11|chr1	100422919	1p36.33	-0.029	0.027	0.338	0.110	-0.327	-0.684	-0.229	-0.093	0.576	-0.022	0.370	-0.015	-0.135	-0.441	-0.166	-0.138	-0.374
MIR1302-2|chr1	100302278	1p36.33	-0.029	0.027	0.338	0.110	-0.327	-0.684	-0.229	-0.093	0.576	-0.022	0.370	-0.015	-0.135	-0.441	-0.166	-0.138	-0.374
MIR1302-9|chr1	100422831	1p36.33	-0.029	0.027	0.338	0.110	-0.327	-0.684	-0.229	-0.093	0.576	-0.022	0.370	-0.015	-0.135	-0.441	-0.166	-0.138	-0.374
OR4F5	79501	1p36.33	-0.029	0.027	0.338	0.110	-0.327	-0.684	-0.229	-0.093	0.576	-0.022	0.370	-0.015	-0.135	-0.441	-0.166	-0.138	-0.374
LOC729737	729737	1p36.33	-0.029	0.027	0.338	0.110	-0.327	-0.684	-0.229	-0.093	0.576	-0.022	0.370	-0.015	-0.135	-0.441	-0.166	-0.138	-0.374
FAM138D|chr1	677784	1p36.33	0.732	0.027	0.338	0.110	-0.327	-0.413	-0.229	-0.093	0.576	-0.022	0.370	-0.015	-0.135	0.729	-0.166	0.208	-0.673
LOC100132062|chr1	100132062	1p36.33	0.732	0.027	0.338	0.110	-0.327	-0.413	-0.229	-0.093	0.576	-0.022	0.370	-0.015	-0.135	0.729	-0.166	0.208	-0.673
LOC100133331	100133331	1p36.33	0.732	0.027	0.338	0.110	-0.327	-0.413	-0.229	-0.093	0.576	-0.022	0.370	-0.015	-0.135	0.729	-0.166	0.208	-0.673
LOC101928626	101928626	1p36.33	0.732	0.027	0.338	0.110	-0.327	-0.413	-0.229	-0.093	0.576	-0.022	0.370	-0.015	-0.135	0.729	-0.166	0.208	-0.673
MIR6723	102465432	1p36.33	0.732	0.027	0.338	0.110	-0.327	-0.413	-0.229	-0.093	0.576	-0.022	0.370	-0.015	-0.135	0.729	-0.166	0.208	-0.673
OR4F16|chr1	81399	1p36.33	0.732	0.027	0.338	0.110	-0.327	-0.413	-0.229	-0.093	0.576	-0.022	0.370	-0.015	-0.135	0.729	-0.166	0.208	-0.673
OR4F29|chr1	729759	1p36.33	0.732	0.027	0.338	0.110	-0.327	-0.413	-0.229	-0.093	0.576	-0.022	0.370	-0.015	-0.135	0.729	-0.166	0.208	-0.673
LOC100288069	100288069	1p36.33	0.732	0.027	0.338	0.110	-0.327	-0.413	-0.229	-0.093	0.576	-0.022	0.370	-0.015	-0.135	0.729	-0.166	0.208	-0.673
FAM87B	400728	1p36.33	0.732	0.027	0.338	-0.199	-0.327	-0.413	-0.229	-0.093	0.576	-0.022	0.370	-0.015	-0.135	0.729	-0.166	0.208	-0.673
LINC00115	79854	1p36.33	0.732	0.027	0.338	-0.199	-0.327	-0.413	-0.229	-0.093	0.576	-0.022	0.370	-0.015	-0.135	0.729	-0.166	0.208	-0.673
LINC01128	643837	1p36.33	0.732	0.027	0.338	-0.199	-0.327	-0.413	-0.229	-0.093	0.576	-0.022	0.370	-0.015	-0.135	0.729	-0.166	0.208	-0.673
FAM41C	284593	1p36.33	0.732	0.027	0.338	-0.199	-0.327	-0.413	-0.229	-0.093	0.576	-0.022	0.681	-0.015	-0.135	0.729	-0.166	0.208	-0.673
LOC100130417	100130417	1p36.33	0.732	0.027	0.338	-0.199	-0.327	-0.413	-0.229	-0.093	0.576	-0.022	0.681	-0.015	-0.135	0.729	-0.166	0.208	-0.673
SAMD11	148398	1p36.33	0.732	0.027	0.338	-0.199	-0.327	-0.413	-0.229	-0.093	0.576	-0.022	0.681	-0.015	0.145	0.729	0.301	0.208	-0.673
NOC2L	26155	1p36.33	0.732	0.027	0.338	-0.199	-0.327	-0.413	-0.229	-0.093	0.576	-0.022	0.681	-0.015	0.145	0.729	0.301	0.208	-0.673
KLHL17	339451	1p36.33	0.732	0.027	0.338	-0.199	-0.327	-0.413	-0.229	-0.093	0.576	-0.022	0.681	0.227	0.145	0.729	0.301	0.208	-0.673
PLEKHN1	84069	1p36.33	0.732	0.027	0.338	-0.199	-0.327	-0.413	-0.229	-0.093	0.576	-0.022	0.681	0.227	0.145	0.729	0.301	0.208	-0.673
PERM1	84808	1p36.33	0.732	0.027	0.338	-0.199	-0.327	-0.413	-0.229	-0.093	0.576	-0.022	0.681	0.227	0.145	0.729	0.301	0.208	-0.673
HES4	57801	1p36.33	0.732	0.027	0.338	-0.199	-0.327	-0.413	-0.229	-0.093	0.576	-0.022	0.681	0.227	0.145	0.729	0.301	0.208	-0.673
ISG15	9636	1p36.33	0.732	0.027	0.338	-0.199	-0.327	-0.413	-0.229	-0.093	0.576	-0.022	0.681	0.227	0.145	0.729	0.301	0.208	-0.673
AGRN	375790	1p36.33	0.732	0.027	0.338	-0.199	-0.327	-0.413	-0.229	-0.093	0.576	-0.022	0.681	0.227	0.145	0.729	0.301	0.208	-0.673
RNF223	401934	1p36.33	0.732	0.027	0.338	-0.199	-0.327	-0.413	-0.229	-0.093	0.576	-0.022	0.681	0.227	0.145	0.729	0.301	0.208	-0.673
C1orf159	54991	1p36.33	0.732	0.027	0.338	-0.199	-0.327	-0.413	-0.229	-0.093	0.576	-0.261	0.681	0.227	0.145	0.729	0.301	0.208	-0.673
LINC01342	254099	1p36.33	0.732	0.027	0.338	-0.199	-0.327	-0.413	-0.229	-0.093	0.576	-0.261	0.681	0.227	0.145	0.729	0.301	0.208	-0.673
MIR200A	406983	1p36.33	0.732	0.027	0.338	-0.199	-0.327	-0.413	-0.229	-0.093	0.576	-0.261	0.681	0.227	0.145	0.729	0.301	0.208	-0.673
MIR200B	406984	1p36.33	0.732	0.027	0.338	-0.199	-0.327	-0.413	-0.229	-0.093	0.576	-0.261	0.681	0.227	0.145	0.729	0.301	0.208	-0.673
MIR429	554210	1p36.33	0.732	0.027	0.338	-0.199	-0.327	-0.413	-0.229	-0.093	0.576	-0.261	0.681	0.227	0.145	0.729	0.301	0.208	-0.673
TTLL10	254173	1p36.33	0.732	0.027	0.338	-0.199	-0.327	-0.413	-0.229	-0.093	0.576	-0.261	0.681	0.227	0.145	0.729	0.301	0.208	-0.673
TNFRSF18	8784	1p36.33	0.732	0.027	0.338	-0.199	-0.327	-0.413	-0.229	-0.093	0.576	-0.160	0.681	0.227	0.145	0.729	0.301	0.208	-0.673
TNFRSF4	7293	1p36.33	0.732	0.027	0.338	-0.199	-0.327	-0.413	-0.229	-0.093	0.576	-0.160	0.681	0.227	0.145	0.729	0.301	0.208	-0.673
SDF4	51150	1p36.33	0.732	0.027	0.338	-0.199	-0.327	-0.413	-0.229	-0.093	0.406	-0.160	0.681	0.227	0.145	0.729	0.301	0.208	-0.673
B3GALT6	126792	1p36.33	0.732	0.027	0.338	-0.199	-0.327	-0.413	-0.229	-0.093	0.406	-0.160	0.681	0.227	0.145	0.729	0.301	0.208	-0.673
FAM132A	388581	1p36.33	0.732	0.027	0.338	-0.199	-0.327	-0.413	-0.229	-0.093	0.406	-0.160	0.681	0.227	0.145	0.729	0.301	0.208	-0.673
UBE2J2	118424	1p36.33	0.732	0.027	0.338	-0.199	-0.327	-0.413	-0.229	-0.093	0.406	-0.160	0.681	0.227	0.145	0.729	0.301	0.208	-0.673
SCNN1D	6339	1p36.33	0.732	0.027	0.338	-0.199	-0.327	-0.413	-0.229	-0.093	0.406	-0.160	0.681	0.227	0.145	0.729	0.301	0.208	-0.673
ACAP3	116983	1p36.33	0.732	0.027	0.338	-0.199	-0.327	-0.413	-0.229	-0.093	0.406	-0.160	0.681	0.227	0.145	0.729	0.301	0.208	-0.673
MIR6726	102465434	1p36.33	0.732	0.027	0.338	-0.199	-0.327	-0.413	-0.229	-0.093	0.406	-0.160	0.681	0.227	0.145	0.729	0.301	0.208	-0.673
PUSL1	126789	1p36.33	0.732	0.027	0.338	-0.199	-0.327	-0.413	-0.229	-0.093	0.406	-0.160	0.681	0.227	0.145	0.729	0.301	0.208	-0.673
CPSF3L	54973	1p36.33	0.732	0.027	0.338	-0.199	-0.327	-0.413	-0.229	-0.093	0.406	-0.160	0.681	0.227	0.145	0.729	0.301	0.208	-0.673
MIR6727	102465435	1p36.33	0.732	0.027	0.338	-0.199	-0.327	-0.413	-0.229	-0.093	0.406	-0.160	0.681	0.227	0.145	0.729	0.301	0.208	-0.673
CPTP	80772	1p36.33	0.732	0.027	0.338	-0.199	-0.327	-0.413	-0.229	-0.093	0.406	-0.160	0.681	0.227	0.145	0.729	0.301	0.208	-0.673
TAS1R3	83756	1p36.33	0.732	0.027	0.338	-0.199	-0.327	-0.413	-0.229	-0.093	0.406	-0.160	0.681	0.227	0.145	0.729	0.301	0.208	-0.673
DVL1	1855	1p36.33	0.732	0.027	0.338	-0.199	-0.327	-0.413	-0.229	-0.093	0.406	-0.160	0.681	0.227	0.145	0.729	0.301	0.208	-0.673
MIR6808	102466740	1p36.33	0.732	0.027	0.338	-0.199	-0.327	-0.413	-0.229	-0.093	0.406	-0.160	0.681	0.227	0.145	0.729	0.301	0.208	-0.673
MXRA8	54587	1p36.33	0.732	0.027	0.338	-0.199	-0.327	-0.413	-0.229	-0.093	0.406	-0.160	0.681	0.227	0.145	0.729	0.301	0.208	-0.673
AURKAIP1	54998	1p36.33	0.732	0.027	0.338	-0.199	-0.327	-0.413	-0.229	-0.093	0.406	-0.160	0.681	0.227	0.145	0.729	0.301	0.208	-0.673
CCNL2	81669	1p36.33	0.732	0.027	0.338	-0.199	-0.327	-0.413	-0.229	-0.093	0.406	-0.160	0.681	0.227	0.145	0.729	0.301	0.208	-0.673
LOC148413	148413	1p36.33	0.732	0.027	0.338	-0.199	-0.327	-0.413	-0.229	-0.093	0.406	-0.160	0.681	0.227	0.145	0.729	0.301	0.208	-0.673
MRPL20	55052	1p36.33	0.732	0.027	0.338	-0.199	-0.327	-0.413	-0.229	-0.093	0.406	-0.160	0.681	0.227	0.145	0.729	0.301	0.208	-0.673
ANKRD65	441869	1p36.33	0.732	0.027	0.338	-0.199	-0.327	-0.413	-0.229	-0.093	0.406	-0.160	0.681	0.227	0.145	0.729	0.301	0.208	-0.673
TMEM88B	643965	1p36.33	0.732	0.027	0.338	-0.199	-0.327	-0.413	-0.229	-0.093	0.406	-0.160	0.681	0.227	0.145	0.729	0.301	0.208	-0.673
LOC102724312	102724312	1p36.33	0.732	0.027	0.338	-0.199	-0.327	-0.413	-0.229	-0.093	0.406	-0.160	0.681	0.227	0.145	0.729	0.301	0.208	-0.673
VWA1	64856	1p36.33	0.732	0.027	0.338	-0.199	-0.327	-0.413	-0.229	-0.093	0.406	-0.160	0.681	0.227	0.145	0.729	0.301	0.208	-0.673
