sample	gene	chrom	gene_start	gene_end	tsg	seg	median_cnlr_seg	segclust	seg_start	seg_end	cf.em	tcn.em	lcn.em	cf	tcn	lcn	seg_length	mcn	genes_on_seg	gene_snps	gene_het_snps	spans_segs	cn_state	filter
MDL17-377	A1BG	19	58345178	58353499	FALSE	822	0.296138696867977	63	57577800	58469300	NA	2	NA	NA	2	NA	891500	NA	43	10	0	FALSE	DIPLOID or CNLOH	PASS
MDL17-377	A1CF	10	50799409	50885675	FALSE	422	-0.0808076434103571	44	48178000	54369300	NA	2	NA	NA	2	NA	6191300	NA	28	19	0	FALSE	DIPLOID or CNLOH	PASS
MDL17-377	A2M	12	9067664	9116229	FALSE	490	-0.204319387116709	37	7124200	10451300	0.633895558459503	1	0	0.633895558459503	1	0	3327100	1	58	49	0	FALSE	HETLOSS	PASS
MDL17-377	A2ML1	12	8822472	8887001	FALSE	490	-0.204319387116709	37	7124200	10451300	0.633895558459503	1	0	0.633895558459503	1	0	3327100	1	58	42	0	FALSE	HETLOSS	PASS
MDL17-377	A3GALT2	1	33306766	33321098	FALSE	6	-0.043570941489676	44	31798800	55069200	NA	2	NA	NA	2	NA	23270400	NA	305	7	0	FALSE	DIPLOID or CNLOH	PASS
MDL17-377	A4GALT	22	42692112	42721298	FALSE	911	-0.26099053423358	33	41221600	50147013	0.759835587006154	1	0	0.759835587006154	1	0	8925413	1	88	6	0	FALSE	HETLOSS	PASS
MDL17-377	A4GNT	3	138123718	138132387	FALSE	201	-0.13165781469939	38	136294000	139005600	1	2	1	1	2	1	2711600	1	20	5	1	FALSE	DIPLOID	PASS
MDL17-377	AAAS	12	53307456	53324864	FALSE	495	0.0097156751401733	49	53006600	58883800	NA	2	NA	NA	2	NA	5877200	NA	168	17	0	FALSE	DIPLOID or CNLOH	PASS
MDL17-377	AACS	12	125065379	125143333	FALSE	516	-0.205397002074163	33	123879841	132197936	0.759835587006154	1	0	0.759835587006154	1	0	8318095	1	30	30	5	FALSE	HETLOSS	PASS
MDL17-377	AADAC	3	151814037	151828488	FALSE	209	0.131796618101148	56	150926909	154225900	NA	2	NA	NA	2	NA	3298991	NA	16	8	1	FALSE	DIPLOID or CNLOH	PASS
